stratum,organ,definition,n,k,pct,ci_lo,ci_hi,trend_z,trend_p,chi2_p
Overall,kidney,Kidney — ACR >= 30 mg/g,2225,319,14.3,12.9,15.9,8.81,1.2528613988292982e-18,3.9229200445948196e-19
Healthy,kidney,Kidney — ACR >= 30 mg/g,765,66,8.6,6.8,10.8,8.81,1.2528613988292982e-18,3.9229200445948196e-19
Pre-DM,kidney,Kidney — ACR >= 30 mg/g,550,57,10.4,8.1,13.2,8.81,1.2528613988292982e-18,3.9229200445948196e-19
Oral Med,kidney,Kidney — ACR >= 30 mg/g,662,120,18.1,15.4,21.2,8.81,1.2528613988292982e-18,3.9229200445948196e-19
Insulin,kidney,Kidney — ACR >= 30 mg/g,248,76,30.6,25.2,36.6,8.81,1.2528613988292982e-18,3.9229200445948196e-19
Overall,heart,Heart — hs-cTnT >= 14 ng/L,2233,447,20.0,18.4,21.7,11.313,1.1282831714070186e-29,9.991979372044843e-38
Healthy,heart,Heart — hs-cTnT >= 14 ng/L,766,97,12.7,10.5,15.2,11.313,1.1282831714070186e-29,9.991979372044843e-38
Pre-DM,heart,Heart — hs-cTnT >= 14 ng/L,551,76,13.8,11.2,16.9,11.313,1.1282831714070186e-29,9.991979372044843e-38
Oral Med,heart,Heart — hs-cTnT >= 14 ng/L,666,151,22.7,19.7,26.0,11.313,1.1282831714070186e-29,9.991979372044843e-38
Insulin,heart,Heart — hs-cTnT >= 14 ng/L,250,123,49.2,43.1,55.4,11.313,1.1282831714070186e-29,9.991979372044843e-38
Overall,nerve,Nerve — >= 2 insensate sites of 10,2268,331,14.6,13.2,16.1,5.119,3.076487948373663e-07,2.0609243864507294e-08
Healthy,nerve,Nerve — >= 2 insensate sites of 10,771,93,12.1,9.9,14.6,5.119,3.076487948373663e-07,2.0609243864507294e-08
Pre-DM,nerve,Nerve — >= 2 insensate sites of 10,558,62,11.1,8.8,14.0,5.119,3.076487948373663e-07,2.0609243864507294e-08
Oral Med,nerve,Nerve — >= 2 insensate sites of 10,685,109,15.9,13.4,18.8,5.119,3.076487948373663e-07,2.0609243864507294e-08
Insulin,nerve,Nerve — >= 2 insensate sites of 10,254,67,26.4,21.3,32.1,5.119,3.076487948373663e-07,2.0609243864507294e-08
Overall,any,Any of the three organs,2216,767,34.6,32.7,36.6,11.162,6.254948841873524e-29,5.563497520712897e-33
Healthy,any,Any of the three organs,761,193,25.4,22.4,28.6,11.162,6.254948841873524e-29,5.563497520712897e-33
Pre-DM,any,Any of the three organs,549,150,27.3,23.8,31.2,11.162,6.254948841873524e-29,5.563497520712897e-33
Oral Med,any,Any of the three organs,662,264,39.9,36.2,43.7,11.162,6.254948841873524e-29,5.563497520712897e-33
Insulin,any,Any of the three organs,244,160,65.6,59.4,71.3,11.162,6.254948841873524e-29,5.563497520712897e-33
