stratum,organ,n,k,pct,ci_lo,ci_hi,trend_z,trend_p,chi2_p
Overall,kidney,2215,226,10.2,9.0,11.5,5.234,1.6562758931547263e-07,5.314380775501902e-07
Healthy,kidney,759,56,7.4,5.7,9.5,5.234,1.6562758931547263e-07,5.314380775501902e-07
Pre-DM,kidney,548,40,7.3,5.4,9.8,5.234,1.6562758931547263e-07,5.314380775501902e-07
Oral Med,kidney,661,87,13.2,10.8,16.0,5.234,1.6562758931547263e-07,5.314380775501902e-07
Insulin,kidney,247,43,17.4,13.2,22.6,5.234,1.6562758931547263e-07,5.314380775501902e-07
Overall,heart,2233,298,13.3,12.0,14.8,7.361,1.8215827280341577e-13,1.679155015443877e-17
Healthy,heart,766,72,9.4,7.5,11.7,7.361,1.8215827280341577e-13,1.679155015443877e-17
Pre-DM,heart,551,56,10.2,7.9,13.0,7.361,1.8215827280341577e-13,1.679155015443877e-17
Oral Med,heart,666,93,14.0,11.5,16.8,7.361,1.8215827280341577e-13,1.679155015443877e-17
Insulin,heart,250,77,30.8,25.4,36.8,7.361,1.8215827280341577e-13,1.679155015443877e-17
Overall,either,2214,471,21.3,19.6,23.0,8.153,3.562898754269843e-16,1.017933859241284e-17
Healthy,either,759,118,15.5,13.1,18.3,8.153,3.562898754269843e-16,1.017933859241284e-17
Pre-DM,either,548,90,16.4,13.6,19.8,8.153,3.562898754269843e-16,1.017933859241284e-17
Oral Med,either,661,163,24.7,21.5,28.1,8.153,3.562898754269843e-16,1.017933859241284e-17
Insulin,either,246,100,40.7,34.7,46.9,8.153,3.562898754269843e-16,1.017933859241284e-17
