organ,variable,unrecognized,recognized,spread_unrec,spread_rec,n_unrec,n_rec,smd
kidney,"Age, years",63.75,63.74,11.54,10.93,226,89,0.001
kidney,"HbA1c, %",6.86,6.64,1.79,1.71,225,87,0.127
kidney,"BMI, kg/m2",30.55,30.53,8.61,7.3,225,88,0.002
kidney,Other conditions reported (this organ's own items removed),4.7,6.18,2.89,3.15,226,89,-0.488
kidney,kidney marker (median),59.28,219.45,263.34,1157.03,226,89,-0.681
kidney,"study_group_label = Healthy, %",24.8,7.9,,,56,7,0.47
kidney,"study_group_label = Pre-DM, %",17.7,18.0,,,40,16,-0.007
kidney,"study_group_label = Oral Med, %",38.5,37.1,,,87,33,0.029
kidney,"study_group_label = Insulin, %",19.0,37.1,,,43,33,-0.41
kidney,"clinical_site = UAB, %",39.8,31.5,,,90,28,0.175
kidney,"clinical_site = UCSD, %",27.9,36.0,,,63,32,-0.174
kidney,"clinical_site = UW, %",32.3,32.6,,,73,29,-0.006
heart,"Age, years",66.06,69.86,10.53,10.48,298,149,-0.362
heart,"HbA1c, %",6.48,6.75,1.38,1.52,294,147,-0.186
heart,"BMI, kg/m2",30.62,30.97,7.11,6.35,298,146,-0.053
heart,Other conditions reported (this organ's own items removed),4.89,7.03,2.89,2.99,298,149,-0.729
heart,heart marker (median),19.62,23.09,20.9,33.91,298,149,-0.115
heart,"study_group_label = Healthy, %",24.2,16.8,,,72,25,0.184
heart,"study_group_label = Pre-DM, %",18.8,13.4,,,56,20,0.146
heart,"study_group_label = Oral Med, %",31.2,38.9,,,93,58,-0.162
heart,"study_group_label = Insulin, %",25.8,30.9,,,77,46,-0.112
heart,"clinical_site = UAB, %",39.3,44.3,,,117,66,-0.102
heart,"clinical_site = UCSD, %",29.9,30.9,,,89,46,-0.022
heart,"clinical_site = UW, %",30.9,24.8,,,92,37,0.135
