organ,cutoff,is_primary,n_measured,n_abnormal,prevalence_pct,prev_ci_lo,prev_ci_hi,prev_trend_z,prev_trend_p,prev_Healthy,prev_Pre-DM,prev_Oral Med,prev_Insulin,n_unrec_denominator,n_unrecognized,unrecognized_pct,unrec_ci_lo,unrec_ci_hi,unrec_trend_z,unrec_trend_p,unrec_Healthy,unrec_Pre-DM,unrec_Oral Med,unrec_Insulin
kidney,20.0,False,2225,468,21.0,19.4,22.8,8.673,4.2023232428898674e-18,14.5,17.1,24.3,41.1,464.0,356.0,76.7,72.7,80.3,-5.34,9.284249175957445e-08,92.6,78.5,75.2,60.8
kidney,30.0,True,2225,319,14.3,12.9,15.9,8.81,1.2528613988292982e-18,8.6,10.4,18.1,30.6,315.0,226.0,71.7,66.5,76.4,-3.921,8.813631765300566e-05,88.9,71.4,72.5,56.6
kidney,50.0,False,2225,207,9.3,8.2,10.6,8.767,1.8396039736239516e-18,4.6,6.2,12.2,23.0,204.0,128.0,62.7,55.9,69.1,-2.216,0.026715262310534244,78.8,54.5,69.1,49.1
kidney,100.0,False,2225,130,5.8,4.9,6.9,8.095,5.70713662730084e-16,2.7,3.1,7.3,17.7,127.0,66.0,52.0,43.3,60.5,-1.687,0.09152210230881908,73.7,37.5,56.2,43.2
kidney,300.0,False,2225,62,2.8,2.2,3.6,6.9,5.194086022645845e-12,1.0,0.7,3.9,9.7,61.0,20.0,32.8,22.3,45.3,-0.849,0.3958045735577834,42.9,25.0,38.5,25.0
heart,detectable,False,2233,1521,68.1,66.2,70.0,7.709,1.2686713764939848e-14,61.4,63.7,72.5,86.8,1521.0,1202.0,79.0,76.9,81.0,-5.274,1.3381418456615027e-07,84.3,84.3,74.3,69.6
heart,10.0,False,2233,790,35.4,33.4,37.4,11.127,9.234292252629555e-29,26.4,26.9,41.7,64.8,790.0,568.0,71.9,68.7,74.9,-3.188,0.0014321185082114276,77.7,78.4,68.0,65.4
heart,14.0,True,2233,447,20.0,18.4,21.7,11.313,1.1282831714070186e-29,12.7,13.8,22.7,49.2,447.0,298.0,66.7,62.2,70.9,-2.285,0.022311711700010773,74.2,73.7,61.6,62.6
heart,16.0,False,2233,358,16.0,14.6,17.6,10.483,1.0301557074617004e-25,9.5,11.4,18.0,40.8,358.0,230.0,64.2,59.2,69.0,-1.848,0.06464130376443168,72.6,68.3,60.0,60.8
heart,19.0,False,2233,255,11.4,10.2,12.8,9.728,2.2828824305599084e-22,6.4,7.8,12.2,32.8,255.0,158.0,62.0,55.9,67.7,-1.814,0.06960822962270916,73.5,62.8,59.3,57.3
heart,22.0,False,2233,201,9.0,7.9,10.3,8.342,7.294303097073638e-17,5.4,6.5,8.3,27.6,201.0,119.0,59.2,52.3,65.8,-1.522,0.12808883651984246,70.7,58.3,56.4,55.1
nerve,1,False,2268,445,19.6,18.0,21.3,6.187,6.143182804798217e-10,15.4,15.9,22.2,33.5,,,,,,,,,,,
nerve,2,True,2268,331,14.6,13.2,16.1,5.119,3.076487948373663e-07,12.1,11.1,15.9,26.4,,,,,,,,,,,
nerve,3,False,2268,243,10.7,9.5,12.1,5.141,2.738874358325061e-07,8.6,7.5,11.8,21.3,,,,,,,,,,,
nerve,4,False,2268,174,7.7,6.6,8.8,5.808,6.322254010018326e-09,5.6,4.7,8.6,18.1,,,,,,,,,,,
nerve,5,False,2268,131,5.8,4.9,6.8,5.662,1.493639045079584e-08,3.9,3.4,6.6,14.6,,,,,,,,,,,
