exposure,outcome,or_all,p_all,n_all,or_low_censoring,p_low_censoring,n_low_censoring,conclusion_changes
glucose_mean,abn_kidney,1.4815,3.373228773370363e-11,2195,1.3905,1.5995891901988665e-07,2172,False
glucose_mean,abn_heart,1.2187,0.0011004319097667147,2202,1.0969,0.14637295362502345,2180,True
glucose_mean,abn_nerve,1.2284,0.0009468633719546848,2238,1.0873,0.21781189338368667,2215,True
glucose_mean,abn_any,1.4077,6.032141743366308e-09,2188,1.3032,5.750887609022614e-06,2166,False
glucose_mean,abn_multi,1.4135,2.1097170498505165e-07,2188,1.1478,0.06632115657349502,2166,True
tar_180,abn_kidney,1.4926,2.994126540084551e-11,2195,1.3961,5.787070578552661e-08,2172,False
tar_180,abn_heart,1.1954,0.003725358212161511,2202,1.1113,0.09107519323486644,2180,True
tar_180,abn_nerve,1.2411,0.0007897683924278042,2238,1.1422,0.04568819400521529,2215,False
tar_180,abn_any,1.4172,1.7266759069468125e-09,2188,1.3353,5.4201560529085e-07,2166,False
tar_180,abn_multi,1.3784,3.2827940134803955e-06,2188,1.191,0.016031880782598668,2166,False
glucose_cv,abn_kidney,1.2964,4.6198907692938635e-05,2195,1.3603,1.877604876958554e-06,2172,False
glucose_cv,abn_heart,1.0495,0.44461240460675366,2202,1.0681,0.3031851656167659,2180,False
glucose_cv,abn_nerve,1.0756,0.27522055088295827,2238,1.1171,0.10062675015726068,2215,False
glucose_cv,abn_any,1.1473,0.01089860272337969,2188,1.1746,0.003150607945982103,2166,False
glucose_cv,abn_multi,1.2189,0.007422011138249925,2188,1.3102,0.0003122702926457971,2166,False
mage,abn_kidney,1.4372,4.003789896821831e-08,2194,1.4128,2.4994865835145365e-07,2172,False
mage,abn_heart,1.09,0.18673446414811512,2201,1.0329,0.6247782635477923,2180,False
mage,abn_nerve,1.1244,0.09239215104956183,2237,1.0815,0.2695349020078299,2215,False
mage,abn_any,1.2222,0.0004736589546458011,2187,1.1857,0.003018200994077671,2166,False
mage,abn_multi,1.3042,0.00042904524251159796,2187,1.2272,0.008264568830917892,2166,False
