exposure,outcome,or_alone,p_alone,or_with_mean_glucose,p_with_mean_glucose,adds_beyond_mean,n,q_with_mean_glucose
tar_180,abn_kidney,1.4926,3.010543839302169e-11,1.2034,0.2684609281009046,False,2194,0.5369218562018092
tar_180,abn_heart,1.1954,0.0037328232051166916,0.9474,0.7502288844914013,False,2201,0.8420841960488772
tar_180,abn_nerve,1.2411,0.000792181545186041,1.1583,0.40214235146299615,False,2237,0.6702372524383269
tar_180,abn_any,1.4171,1.742759324358743e-09,1.2547,0.14115924656529294,False,2187,0.42084724685018154
tar_180,abn_multi,1.3784,3.2895461389498664e-06,0.9395,0.7450549740237422,False,2187,0.8420841960488772
glucose_cv,abn_kidney,1.2951,4.8053612136380534e-05,1.3221,1.5374573852314794e-05,True,2194,0.00030749147704629587
glucose_cv,abn_heart,1.0488,0.4508811484506715,1.0464,0.47456905934250604,False,2201,0.6779557990607229
glucose_cv,abn_nerve,1.0746,0.28083023536279206,1.0787,0.2569266053097491,False,2237,0.5369218562018092
glucose_cv,abn_any,1.1458,0.011603690423461814,1.1363,0.019217581127236368,True,2187,0.09608790563618184
glucose_cv,abn_multi,1.218,0.007515407727329011,1.2348,0.004671726296171631,True,2187,0.046717262961716306
mage,abn_kidney,1.4372,4.003789896821831e-08,1.2064,0.017338516320531645,True,2194,0.09608790563618184
mage,abn_heart,1.09,0.18673446414811512,0.9582,0.5909687086811749,False,2201,0.7879582782415665
mage,abn_nerve,1.1244,0.09239215104956183,0.9952,0.9542167632410716,False,2237,0.9542167632410716
mage,abn_any,1.2222,0.0004736589546458011,1.0179,0.7999799862464333,False,2187,0.8420841960488772
mage,abn_multi,1.3042,0.00042904524251159796,1.0913,0.335650417898096,False,2187,0.6102734870874472
hba1c,abn_kidney,1.4825,1.604334350459428e-10,1.2085,0.04491350401321184,True,2173,0.17965401605284737
hba1c,abn_heart,1.1994,0.003019049222919434,1.0727,0.4535370570678131,False,2181,0.6779557990607229
hba1c,abn_nerve,1.1801,0.01172332050418046,1.0282,0.7792028714157673,False,2174,0.8420841960488772
hba1c,abn_any,1.3695,1.4557255006907203e-07,1.1201,0.20435774980398025,False,2167,0.5108943745099506
hba1c,abn_multi,1.3927,1.2550501732811817e-06,1.1628,0.14729653639756354,False,2167,0.42084724685018154
