exposure,outcome,adjustment,exposure_label,outcome_label,family,scale,sd_unit,n,estimate,ci_lo,ci_hi,p,q,note
hba1c,abn_kidney,unadjusted,HbA1c (%),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,1.1047544879285938,2203,1.691,1.525,1.8751,2.190069122945291e-23,,
hba1c,abn_kidney,damage,HbA1c (%),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,1.1047544879285938,2203,1.4902,1.3217,1.6802,7.181399275208602e-11,7.181399275208602e-10,
hba1c,abn_heart,unadjusted,HbA1c (%),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,1.1047544879285938,2211,1.5322,1.3918,1.6869,3.355382967908401e-18,,
hba1c,abn_heart,damage,HbA1c (%),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,1.1047544879285938,2211,1.207,1.0713,1.36,0.0019967844115729477,0.003071976017804535,
hba1c,abn_nerve,unadjusted,HbA1c (%),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,1.1047544879285938,2203,1.3071,1.1837,1.4435,1.2181980111662183e-07,,
hba1c,abn_nerve,damage,HbA1c (%),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,1.1047544879285938,2203,1.1831,1.0414,1.3442,0.00980599032852923,0.013074653771372308,
hba1c,abn_any,unadjusted,HbA1c (%),Any of the three organs abnormal,binomial,per 1 SD,1.1047544879285938,2196,1.725,1.5525,1.9166,3.560865609320009e-24,,
hba1c,abn_any,damage,HbA1c (%),Any of the three organs abnormal,binomial,per 1 SD,1.1047544879285938,2196,1.3755,1.2236,1.5462,9.325235201954576e-08,3.3909946188925734e-07,
hba1c,abn_multi,unadjusted,HbA1c (%),Two or more organs abnormal,binomial,per 1 SD,1.1047544879285938,2196,1.6355,1.4723,1.8168,4.6376652799361335e-20,,
hba1c,abn_multi,damage,HbA1c (%),Two or more organs abnormal,binomial,per 1 SD,1.1047544879285938,2196,1.4013,1.2269,1.6005,6.511631803313478e-07,1.8604662295181366e-06,
hba1c,log_acr,unadjusted,HbA1c (%),log urine ACR (mg/g),gaussian,per 1 SD,1.1047544879285938,2203,0.4548,0.3767,0.5329,2.2547540424613477e-29,,
hba1c,log_acr,damage,HbA1c (%),log urine ACR (mg/g),gaussian,per 1 SD,1.1047544879285938,2203,0.3369,0.2444,0.4295,1.2715713669618114e-12,5.086285467847246e-11,
hba1c,log_troponin,unadjusted,HbA1c (%),log hs-cTnT (ng/L),gaussian,per 1 SD,1.1047544879285938,2211,0.1326,0.1108,0.1545,1.1640956221988932e-31,,
hba1c,log_troponin,damage,HbA1c (%),log hs-cTnT (ng/L),gaussian,per 1 SD,1.1047544879285938,2211,0.0541,0.0305,0.0776,6.864824430157722e-06,1.6152528070959346e-05,
hba1c,monofilament_missed,unadjusted,HbA1c (%),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,1.1047544879285938,2203,0.2415,0.1612,0.3218,4.278995524526956e-09,,
hba1c,monofilament_missed,damage,HbA1c (%),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,1.1047544879285938,2203,0.099,0.0058,0.1923,0.03742995995172348,0.04536964842633149,
glucose_mean,abn_kidney,unadjusted,CGM mean glucose (mg/dL),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,39.78422469918356,2195,1.6703,1.5082,1.8498,7.044511938785861e-23,,
glucose_mean,abn_kidney,damage,CGM mean glucose (mg/dL),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,39.78422469918356,2195,1.4815,1.319,1.6641,3.373228773370363e-11,4.497638364493817e-10,
glucose_mean,abn_heart,unadjusted,CGM mean glucose (mg/dL),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,39.78422469918356,2202,1.5083,1.3707,1.6596,3.6663853228296624e-17,,
glucose_mean,abn_heart,damage,CGM mean glucose (mg/dL),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,39.78422469918356,2202,1.2187,1.0822,1.3724,0.0011004319097667147,0.001913794625681243,
