definition,outcome,scale,n,n_discordant,estimate,ci_lo,ci_hi,boot_ci_lo,boot_ci_hi,p,q,note
undiagnosed_range,abn_kidney,yes vs no,1305,46,4.1071,2.0606,8.186,1.8291,8.5079,5.956349854383105e-05,0.0008934524781574658,
undiagnosed_range,abn_heart,yes vs no,1306,46,1.9289,0.8811,4.2226,0.7244,4.152,0.10032480391792241,0.31507256283154095,
undiagnosed_range,abn_nerve,yes vs no,1302,45,0.9061,0.3352,2.4496,0.1772,2.2073,0.8459729348504144,0.9063995730540154,
undiagnosed_range,abn_any,yes vs no,1301,45,2.575,1.3478,4.9199,1.3033,5.207,0.004190807853336836,0.02095403926668418,
undiagnosed_range,abn_multi,yes vs no,1301,45,1.6946,0.5885,4.8801,0.2898,4.6483,0.3283767007277807,0.59168980712877,
undiagnosed_range_cgm,abn_kidney,yes vs no,1295,52,2.9178,1.4401,5.9115,1.247,5.7992,0.0029547155309227573,0.02095403926668418,
undiagnosed_range_cgm,abn_heart,yes vs no,1296,53,1.2623,0.5612,2.8393,0.4176,2.8177,0.5732356223268724,0.6614257180694681,
undiagnosed_range_cgm,abn_nerve,yes vs no,1310,55,1.4145,0.6367,3.1424,0.4891,2.9614,0.39445987141917993,0.59168980712877,
undiagnosed_range_cgm,abn_any,yes vs no,1292,52,1.3393,0.7096,2.528,0.6276,2.5015,0.3673629799234125,0.59168980712877,
undiagnosed_range_cgm,abn_multi,yes vs no,1292,52,2.1922,0.8486,5.6632,0.5733,5.3579,0.10502418761051364,0.31507256283154095,
insulin_at_target,abn_kidney,yes vs no,245,121,0.821,0.4767,1.4139,,,0.4769105701131081,0.6098836627747465,
insulin_at_target,abn_heart,yes vs no,248,122,0.99,0.5898,1.662,,,0.9697565322118897,0.9697565322118897,
insulin_at_target,abn_nerve,yes vs no,244,121,0.7412,0.4112,1.3363,,,0.31933043909211234,0.59168980712877,
insulin_at_target,abn_any,yes vs no,242,120,0.7678,0.4435,1.3293,,,0.3454263091233116,0.59168980712877,
insulin_at_target,abn_multi,yes vs no,242,120,0.8191,0.4662,1.4394,,,0.48790693021979714,0.6098836627747465,
