exposure,outcome,unadjusted_or,unadjusted_p,adjusted_or,adjusted_p,survives_adjustment,lost_to_adjustment
bmi,abn_kidney,1.0785,0.20210499346314925,1.0259,0.7031925988196996,False,False
bmi,abn_heart,1.1309,0.01656735650454551,1.206,0.0029900581837620254,True,False
bmi,abn_nerve,1.1625,0.007490317154194339,1.2742,0.0001807689929393386,True,False
bmi,abn_any,1.1853,0.00012673370422327845,1.263,9.876758810099751e-06,True,False
bmi,abn_multi,1.1184,0.08153198025496668,1.1703,0.044414371822016005,True,False
bmi_obese,abn_kidney,1.0867,0.498400436544129,0.9741,0.8448707288670974,False,False
bmi_obese,abn_heart,1.3368,0.006548364006437566,1.4721,0.0019839704853596386,True,False
bmi_obese,abn_nerve,1.2646,0.05024936382219223,1.3986,0.010688340702741779,True,False
bmi_obese,abn_any,1.3133,0.002602493764649234,1.4037,0.0011718900666300117,True,False
bmi_obese,abn_multi,1.2775,0.06911214684657725,1.3253,0.06842268585171501,False,False
