exposure,outcome,adjustment,exposure_label,outcome_label,family,scale,sd_unit,n,estimate,ci_lo,ci_hi,p,q,note
bmi,abn_kidney,unadjusted,BMI (kg/m2),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,7.3549639591113865,2220,1.0785,0.9603,1.2113,0.20210499346314925,,
bmi,abn_kidney,damage,BMI (kg/m2),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,7.3549639591113865,2220,1.0259,0.8993,1.1704,0.7031925988196996,0.7500721054076797,
bmi,abn_kidney,damage+hba1c,BMI (kg/m2),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,7.3549639591113865,2198,0.9901,0.8647,1.1336,0.8853921000174805,,
bmi,abn_heart,unadjusted,BMI (kg/m2),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,7.3549639591113865,2228,1.1309,1.0226,1.2506,0.01656735650454551,,
bmi,abn_heart,damage,BMI (kg/m2),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,7.3549639591113865,2228,1.206,1.0657,1.3647,0.0029900581837620254,0.007548730911797231,
bmi,abn_heart,damage+hba1c,BMI (kg/m2),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,7.3549639591113865,2206,1.1881,1.0479,1.3472,0.007159148875170452,,
bmi,abn_nerve,unadjusted,BMI (kg/m2),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,7.3549639591113865,2265,1.1625,1.041,1.2981,0.007490317154194339,,
bmi,abn_nerve,damage,BMI (kg/m2),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,7.3549639591113865,2265,1.2742,1.1224,1.4466,0.0001807689929393386,0.0009641012956764725,
bmi,abn_nerve,damage+hba1c,BMI (kg/m2),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,7.3549639591113865,2200,1.2687,1.1126,1.4467,0.00038210737663326626,,
bmi,abn_any,unadjusted,BMI (kg/m2),Any of the three organs abnormal,binomial,per 1 SD,7.3549639591113865,2213,1.1853,1.0866,1.2929,0.00012673370422327845,,
bmi,abn_any,damage,BMI (kg/m2),Any of the three organs abnormal,binomial,per 1 SD,7.3549639591113865,2213,1.263,1.1388,1.4007,9.876758810099751e-06,0.00015802814096159602,
bmi,abn_any,damage+hba1c,BMI (kg/m2),Any of the three organs abnormal,binomial,per 1 SD,7.3549639591113865,2193,1.2362,1.1122,1.3739,8.403521346821525e-05,,
bmi,abn_multi,unadjusted,BMI (kg/m2),Two or more organs abnormal,binomial,per 1 SD,7.3549639591113865,2213,1.1184,0.9861,1.2685,0.08153198025496668,,
bmi,abn_multi,damage,BMI (kg/m2),Two or more organs abnormal,binomial,per 1 SD,7.3549639591113865,2213,1.1703,1.0039,1.3642,0.044414371822016005,0.0646027226502051,
bmi,abn_multi,damage+hba1c,BMI (kg/m2),Two or more organs abnormal,binomial,per 1 SD,7.3549639591113865,2193,1.1401,0.9753,1.3329,0.09984476933202978,,
bmi,log_acr,unadjusted,BMI (kg/m2),log urine ACR (mg/g),gaussian,per 1 SD,7.3549639591113865,2220,0.0825,0.0022,0.1628,0.04403223641316873,,
bmi,log_acr,damage,BMI (kg/m2),log urine ACR (mg/g),gaussian,per 1 SD,7.3549639591113865,2220,0.0566,-0.0275,0.1408,0.1867423239350195,0.22983670638156245,
bmi,log_acr,damage+hba1c,BMI (kg/m2),log urine ACR (mg/g),gaussian,per 1 SD,7.3549639591113865,2198,0.0345,-0.049,0.118,0.4184659040006955,,
bmi,log_troponin,unadjusted,BMI (kg/m2),log hs-cTnT (ng/L),gaussian,per 1 SD,7.3549639591113865,2228,0.0235,0.0007,0.0463,0.04311055006259514,,
bmi,log_troponin,damage,BMI (kg/m2),log hs-cTnT (ng/L),gaussian,per 1 SD,7.3549639591113865,2228,0.0322,0.0107,0.0537,0.0033025697739112883,0.007548730911797231,
bmi,log_troponin,damage+hba1c,BMI (kg/m2),log hs-cTnT (ng/L),gaussian,per 1 SD,7.3549639591113865,2206,0.0281,0.0069,0.0493,0.009369996523467644,,
bmi,monofilament_missed,unadjusted,BMI (kg/m2),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,7.3549639591113865,2265,0.1396,0.0606,0.2185,0.0005349561388783966,,
bmi,monofilament_missed,damage,BMI (kg/m2),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,7.3549639591113865,2265,0.1623,0.0804,0.2442,0.000105102484932942,0.000840819879463536,
bmi,monofilament_missed,damage+hba1c,BMI (kg/m2),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,7.3549639591113865,2200,0.1589,0.076,0.2418,0.0001746437348211641,,
bmi_obese,abn_kidney,unadjusted,Obese (BMI >= 30),Kidney abnormal (ACR >= 30 mg/g),binomial,yes vs no,,2220,1.0867,0.8542,1.3824,0.498400436544129,,
bmi_obese,abn_kidney,damage,Obese (BMI >= 30),Kidney abnormal (ACR >= 30 mg/g),binomial,yes vs no,,2220,0.9741,0.7492,1.2666,0.8448707288670974,0.8448707288670974,
bmi_obese,abn_kidney,damage+hba1c,Obese (BMI >= 30),Kidney abnormal (ACR >= 30 mg/g),binomial,yes vs no,,2198,0.9172,0.6995,1.2025,0.5314793832865581,,
