outcome,exposure,adjustment,outcome_label,exposure_label,scale,sd_unit,n,estimate,ci_lo,ci_hi,p,q,note
unrec_kidney,cesd_total,unadjusted,Unrecognized — kidney,CES-D-10 total (0-30),per 1 SD,5.091068389733732,313,0.9003,0.7014,1.1556,0.40962181806020304,,
unrec_kidney,cesd_total,severity only,Unrecognized — kidney,CES-D-10 total (0-30),per 1 SD,5.091068389733732,313,1.0098,0.7759,1.3141,0.9422229799275487,,
unrec_kidney,cesd_total,recognition,Unrecognized — kidney,CES-D-10 total (0-30),per 1 SD,5.091068389733732,308,1.0113,0.7532,1.3578,0.9406047159429469,,
unrec_kidney,cesd_total,recognition+marker,Unrecognized — kidney,CES-D-10 total (0-30),per 1 SD,5.091068389733732,308,0.9299,0.6759,1.2792,0.655011706792876,0.655011706792876,
unrec_kidney,cesd_positive,unadjusted,Unrecognized — kidney,CES-D-10 screen-positive (>= 10),yes vs no,,313,0.75,0.41,1.3719,0.3504481619127189,,
unrec_kidney,cesd_positive,severity only,Unrecognized — kidney,CES-D-10 screen-positive (>= 10),yes vs no,,313,0.9037,0.4848,1.6845,0.7499424047190978,,
unrec_kidney,cesd_positive,recognition,Unrecognized — kidney,CES-D-10 screen-positive (>= 10),yes vs no,,308,0.7819,0.3938,1.5527,0.48218542543957443,,
unrec_kidney,cesd_positive,recognition+marker,Unrecognized — kidney,CES-D-10 screen-positive (>= 10),yes vs no,,308,0.7141,0.3397,1.5011,0.37435425410649903,0.4492251049277988,
unrec_heart,cesd_total,unadjusted,Unrecognized — heart,CES-D-10 total (0-30),per 1 SD,5.091068389733732,445,0.8412,0.6854,1.0325,0.09810460545171795,,
unrec_heart,cesd_total,severity only,Unrecognized — heart,CES-D-10 total (0-30),per 1 SD,5.091068389733732,445,0.8404,0.6805,1.0377,0.10607487579103496,,
unrec_heart,cesd_total,recognition,Unrecognized — heart,CES-D-10 total (0-30),per 1 SD,5.091068389733732,436,0.7449,0.5898,0.9408,0.013426475895932526,,
unrec_heart,cesd_total,recognition+marker,Unrecognized — heart,CES-D-10 total (0-30),per 1 SD,5.091068389733732,436,0.7608,0.6017,0.9621,0.022454450314249568,0.1347267018854974,
unrec_heart,cesd_positive,unadjusted,Unrecognized — heart,CES-D-10 screen-positive (>= 10),yes vs no,,445,0.7457,0.452,1.2302,0.2506683602887585,,
unrec_heart,cesd_positive,severity only,Unrecognized — heart,CES-D-10 screen-positive (>= 10),yes vs no,,445,0.7389,0.443,1.2327,0.24654584479980168,,
unrec_heart,cesd_positive,recognition,Unrecognized — heart,CES-D-10 screen-positive (>= 10),yes vs no,,436,0.5827,0.3325,1.0213,0.05922980599683719,,
unrec_heart,cesd_positive,recognition+marker,Unrecognized — heart,CES-D-10 screen-positive (>= 10),yes vs no,,436,0.6041,0.3436,1.0621,0.08000116499637774,0.17155249912291815,
unrec_either,cesd_total,unadjusted,Unrecognized on either organ,CES-D-10 total (0-30),per 1 SD,5.091068389733732,612,0.8699,0.722,1.0481,0.142808609676332,,
unrec_either,cesd_total,severity only,Unrecognized on either organ,CES-D-10 total (0-30),per 1 SD,5.091068389733732,612,0.9119,0.7533,1.104,0.34444981861373514,,
unrec_either,cesd_total,recognition,Unrecognized on either organ,CES-D-10 total (0-30),per 1 SD,5.091068389733732,603,0.8124,0.6606,0.999,0.04893229016259526,,
unrec_either,cesd_total,recognition+marker,Unrecognized on either organ,CES-D-10 total (0-30),per 1 SD,5.091068389733732,603,0.8321,0.6746,1.0262,0.08577624956145907,0.17155249912291815,
unrec_either,cesd_positive,unadjusted,Unrecognized on either organ,CES-D-10 screen-positive (>= 10),yes vs no,,612,0.8192,0.5136,1.3067,0.4025736758631756,,
unrec_either,cesd_positive,severity only,Unrecognized on either organ,CES-D-10 screen-positive (>= 10),yes vs no,,612,0.9007,0.5605,1.4473,0.6655659231107933,,
unrec_either,cesd_positive,recognition,Unrecognized on either organ,CES-D-10 screen-positive (>= 10),yes vs no,,603,0.6824,0.4101,1.1355,0.14134233599637613,,
unrec_either,cesd_positive,recognition+marker,Unrecognized on either organ,CES-D-10 screen-positive (>= 10),yes vs no,,603,0.7158,0.4275,1.1984,0.20351780319203427,0.3052767047880514,
