exposure,outcome,adjustment,exposure_label,outcome_label,family,scale,sd_unit,n,estimate,ci_lo,ci_hi,p,q,note
paid_total,abn_kidney,unadjusted,PAID-5 total (0-20),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,4.719368755495258,2175,1.17,1.0443,1.3107,0.006779672482561063,,
paid_total,abn_kidney,damage,PAID-5 total (0-20),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,4.719368755495258,2175,1.1256,0.9938,1.2749,0.0625864326769486,0.5006914614155888,
paid_total,abn_kidney,damage+hba1c,PAID-5 total (0-20),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,4.719368755495258,2153,1.0918,0.9596,1.2421,0.18219738914851136,,
paid_total,abn_heart,unadjusted,PAID-5 total (0-20),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,4.719368755495258,2182,0.9317,0.8355,1.0389,0.20308019696046753,,
paid_total,abn_heart,damage,PAID-5 total (0-20),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,4.719368755495258,2182,0.9098,0.8005,1.0339,0.1473826490706719,0.6519301218992576,
paid_total,abn_heart,damage+hba1c,PAID-5 total (0-20),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,4.719368755495258,2160,0.8898,0.7801,1.015,0.08223504538017157,,
paid_total,abn_nerve,unadjusted,PAID-5 total (0-20),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,4.719368755495258,2219,0.9414,0.8327,1.0643,0.33486830350916963,,
paid_total,abn_nerve,damage,PAID-5 total (0-20),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,4.719368755495258,2219,0.9913,0.868,1.1321,0.8978448456717472,0.9777528683599441,
paid_total,abn_nerve,damage+hba1c,PAID-5 total (0-20),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,4.719368755495258,2154,0.9731,0.8469,1.1181,0.7002926728132097,,
paid_total,abn_any,unadjusted,PAID-5 total (0-20),Any of the three organs abnormal,binomial,per 1 SD,4.719368755495258,2168,0.996,0.9109,1.089,0.9292690612191447,,
paid_total,abn_any,damage,PAID-5 total (0-20),Any of the three organs abnormal,binomial,per 1 SD,4.719368755495258,2168,0.9912,0.8945,1.0985,0.8664391517477662,0.9777528683599441,
paid_total,abn_any,damage+hba1c,PAID-5 total (0-20),Any of the three organs abnormal,binomial,per 1 SD,4.719368755495258,2148,0.9779,0.8802,1.0865,0.6776481982470695,,
paid_total,abn_multi,unadjusted,PAID-5 total (0-20),Two or more organs abnormal,binomial,per 1 SD,4.719368755495258,2168,0.9871,0.8623,1.13,0.851226303247846,,
paid_total,abn_multi,damage,PAID-5 total (0-20),Two or more organs abnormal,binomial,per 1 SD,4.719368755495258,2168,0.9974,0.8539,1.165,0.9740530711745086,0.9777528683599441,
paid_total,abn_multi,damage+hba1c,PAID-5 total (0-20),Two or more organs abnormal,binomial,per 1 SD,4.719368755495258,2148,0.9637,0.8205,1.1319,0.6526561499054158,,
paid_total,log_acr,unadjusted,PAID-5 total (0-20),log urine ACR (mg/g),gaussian,per 1 SD,4.719368755495258,2175,0.0554,-0.0254,0.1362,0.17854082582091477,,
paid_total,log_acr,damage,PAID-5 total (0-20),log urine ACR (mg/g),gaussian,per 1 SD,4.719368755495258,2175,0.0052,-0.0768,0.0871,0.9016219765568191,0.9777528683599441,
paid_total,log_acr,damage+hba1c,PAID-5 total (0-20),log urine ACR (mg/g),gaussian,per 1 SD,4.719368755495258,2153,-0.01,-0.0918,0.0718,0.8112181249188476,,
paid_total,log_troponin,unadjusted,PAID-5 total (0-20),log hs-cTnT (ng/L),gaussian,per 1 SD,4.719368755495258,2182,-0.0166,-0.0397,0.0065,0.15884267817237313,,
paid_total,log_troponin,damage,PAID-5 total (0-20),log hs-cTnT (ng/L),gaussian,per 1 SD,4.719368755495258,2182,-0.0151,-0.0363,0.0061,0.1629825304748144,0.6519301218992576,
paid_total,log_troponin,damage+hba1c,PAID-5 total (0-20),log hs-cTnT (ng/L),gaussian,per 1 SD,4.719368755495258,2160,-0.0215,-0.0426,-0.0005,0.04512109112591795,,
paid_total,monofilament_missed,unadjusted,PAID-5 total (0-20),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,4.719368755495258,2219,-0.0295,-0.1103,0.0513,0.47406226236176763,,
paid_total,monofilament_missed,damage,PAID-5 total (0-20),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,4.719368755495258,2219,-0.01,-0.0915,0.0715,0.8104693036656335,0.9777528683599441,
