exposure,outcome,n_before,n_after,est_before,q_before,est_after,q_after,changed_conclusion
steps,abn_kidney,2092,1949,0.9062,0.44773926235499045,0.9347,0.6427691767875509,False
steps,abn_heart,2100,1957,0.8099,0.0468006777407841,0.786,0.0151371708662072,False
steps,abn_nerve,2134,1988,0.9012,0.44773926235499045,0.8971,0.38009524255291505,False
steps,abn_any,2085,1943,0.8576,0.0468006777407841,0.8755,0.1113544877501593,True
steps,abn_multi,2085,1943,0.7741,0.0468006777407841,0.7513,0.025122132731820103,False
steps,log_acr,2092,1949,0.0037,0.9597160086279249,0.0211,0.9092855014538381,False
steps,log_troponin,2100,1957,-0.0198,0.3434690042001847,-0.0237,0.19000975007368343,False
steps,monofilament_missed,2134,1988,-0.1276,0.0468006777407841,-0.1353,0.022658129520886534,False
heart_rate,abn_kidney,1953,1942,1.0749,0.5855926705003439,1.1439,0.2617335475660794,False
heart_rate,abn_heart,1961,1950,0.9791,0.8788093552873577,0.9603,0.8169323396317502,False
heart_rate,abn_nerve,1993,1981,1.0493,0.7022972760591972,1.0643,0.6669257971246774,False
heart_rate,abn_any,1947,1936,0.9851,0.8788093552873577,1.0205,0.9432147898976881,False
heart_rate,abn_multi,1947,1936,1.0835,0.5855926705003439,1.0888,0.6258803665545349,False
heart_rate,log_acr,1953,1942,0.1151,0.06610038794202841,0.1577,0.0151371708662072,True
heart_rate,log_troponin,1961,1950,0.0102,0.5855926705003439,0.0079,0.7736651850421387,False
heart_rate,monofilament_missed,1993,1981,-0.0275,0.7022972760591972,0.0014,0.9956851491005055,False
stress,abn_kidney,2051,1942,1.1112,0.44773926235499045,1.1723,0.1113544877501593,False
stress,abn_heart,2059,1950,0.9632,0.7022972760591972,0.9803,0.9432147898976881,False
stress,abn_nerve,2093,1981,0.9762,0.8788093552873577,1.0158,0.9581002731596584,False
stress,abn_any,2044,1936,0.9463,0.5538612691772258,0.9949,0.9956851491005055,False
stress,abn_multi,2044,1936,1.0946,0.5490998727078096,1.1442,0.2617335475660794,False
stress,log_acr,2051,1942,0.1165,0.05062677092035977,0.1471,0.0151371708662072,True
stress,log_troponin,2059,1950,0.0122,0.5503680319771085,0.0168,0.38009524255291505,False
stress,monofilament_missed,2093,1981,0.0022,0.9597160086279249,0.0346,0.7042425804377598,False
sleep_hours,abn_kidney,2134,2008,0.9833,0.8788093552873577,1.0515,0.7042425804377598,False
sleep_hours,abn_heart,2142,2016,0.8574,0.05062677092035977,0.8858,0.22374852718028565,False
sleep_hours,abn_nerve,2177,2046,1.074,0.5490998727078096,1.1109,0.3178671420419049,False
sleep_hours,abn_any,2127,2001,0.9321,0.44773926235499045,0.9995,0.9956851491005055,False
sleep_hours,abn_multi,2127,2001,0.9449,0.6263238687470375,0.9996,0.9956851491005055,False
sleep_hours,log_acr,2134,2008,-0.0363,0.5855926705003439,-0.0177,0.9265242688289287,False
sleep_hours,log_troponin,2142,2016,-0.0151,0.44773926235499045,-0.003,0.9432147898976881,False
sleep_hours,monofilament_missed,2177,2046,0.0266,0.7022972760591972,0.0735,0.2617335475660794,False
spo2,abn_kidney,1595,1595,0.9038,0.5055201430772488,0.9038,0.44604718506816066,False
spo2,abn_heart,1601,1601,1.0115,0.9459293049710732,1.0115,0.9956851491005055,False
spo2,abn_nerve,1624,1624,0.9225,0.5503680319771085,0.9225,0.5793347705022195,False
spo2,abn_any,1591,1591,0.9445,0.5855926705003439,0.9445,0.6427691767875509,False
spo2,abn_multi,1591,1591,0.9946,0.9597160086279249,0.9946,0.9956851491005055,False
spo2,log_acr,1595,1595,-0.057,0.5490998727078096,-0.057,0.5201711523873264,False
spo2,log_troponin,1601,1601,0.0036,0.8788093552873577,0.0036,0.9432147898976881,False
spo2,monofilament_missed,1624,1624,-0.0714,0.44773926235499045,-0.0714,0.38009524255291505,False
