exposure,outcome,adjustment,exposure_label,outcome_label,family,scale,sd_unit,n,estimate,ci_lo,ci_hi,p,q,note
steps,abn_kidney,unadjusted,Daily steps,Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,3587.9630826072826,1949,0.8657,0.7521,0.9965,0.044545071050758805,,
steps,abn_kidney,damage,Daily steps,Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,3587.9630826072826,1949,0.9347,0.8104,1.0781,0.353523047233153,0.6427691767875509,
steps,abn_kidney,damage+hba1c,Daily steps,Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,3587.9630826072826,1929,0.8963,0.7743,1.0374,0.14217991247456718,,
steps,abn_heart,unadjusted,Daily steps,Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,3587.9630826072826,1957,0.6225,0.5395,0.7182,8.293774231175186e-11,,
steps,abn_heart,damage,Daily steps,Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,3587.9630826072826,1957,0.786,0.6799,0.9087,0.00113528781496554,0.0151371708662072,
steps,abn_heart,damage+hba1c,Daily steps,Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,3587.9630826072826,1937,0.7772,0.6715,0.8996,0.0007273272553051005,,
steps,abn_nerve,unadjusted,Daily steps,Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,3587.9630826072826,1988,0.7378,0.6369,0.8546,5.0016130057679284e-05,,
steps,abn_nerve,damage,Daily steps,Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,3587.9630826072826,1988,0.8971,0.7741,1.0397,0.1490299976312045,0.38009524255291505,
steps,abn_nerve,damage+hba1c,Daily steps,Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,3587.9630826072826,1931,0.8784,0.7542,1.0231,0.09574469351805118,,
steps,abn_any,unadjusted,Daily steps,Any of the three organs abnormal,binomial,per 1 SD,3587.9630826072826,1943,0.7486,0.6736,0.832,7.69544950198368e-08,,
steps,abn_any,damage,Daily steps,Any of the three organs abnormal,binomial,per 1 SD,3587.9630826072826,1943,0.8755,0.783,0.9788,0.019487035356277875,0.1113544877501593,
