metric,outcome,n,estimate,ci_lo,ci_hi,p,q
ECG heart rate (bpm),abn_heart,2208,1.2058,1.0698,1.3591,0.0021827202980446124,0.003118171854349446
ECG heart rate (bpm),log_troponin,2208,0.0464,0.025,0.0678,2.172272815694781e-05,6.841939315265728e-05
PR interval (ms),abn_heart,2171,1.1554,1.0328,1.2924,0.01156892233050269,0.014461152913128363
PR interval (ms),log_troponin,2171,0.0328,0.0121,0.0535,0.0019342101647295722,0.003118171854349446
QRS duration (ms),abn_heart,2208,1.4358,1.2934,1.5939,1.1371338306606645e-11,5.685669153303323e-11
QRS duration (ms),log_troponin,2208,0.1078,0.0876,0.128,4.9526681265938e-25,4.9526681265938004e-24
QT interval (ms),abn_heart,2208,1.0279,0.9158,1.1536,0.6404711156448972,0.7116345729387746
QT interval (ms),log_troponin,2208,0.0004,-0.0206,0.0214,0.9705488827681672,0.9705488827681672
QTc interval (ms),abn_heart,2208,1.2042,1.08,1.3428,0.0008238355432502416,0.0016476710865004833
QTc interval (ms),log_troponin,2208,0.0438,0.0234,0.0642,2.7367757261062908e-05,6.841939315265728e-05
