exposure,outcome,adjustment,exposure_label,outcome_label,family,scale,sd_unit,n,estimate,ci_lo,ci_hi,p,q,note
rate_bpm,abn_kidney,unadjusted,ECG heart rate (bpm),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,10.946226411379994,2201,1.3489,1.2026,1.5132,3.2688970707501343e-07,,
rate_bpm,abn_kidney,damage,ECG heart rate (bpm),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,10.946226411379994,2201,1.2498,1.1016,1.4179,0.0005350821542088541,0.0016464066283349357,
rate_bpm,abn_heart,unadjusted,ECG heart rate (bpm),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,10.946226411379994,2208,1.2355,1.1156,1.3683,4.891086726344491e-05,,
rate_bpm,abn_heart,damage,ECG heart rate (bpm),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,10.946226411379994,2208,1.2058,1.0698,1.3591,0.0021827202980446124,0.005135812465987323,
rate_bpm,abn_nerve,unadjusted,ECG heart rate (bpm),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,10.946226411379994,2243,1.1383,1.0151,1.2763,0.02661131225596772,,
rate_bpm,abn_nerve,damage,ECG heart rate (bpm),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,10.946226411379994,2243,1.1487,1.0121,1.3037,0.03187933489019872,0.05100693582431796,
rate_bpm,abn_any,unadjusted,ECG heart rate (bpm),Any of the three organs abnormal,binomial,per 1 SD,10.946226411379994,2193,1.2138,1.1117,1.3253,1.5381982207527013e-05,,
rate_bpm,abn_any,damage,ECG heart rate (bpm),Any of the three organs abnormal,binomial,per 1 SD,10.946226411379994,2193,1.184,1.0694,1.3108,0.0011491319625269337,0.003064351900071823,
rate_bpm,abn_multi,unadjusted,ECG heart rate (bpm),Two or more organs abnormal,binomial,per 1 SD,10.946226411379994,2193,1.3329,1.1755,1.5114,7.414869130580153e-06,,
rate_bpm,abn_multi,damage,ECG heart rate (bpm),Two or more organs abnormal,binomial,per 1 SD,10.946226411379994,2193,1.3024,1.1265,1.5058,0.0003590141757950317,0.0011967139193167723,
rate_bpm,log_acr,unadjusted,ECG heart rate (bpm),log urine ACR (mg/g),gaussian,per 1 SD,10.946226411379994,2201,0.2748,0.1956,0.354,1.3147790940549375e-11,,
rate_bpm,log_acr,damage,ECG heart rate (bpm),log urine ACR (mg/g),gaussian,per 1 SD,10.946226411379994,2201,0.2264,0.1438,0.309,8.562649004721937e-08,8.562649004721937e-07,
rate_bpm,log_troponin,unadjusted,ECG heart rate (bpm),log hs-cTnT (ng/L),gaussian,per 1 SD,10.946226411379994,2208,0.0578,0.0351,0.0806,6.789694562920101e-07,,
rate_bpm,log_troponin,damage,ECG heart rate (bpm),log hs-cTnT (ng/L),gaussian,per 1 SD,10.946226411379994,2208,0.0464,0.025,0.0678,2.172272815694781e-05,0.00013683878630531455,
rate_bpm,monofilament_missed,unadjusted,ECG heart rate (bpm),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,10.946226411379994,2243,0.1048,0.025,0.1845,0.01003987607745459,,
rate_bpm,monofilament_missed,damage,ECG heart rate (bpm),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,10.946226411379994,2243,0.0766,-0.0058,0.159,0.06834795730079173,0.0972262184908,
pr_ms,abn_kidney,unadjusted,PR interval (ms),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,29.51649177760556,2166,0.9971,0.8836,1.1251,0.9623666497378306,,
pr_ms,abn_kidney,damage,PR interval (ms),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,29.51649177760556,2166,0.8946,0.792,1.0104,0.0729196638681,0.0972262184908,
pr_ms,abn_heart,unadjusted,PR interval (ms),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,29.51649177760556,2171,1.3936,1.2529,1.5501,9.865721813807072e-10,,
pr_ms,abn_heart,damage,PR interval (ms),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,29.51649177760556,2171,1.1554,1.0328,1.2924,0.01156892233050269,0.02203604253429084,
pr_ms,abn_nerve,unadjusted,PR interval (ms),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,29.51649177760556,2205,1.3451,1.1994,1.5084,3.981335487249434e-07,,
pr_ms,abn_nerve,damage,PR interval (ms),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,29.51649177760556,2205,1.1587,1.0314,1.3018,0.013116116329688766,0.022860644993579708,
pr_ms,abn_any,unadjusted,PR interval (ms),Any of the three organs abnormal,binomial,per 1 SD,29.51649177760556,2158,1.267,1.1564,1.3882,3.7880640542631954e-07,,
pr_ms,abn_any,damage,PR interval (ms),Any of the three organs abnormal,binomial,per 1 SD,29.51649177760556,2158,1.0766,0.9763,1.1872,0.13931729629540301,0.17414662036925377,
pr_ms,abn_multi,unadjusted,PR interval (ms),Two or more organs abnormal,binomial,per 1 SD,29.51649177760556,2158,1.3802,1.216,1.5665,6.126674296726133e-07,,
pr_ms,abn_multi,damage,PR interval (ms),Two or more organs abnormal,binomial,per 1 SD,29.51649177760556,2158,1.1236,0.9849,1.2819,0.0829555499958607,0.10703941934949768,
pr_ms,log_acr,unadjusted,PR interval (ms),log urine ACR (mg/g),gaussian,per 1 SD,29.51649177760556,2166,0.0274,-0.0534,0.1081,0.5059842466538722,,
pr_ms,log_acr,damage,PR interval (ms),log urine ACR (mg/g),gaussian,per 1 SD,29.51649177760556,2166,-0.0499,-0.1313,0.0315,0.2291927538138741,0.2778093985622716,
pr_ms,log_troponin,unadjusted,PR interval (ms),log hs-cTnT (ng/L),gaussian,per 1 SD,29.51649177760556,2171,0.0876,0.0652,0.11,2.5177331374553998e-14,,
pr_ms,log_troponin,damage,PR interval (ms),log hs-cTnT (ng/L),gaussian,per 1 SD,29.51649177760556,2171,0.0328,0.0121,0.0535,0.0019342101647295722,0.00483552541182393,
pr_ms,monofilament_missed,unadjusted,PR interval (ms),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,29.51649177760556,2205,0.1838,0.1064,0.2612,3.3666218475860886e-06,,
pr_ms,monofilament_missed,damage,PR interval (ms),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,29.51649177760556,2205,0.0857,0.0081,0.1634,0.03052248045784966,0.050870800763082764,
qrsd_ms,abn_kidney,unadjusted,QRS duration (ms),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,17.74723097043097,2201,1.2607,1.1372,1.3977,1.0717918555747536e-05,,
qrsd_ms,abn_kidney,damage,QRS duration (ms),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,17.74723097043097,2201,1.149,1.0296,1.2824,0.013144870871308332,0.022860644993579708,
qrsd_ms,abn_heart,unadjusted,QRS duration (ms),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,17.74723097043097,2208,1.641,1.4925,1.8043,1.383283991831626e-24,,
qrsd_ms,abn_heart,damage,QRS duration (ms),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,17.74723097043097,2208,1.4358,1.2934,1.5939,1.1371338306606645e-11,1.5161784408808862e-10,
qrsd_ms,abn_nerve,unadjusted,QRS duration (ms),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,17.74723097043097,2243,1.4296,1.2954,1.5777,1.1791780539404044e-12,,
qrsd_ms,abn_nerve,damage,QRS duration (ms),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,17.74723097043097,2243,1.2519,1.1272,1.3904,2.719067939882222e-05,0.00013683878630531455,
qrsd_ms,abn_any,unadjusted,QRS duration (ms),Any of the three organs abnormal,binomial,per 1 SD,17.74723097043097,2193,1.6294,1.482,1.7915,5.938029167714268e-24,,
qrsd_ms,abn_any,damage,QRS duration (ms),Any of the three organs abnormal,binomial,per 1 SD,17.74723097043097,2193,1.4621,1.3199,1.6196,3.3769909075834526e-13,6.753981815166905e-12,
qrsd_ms,abn_multi,unadjusted,QRS duration (ms),Two or more organs abnormal,binomial,per 1 SD,17.74723097043097,2193,1.5159,1.3651,1.6833,7.105914854571092e-15,,
qrsd_ms,abn_multi,damage,QRS duration (ms),Two or more organs abnormal,binomial,per 1 SD,17.74723097043097,2193,1.257,1.1173,1.4141,0.0001419020884299103,0.0005676083537196412,
qrsd_ms,log_acr,unadjusted,QRS duration (ms),log urine ACR (mg/g),gaussian,per 1 SD,17.74723097043097,2201,0.18,0.1005,0.2595,9.424892172824123e-06,,
qrsd_ms,log_acr,damage,QRS duration (ms),log urine ACR (mg/g),gaussian,per 1 SD,17.74723097043097,2201,0.1162,0.0361,0.1964,0.004470781162325117,0.009412170868052879,
qrsd_ms,log_troponin,unadjusted,QRS duration (ms),log hs-cTnT (ng/L),gaussian,per 1 SD,17.74723097043097,2208,0.1593,0.1375,0.1812,1.746975172477696e-44,,
qrsd_ms,log_troponin,damage,QRS duration (ms),log hs-cTnT (ng/L),gaussian,per 1 SD,17.74723097043097,2208,0.1078,0.0876,0.128,4.9526681265938e-25,1.9810672506375202e-23,
qrsd_ms,monofilament_missed,unadjusted,QRS duration (ms),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,17.74723097043097,2243,0.2803,0.2012,0.3594,4.885124111967729e-12,,
qrsd_ms,monofilament_missed,damage,QRS duration (ms),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,17.74723097043097,2243,0.1779,0.0985,0.2573,1.1522041190863673e-05,9.217632952690939e-05,
qt_ms,abn_kidney,unadjusted,QT interval (ms),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,33.384159307964325,2201,0.9073,0.8032,1.025,0.1179395065416496,,
qt_ms,abn_kidney,damage,QT interval (ms),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,33.384159307964325,2201,0.9321,0.8207,1.0587,0.27927355984364444,0.328557129227817,
qt_ms,abn_heart,unadjusted,QT interval (ms),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,33.384159307964325,2208,1.0845,0.9785,1.202,0.12196249842970268,,
qt_ms,abn_heart,damage,QT interval (ms),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,33.384159307964325,2208,1.0279,0.9158,1.1536,0.6404711156448972,0.7116345729387746,
qt_ms,abn_nerve,unadjusted,QT interval (ms),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,33.384159307964325,2243,1.0593,0.9435,1.1893,0.32925778124135774,,
qt_ms,abn_nerve,damage,QT interval (ms),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,33.384159307964325,2243,0.9782,0.8647,1.1067,0.7265345697878483,0.7854427781490251,
qt_ms,abn_any,unadjusted,QT interval (ms),Any of the three organs abnormal,binomial,per 1 SD,33.384159307964325,2193,1.046,0.9582,1.1419,0.3148947713981818,,
