outcome,exposure,adjustment,outcome_label,exposure_label,scale,n,estimate,ci_lo,ci_hi,p,q,note
unrec_kidney,healthcare_access_barriers,unadjusted,Unrecognized — kidney,Healthcare access barriers (0-3),per 1 SD,268,1.1814,0.9136,1.5276,0.20377142253054714,,
unrec_kidney,healthcare_access_barriers,full,Unrecognized — kidney,Healthcare access barriers (0-3),per 1 SD,263,1.1037,0.8018,1.5192,0.5450707403020109,0.8330194307690096,
unrec_kidney,prescription_unaffordable,unadjusted,Unrecognized — kidney,Prescription unaffordability (0-4),per 1 SD,262,0.7674,0.6323,0.9314,0.007370592281797658,,
unrec_kidney,prescription_unaffordable,full,Unrecognized — kidney,Prescription unaffordability (0-4),per 1 SD,257,0.7678,0.5905,0.9983,0.04849246766756142,0.28400099045646876,
unrec_kidney,food_insecurity,unadjusted,Unrecognized — kidney,"Food insecurity, USDA count (0-5)",per 1 SD,313,1.0077,0.8034,1.264,0.9471108538528764,,
unrec_kidney,food_insecurity,full,Unrecognized — kidney,"Food insecurity, USDA count (0-5)",per 1 SD,308,1.0517,0.7769,1.4237,0.7442660758876002,0.8462507672096786,
unrec_kidney,food_insecure,unadjusted,Unrecognized — kidney,Food insecure (USDA >= 2),yes vs no,313,0.8365,0.4292,1.63,0.5998585553379785,,
unrec_kidney,food_insecure,full,Unrecognized — kidney,Food insecure (USDA >= 2),yes vs no,308,0.8956,0.3828,2.0952,0.7992368356980298,0.8462507672096786,
unrec_kidney,housing_insecure,unadjusted,Unrecognized — kidney,Housing insecure (no steady place or at risk),yes vs no,265,2.6808,0.5902,12.1772,0.2015879917026776,,
unrec_kidney,housing_insecure,full,Unrecognized — kidney,Housing insecure (no steady place or at risk),yes vs no,260,3.5352,0.5064,24.6795,0.20278441075602383,0.5214456276583469,
unrec_kidney,clinician_discrimination,unadjusted,Unrecognized — kidney,"Clinician discrimination, mean (1-5)",per 1 SD,265,0.8589,0.6429,1.1474,0.3031990274413935,,
unrec_kidney,clinician_discrimination,full,Unrecognized — kidney,"Clinician discrimination, mean (1-5)",per 1 SD,260,0.9102,0.631,1.313,0.6148558286403076,0.8330194307690096,
unrec_heart,healthcare_access_barriers,unadjusted,Unrecognized — heart,Healthcare access barriers (0-3),per 1 SD,382,0.7181,0.5893,0.875,0.0010214470295709579,,
unrec_heart,healthcare_access_barriers,full,Unrecognized — heart,Healthcare access barriers (0-3),per 1 SD,375,0.6599,0.53,0.8215,0.00020046810582549014,0.0036084259048588226,
unrec_heart,prescription_unaffordable,unadjusted,Unrecognized — heart,Prescription unaffordability (0-4),per 1 SD,376,1.0257,0.8358,1.2586,0.8080952031433059,,
unrec_heart,prescription_unaffordable,full,Unrecognized — heart,Prescription unaffordability (0-4),per 1 SD,369,1.0919,0.8641,1.3799,0.46145603309072036,0.8330194307690096,
unrec_heart,food_insecurity,unadjusted,Unrecognized — heart,"Food insecurity, USDA count (0-5)",per 1 SD,441,1.0881,0.885,1.3378,0.42321377117500836,,
unrec_heart,food_insecurity,full,Unrecognized — heart,"Food insecurity, USDA count (0-5)",per 1 SD,432,1.0597,0.837,1.3417,0.6297857332978305,0.8330194307690096,
unrec_heart,food_insecure,unadjusted,Unrecognized — heart,Food insecure (USDA >= 2),yes vs no,441,1.5076,0.8075,2.8147,0.19753816691685178,,
unrec_heart,food_insecure,full,Unrecognized — heart,Food insecure (USDA >= 2),yes vs no,432,1.5043,0.7401,3.0577,0.2592105057831484,0.5832236380120839,
unrec_heart,housing_insecure,unadjusted,Unrecognized — heart,Housing insecure (no steady place or at risk),yes vs no,381,0.7469,0.2973,1.876,0.5345638395231613,,
unrec_heart,housing_insecure,full,Unrecognized — heart,Housing insecure (no steady place or at risk),yes vs no,374,0.6712,0.2237,2.0138,0.4769782392464702,0.8330194307690096,
unrec_heart,clinician_discrimination,unadjusted,Unrecognized — heart,"Clinician discrimination, mean (1-5)",per 1 SD,381,0.8389,0.6657,1.057,0.13628917575201602,,
unrec_heart,clinician_discrimination,full,Unrecognized — heart,"Clinician discrimination, mean (1-5)",per 1 SD,374,0.7787,0.5982,1.0138,0.06311133121254861,0.28400099045646876,
unrec_either,healthcare_access_barriers,unadjusted,Unrecognized — either organ,Healthcare access barriers (0-3),per 1 SD,536,0.914,0.7641,1.0933,0.32496902531560223,,
unrec_either,healthcare_access_barriers,full,Unrecognized — either organ,Healthcare access barriers (0-3),per 1 SD,528,0.8741,0.7197,1.0617,0.17486797178779745,0.5214456276583469,
unrec_either,prescription_unaffordable,unadjusted,Unrecognized — either organ,Prescription unaffordability (0-4),per 1 SD,527,0.9003,0.7652,1.0593,0.2056980600492866,,
unrec_either,prescription_unaffordable,full,Unrecognized — either organ,Prescription unaffordability (0-4),per 1 SD,519,0.8766,0.7289,1.0542,0.1617483202415808,0.5214456276583469,
unrec_either,food_insecurity,unadjusted,Unrecognized — either organ,"Food insecurity, USDA count (0-5)",per 1 SD,609,1.0597,0.8771,1.2804,0.5477303759854322,,
unrec_either,food_insecurity,full,Unrecognized — either organ,"Food insecurity, USDA count (0-5)",per 1 SD,600,0.993,0.8028,1.2282,0.9483046315393509,0.9483046315393509,
unrec_either,food_insecure,unadjusted,Unrecognized — either organ,Food insecure (USDA >= 2),yes vs no,609,1.0768,0.6222,1.8638,0.791401327387129,,
unrec_either,food_insecure,full,Unrecognized — either organ,Food insecure (USDA >= 2),yes vs no,600,0.9136,0.492,1.6964,0.7746844773400836,0.8462507672096786,
unrec_either,housing_insecure,unadjusted,Unrecognized — either organ,Housing insecure (no steady place or at risk),yes vs no,533,1.4181,0.5276,3.8116,0.48861204894891164,,
