exposure,outcome,exposure_label,r_exposure_age,r_outcome_age,opposite_signs,crude,crude_p,age_adjusted,age_adjusted_p,adjusted_exceeds_crude,n
cesd_total,abn_kidney,CES-D-10 total,-0.219,0.108,True,0.9508,0.42195834742522387,1.0167,0.7976520983988441,True,2222
cesd_total,abn_heart,CES-D-10 total,-0.219,0.291,True,0.8965,0.052434300232433624,1.0609,0.3234619961183245,True,2230
cesd_total,abn_nerve,CES-D-10 total,-0.219,0.211,True,1.0783,0.19042590909786938,1.2615,0.00014604318639027634,True,2265
cesd_total,abn_any,CES-D-10 total,-0.219,0.289,True,0.951,0.27329831243104297,1.0984,0.05451134735369302,True,2213
cesd_total,monofilament_missed,CES-D-10 total,-0.219,0.206,True,0.0564,0.1672485718203456,0.1519,0.00020432388341640287,True,2265
paid_total,abn_kidney,PAID-5 total,-0.146,0.108,True,1.17,0.006779672482561063,1.2314,0.0004296914003491638,True,2175
paid_total,abn_heart,PAID-5 total,-0.146,0.291,True,0.9317,0.20308019696046753,1.0478,0.42412404331187625,True,2182
paid_total,abn_nerve,PAID-5 total,-0.146,0.211,True,0.9414,0.33486830350916963,1.0322,0.6220783681386042,True,2219
paid_total,abn_any,PAID-5 total,-0.146,0.289,True,0.996,0.9292690612191447,1.1027,0.042280465218363115,True,2168
paid_total,monofilament_missed,PAID-5 total,-0.146,0.206,True,-0.0295,0.47406226236176763,0.0291,0.4756018515599133,True,2219
bmi,abn_kidney,BMI,-0.196,0.108,True,1.0785,0.20210499346314925,1.1613,0.015420668799164745,True,2220
bmi,abn_heart,BMI,-0.196,0.291,True,1.1309,0.01656735650454551,1.3943,6.35409371244196e-09,True,2228
bmi,abn_nerve,BMI,-0.196,0.211,True,1.1625,0.007490317154194339,1.372,2.408677155617971e-07,True,2265
bmi,abn_any,BMI,-0.196,0.289,True,1.1853,0.00012673370422327845,1.4092,1.886054716742566e-12,True,2213
bmi,monofilament_missed,BMI,-0.196,0.206,True,0.1396,0.0005349561388783966,0.2257,1.863922723336277e-08,True,2265
hba1c,abn_kidney,HbA1c,0.059,0.108,False,1.691,2.190069122945291e-23,1.7051,8.443642966472481e-24,True,2203
hba1c,abn_heart,HbA1c,0.059,0.291,False,1.5322,3.355382967908401e-18,1.5859,5.233884940384193e-19,True,2211
hba1c,abn_nerve,HbA1c,0.059,0.211,False,1.3071,1.2181980111662183e-07,1.3204,3.1111463990376386e-07,True,2203
hba1c,abn_any,HbA1c,0.059,0.289,False,1.725,3.560865609320009e-24,1.7114,3.1679437635157925e-24,False,2196
hba1c,monofilament_missed,HbA1c,0.059,0.206,False,0.2415,4.278995524526956e-09,0.2178,6.301496970938269e-08,False,2203
steps,abn_kidney,Daily steps,-0.298,0.108,True,0.8657,0.044545071050758805,0.956,0.5409148338192733,True,1949
steps,abn_heart,Daily steps,-0.298,0.291,True,0.6225,8.293774231175186e-11,0.8051,0.003410245276028651,True,1957
steps,abn_nerve,Daily steps,-0.298,0.211,True,0.7378,5.0016130057679284e-05,0.9112,0.22163434734121912,True,1988
steps,abn_any,Daily steps,-0.298,0.289,True,0.7486,7.69544950198368e-08,0.9065,0.07789455918528368,True,1943
steps,monofilament_missed,Daily steps,-0.298,0.206,True,-0.2268,1.7900891037492918e-07,-0.1138,0.010750688029021026,True,1988
stress,abn_kidney,Garmin stress,-0.1,0.108,True,1.2554,0.00036641425020454,1.2985,4.844155790163582e-05,True,1942
stress,abn_heart,Garmin stress,-0.1,0.291,True,1.0345,0.552187757818937,1.1226,0.05243312727744172,True,1950
stress,abn_nerve,Garmin stress,-0.1,0.211,True,1.0246,0.7002584747437788,1.0932,0.16678938117822295,True,1981
stress,abn_any,Garmin stress,-0.1,0.289,True,1.043,0.38171725006813106,1.1189,0.02588624354989978,True,1936
stress,monofilament_missed,Garmin stress,-0.1,0.206,True,0.0528,0.22731026759606782,0.095,0.026804476509767947,True,1981
sleep_hours,abn_kidney,Sleep hours,-0.067,0.108,True,1.0406,0.5345632378048668,1.0616,0.35435219661828443,True,2008
sleep_hours,abn_heart,Sleep hours,-0.067,0.291,True,0.8851,0.03234959311806925,0.9105,0.11631491551203885,True,2016
sleep_hours,abn_nerve,Sleep hours,-0.067,0.211,True,1.0916,0.15792694436906685,1.1314,0.05307664836963837,True,2046
sleep_hours,abn_any,Sleep hours,-0.067,0.289,True,0.9795,0.6612756562653483,1.018,0.7175478069164527,True,2001
sleep_hours,monofilament_missed,Sleep hours,-0.067,0.206,True,0.0597,0.16523920400331452,0.0866,0.03987163079254708,True,2046
heart_rate,abn_kidney,Resting heart rate,-0.271,0.108,True,1.1447,0.0432937777471691,1.2892,0.00036990552752448136,True,1942
heart_rate,abn_heart,Resting heart rate,-0.271,0.291,True,0.8862,0.03675679571868049,1.1155,0.08896747414718566,True,1950
heart_rate,abn_nerve,Resting heart rate,-0.271,0.211,True,0.9542,0.4608072406441516,1.155,0.03773672857418102,True,1981
heart_rate,abn_any,Resting heart rate,-0.271,0.289,True,0.9528,0.31790776541158183,1.1598,0.005380707950878718,True,1936
heart_rate,monofilament_missed,Resting heart rate,-0.271,0.206,True,-0.0426,0.32791747200018573,0.0737,0.09572050719790763,True,1981
spo2,abn_kidney,SpO2,-0.049,0.108,True,0.878,0.0767271582788743,0.8862,0.10454842861330921,True,1595
spo2,abn_heart,SpO2,-0.049,0.291,True,0.9563,0.4764311844053478,0.9748,0.706350921850913,True,1601
spo2,abn_nerve,SpO2,-0.049,0.211,True,0.8831,0.07334545749059257,0.8971,0.13280476521549278,True,1624
spo2,abn_any,SpO2,-0.049,0.289,True,0.8952,0.038706007170262374,0.9109,0.09836291328502353,True,1591
spo2,monofilament_missed,SpO2,-0.049,0.206,True,-0.1178,0.01987361323151806,-0.0947,0.055267011611460325,True,1624
