experiment,claim,pct_Healthy,pct_Insulin,spread_points,trend_z,trend_p,crit_effect_size,adjusted_severity_or_per_step,adjusted_severity_p,crit_survives_adjustment,adjustment_basis,e14_model_A_insulin_p,e14_model_C_insulin_p,sites_same_direction,sites_p_lt_05,crit_consistent_sites,coherence_tier,crit_coherent_with_core,criteria_met
E1.1,kidney prevalence rises with severity,8.6,30.6,22.02,8.81,1.2528613988292982e-18,True,1.6767,9.89683042953432e-17,True,"logistic: flag ~ severity score + age + site; severity OR per step 1.6767 (1.4842-1.8942), p=9.9e-17",,,3,3,True,pre-declared — H1 core sweep,True,4
E1.1,heart prevalence rises with severity,12.7,49.2,36.54,11.313,1.1282831714070186e-29,True,1.8257,3.487870227099437e-25,True,"logistic: flag ~ severity score + age + site; severity OR per step 1.8257 (1.6293-2.0458), p=3.49e-25",,,3,3,True,pre-declared — H1 core sweep,True,4
E1.1,nerve prevalence rises with severity,12.1,26.4,14.32,5.119,3.076487948373663e-07,True,1.2918,1.9958217776515626e-05,True,"logistic: flag ~ severity score + age + site; severity OR per step 1.2918 (1.1484-1.4532), p=2e-05",,,3,2,True,pre-declared — H1 core sweep,True,4
E1.1,any-organ prevalence rises with severity,25.4,65.6,40.21,11.162,6.254948841873524e-29,True,1.6394,9.035577895135115e-25,True,"logistic: flag ~ severity score + age + site; severity OR per step 1.6394 (1.4919-1.8015), p=9.04e-25",,,3,3,True,pre-declared — H1 core sweep,True,4
E1.2,kidney unrecognized fraction falls with severity,88.9,56.6,-32.31,-3.921,8.813631765300566e-05,True,0.5622,3.913574157254796e-05,True,"logistic: flag ~ severity score + age + site; severity OR per step 0.5622 (0.4272-0.7397), p=3.91e-05",2.7047607815847184e-05,3.448514354987509e-05,3,2,True,pre-declared — H1 core sweep,True,4
E1.2,heart unrecognized fraction falls with severity,74.2,62.6,-11.63,-2.285,0.022311711700010773,True,0.7587,0.0051952526156901924,True,"logistic: flag ~ severity score + age + site; severity OR per step 0.7587 (0.6252-0.9208), p=0.0052",0.0147360214574366,0.1370103068736749,3,0,True,pre-declared — H1 core sweep,True,4
E1.2,either-organ unrecognized fraction falls with severity,84.9,69.9,-14.96,-2.851,0.004353916438337888,True,0.7401,0.0016187153244019447,True,"logistic: flag ~ severity score + age + site; severity OR per step 0.7401 (0.6138-0.8924), p=0.00162",,,3,1,True,pre-declared — H1 core sweep,True,4
E1.2,kidney unrecognized burden rises with severity,7.4,17.4,10.03,5.234,1.6562758931547263e-07,True,1.3973,1.6539697090373885e-06,True,"logistic: flag ~ severity score + age + site; severity OR per step 1.3973 (1.2186-1.6022), p=1.65e-06",,,3,3,True,pre-declared — H1 core sweep,True,4
E1.2,heart unrecognized burden rises with severity,9.4,30.8,21.4,7.361,1.8215827280341577e-13,True,1.5324,2.0977719508498493e-11,True,"logistic: flag ~ severity score + age + site; severity OR per step 1.5324 (1.3525-1.7362), p=2.1e-11",,,3,3,True,pre-declared — H1 core sweep,True,4
E1.2,either-organ unrecognized burden rises with severity,15.5,40.7,25.1,8.153,3.562898754269843e-16,True,1.4951,4.4763556228499917e-14,True,"logistic: flag ~ severity score + age + site; severity OR per step 1.4951 (1.3468-1.6597), p=4.48e-14",,,3,3,True,pre-declared — H1 core sweep,True,4
E1.3,two-or-more organs rises with severity,5.9,31.1,25.23,10.134,3.9034616456114546e-24,True,1.9529,1.1021670697167873e-19,True,"logistic: flag ~ severity score + age + site; severity OR per step 1.9529 (1.6901-2.2565), p=1.1e-19",,,3,3,True,pre-declared — H1 core sweep,True,4
