rank,experiment,exposure,outcome,exposure_label,outcome_label,scale,family,n,estimate,ci_lo,ci_hi,p,q,effect_size_standardised,effect_margin_over_floor,crit_effect_size,crit_survives_adjustment,sites_fitted,sites_same_direction,sites_p_lt_05,consistent_across_sites,heterogeneity_q_p,i_squared_pct,crit_consistent_sites,coherence_tier,crit_coherent_with_core,criteria_met
1,E2A.2,undiagnosed_range,abn_kidney,undiagnosed_range,Kidney abnormal (ACR >= 30 mg/g),yes vs no,binomial,1305,4.1071,2.0606,8.186,5.956349854383105e-05,0.0008934524781574,4.107,3.484,True,True,3,3,2,True,0.760985224934878,0.0,True,core-adjacent — unrecognized diabetes beneath unrecognized damage,True,4
2,E2A.2,undiagnosed_range_cgm,abn_kidney,undiagnosed_range_cgm,Kidney abnormal (ACR >= 30 mg/g),yes vs no,binomial,1295,2.9178,1.4401,5.9115,0.0029547155309227,0.0209540392666841,2.918,2.641,True,True,3,3,1,True,0.410909633375782,0.0,True,core-adjacent — unrecognized diabetes beneath unrecognized damage,True,4
3,E2A.2,undiagnosed_range,abn_any,undiagnosed_range,Any of the three organs abnormal,yes vs no,binomial,1301,2.575,1.3478,4.9199,0.0041908078533368,0.0209540392666841,2.575,2.333,True,True,3,3,1,True,0.777278940164171,0.0,True,core-adjacent — unrecognized diabetes beneath unrecognized damage,True,4
4,E2F.1,healthcare_access_barriers,unrec_heart,Healthcare access barriers (0-3),Unrecognized — heart,per 1 SD,binomial,375,0.6599,0.53,0.8215,0.0002004681058254,0.0036084259048588,1.515,2.28,True,True,3,3,1,True,0.6476109827020352,0.0,True,mechanistic — tests why damage goes unrecognized,True,4
5,E2A.1,tar_180,abn_kidney,CGM time above 180 mg/dL (%),Kidney abnormal (ACR >= 30 mg/g),per 1 SD,binomial,2195,1.4926,1.3263,1.6797,2.994126540084551e-11,4.4976383644938166e-10,1.493,2.197,True,True,3,3,3,True,0.5597776305458357,0.0,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
6,E2A.1,hba1c,abn_kidney,HbA1c (%),Kidney abnormal (ACR >= 30 mg/g),per 1 SD,binomial,2203,1.4902,1.3217,1.6802,7.181399275208602e-11,7.181399275208602e-10,1.49,2.188,True,True,3,3,3,True,0.9774187007237646,0.0,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
7,E2A.1,glucose_mean,abn_kidney,CGM mean glucose (mg/dL),Kidney abnormal (ACR >= 30 mg/g),per 1 SD,binomial,2195,1.4815,1.319,1.6641,3.373228773370363e-11,4.4976383644938166e-10,1.482,2.156,True,True,3,3,3,True,0.4421611275127306,0.0,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
8,E2A.1,mage,abn_kidney,CGM MAGE (mg/dL),Kidney abnormal (ACR >= 30 mg/g),per 1 SD,binomial,2194,1.4372,1.2627,1.6358,4.003789896821831e-08,1.6015159587287325e-07,1.437,1.989,True,True,3,3,3,True,0.49383628462427875,0.0,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
9,E2E.2,qrsd_ms,abn_heart,QRS duration (ms),Heart abnormal (hs-cTnT >= 14 ng/L),per 1 SD,binomial,2208,1.4358,1.2934,1.5939,1.1371338306606644e-11,1.5161784408808862e-10,1.436,1.984,True,True,3,3,3,True,0.060160303450504146,64.4,True,corroborative — independent instrument agrees with the heart marker,True,4
10,E2E.2,qrsd_ms,log_troponin,QRS duration (ms),log hs-cTnT (ng/L),per 1 SD,gaussian,2208,0.1078,0.0876,0.128,4.9526681265938e-25,1.9810672506375202e-23,0.197,1.971,True,True,3,3,3,True,0.3497130352314908,4.8,True,corroborative — independent instrument agrees with the heart marker,True,4
11,E2A.1,tar_180,abn_any,CGM time above 180 mg/dL (%),Any of the three organs abnormal,per 1 SD,binomial,2188,1.4172,1.2651,1.5875,1.7266759069468123e-09,1.1511172712978752e-08,1.417,1.912,True,True,3,3,3,True,0.6434767959317822,0.0,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
12,E2A.1,glucose_mean,abn_multi,CGM mean glucose (mg/dL),Two or more organs abnormal,per 1 SD,binomial,2188,1.4135,1.2403,1.6109,2.1097170498505165e-07,6.491437076463128e-07,1.413,1.898,True,True,3,3,3,True,0.5846506317467834,0.0,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
13,E2A.1,glucose_mean,abn_any,CGM mean glucose (mg/dL),Any of the three organs abnormal,per 1 SD,binomial,2188,1.4077,1.2545,1.5796,6.032141743366308e-09,3.016070871683154e-08,1.408,1.876,True,True,3,3,3,True,0.5114135100020557,0.0,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
14,E2A.1,hba1c,abn_multi,HbA1c (%),Two or more organs abnormal,per 1 SD,binomial,2196,1.4013,1.2269,1.6005,6.511631803313478e-07,1.8604662295181368e-06,1.401,1.851,True,True,3,3,3,True,0.9594643548430725,0.0,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
15,E2A.1,tar_180,abn_multi,CGM time above 180 mg/dL (%),Two or more organs abnormal,per 1 SD,binomial,2188,1.3784,1.2041,1.578,3.2827940134803955e-06,8.754117369281054e-06,1.378,1.76,True,True,3,3,2,True,0.5792170073642514,0.0,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
16,E2A.1,hba1c,log_acr,HbA1c (%),log urine ACR (mg/g),per 1 SD,gaussian,2203,0.3369,0.2444,0.4295,1.2715713669618114e-12,5.086285467847246e-11,0.175,1.754,True,True,3,3,3,True,0.7645481926240831,0.0,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
17,E2A.1,hba1c,abn_any,HbA1c (%),Any of the three organs abnormal,per 1 SD,binomial,2196,1.3755,1.2236,1.5462,9.325235201954576e-08,3.390994618892574e-07,1.375,1.749,True,True,3,3,3,True,0.6394089283456732,0.0,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
18,E2A.1,tar_180,log_acr,CGM time above 180 mg/dL (%),log urine ACR (mg/g),per 1 SD,gaussian,2195,0.2959,0.2018,0.39,8.414004354353276e-10,6.7312034834826205e-09,0.154,1.54,True,True,3,3,3,True,0.06500511319568418,63.4,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
19,E2A.1,mage,abn_multi,CGM MAGE (mg/dL),Two or more organs abnormal,per 1 SD,binomial,2187,1.3042,1.125,1.5119,0.0004290452425115,0.0009032531421296,1.304,1.457,True,True,3,3,2,True,0.9539455837720229,0.0,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
20,E2A.1,glucose_mean,log_acr,CGM mean glucose (mg/dL),log urine ACR (mg/g),per 1 SD,gaussian,2195,0.2782,0.1868,0.3697,2.775614909668543e-09,1.586065662667739e-08,0.145,1.448,True,True,3,3,3,True,0.04434065298316928,67.9,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
21,E2A.1,glucose_cv,abn_kidney,CGM coefficient of variation (%),Kidney abnormal (ACR >= 30 mg/g),per 1 SD,binomial,2195,1.2964,1.1442,1.4689,4.6198907692938635e-05,0.0001026642393176,1.296,1.424,True,True,3,3,2,True,0.46347393559227634,0.0,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
22,E2A.1,glucose_mean,log_troponin,CGM mean glucose (mg/dL),log hs-cTnT (ng/L),per 1 SD,gaussian,2202,0.0669,0.0438,0.09,1.5830126031371348e-08,7.035611569498376e-08,0.122,1.223,True,True,3,3,3,True,0.3136329044140787,13.8,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
