experiment,exposure,outcome,site,n,estimate,ci_lo,ci_hi,p,note
E2C.1,cesd_total,abn_kidney,UW,795,0.9413,0.7372,1.2019,0.6277036330887092,
E2C.1,cesd_total,abn_kidney,UAB,788,0.8762,0.7017,1.0941,0.24348906750603205,
E2C.1,cesd_total,abn_kidney,UCSD,639,1.0078,0.8067,1.2591,0.9451577063425356,
E2C.1,cesd_total,abn_heart,UW,795,0.8905,0.6946,1.1416,0.3600938077092516,
E2C.1,cesd_total,abn_heart,UAB,792,0.9661,0.7848,1.1892,0.7446759869273815,
E2C.1,cesd_total,abn_heart,UCSD,643,1.0034,0.814,1.2368,0.9747208954424791,
E2C.1,cesd_total,abn_nerve,UW,793,1.1968,0.9394,1.5248,0.14597002191212327,
E2C.1,cesd_total,abn_nerve,UAB,799,1.1381,0.9367,1.3828,0.19293571881367133,
E2C.1,cesd_total,abn_nerve,UCSD,673,1.3776,1.1097,1.7101,0.003685770636768582,
E2C.1,cesd_total,abn_any,UW,791,0.9713,0.805,1.1718,0.7606802541830318,
E2C.1,cesd_total,abn_any,UAB,788,0.9208,0.7781,1.0895,0.33632279286008937,
E2C.1,cesd_total,abn_any,UCSD,634,1.1752,0.9844,1.4029,0.07414770832282172,
E2C.1,cesd_total,abn_multi,UW,791,1.037,0.7612,1.4129,0.8176922017497196,
E2C.1,cesd_total,abn_multi,UAB,788,1.0042,0.7937,1.2704,0.9723447123191222,
E2C.1,cesd_total,abn_multi,UCSD,634,0.9251,0.6851,1.2492,0.6115387993018135,
E2C.1,cesd_total,log_acr,UW,795,0.0316,-0.1114,0.1745,0.664844419218347,
E2C.1,cesd_total,log_acr,UAB,788,0.0273,-0.1014,0.156,0.6771140535322238,
E2C.1,cesd_total,log_acr,UCSD,639,0.0103,-0.1462,0.1668,0.8973641467139952,
E2C.1,cesd_total,log_troponin,UW,795,-0.0068,-0.0395,0.0259,0.6839115838034007,
E2C.1,cesd_total,log_troponin,UAB,792,0.01,-0.0271,0.0472,0.5962775218042532,
E2C.1,cesd_total,log_troponin,UCSD,643,0.0069,-0.0325,0.0462,0.7319662334447878,
E2C.1,cesd_total,monofilament_missed,UW,793,0.0796,-0.0488,0.2079,0.22403478240426894,
E2C.1,cesd_total,monofilament_missed,UAB,799,0.1387,-0.0106,0.288,0.06851339756188256,
E2C.1,cesd_total,monofilament_missed,UCSD,673,0.1228,-0.0129,0.2586,0.07604363019790815,
E2C.1,cesd_positive,abn_kidney,UW,795,0.8117,0.4558,1.4454,0.47848678358272323,
E2C.1,cesd_positive,abn_kidney,UAB,788,0.7303,0.4349,1.2265,0.23478704925972194,
E2C.1,cesd_positive,abn_kidney,UCSD,639,1.3546,0.7607,2.4122,0.3025269227763454,
E2C.1,cesd_positive,abn_heart,UW,795,1.1025,0.6416,1.8946,0.7238687549365856,
E2C.1,cesd_positive,abn_heart,UAB,792,0.8079,0.4963,1.3151,0.39090005956467944,
E2C.1,cesd_positive,abn_heart,UCSD,643,1.0579,0.6031,1.8558,0.8443164053493919,
E2C.1,cesd_positive,abn_nerve,UW,793,1.365,0.7741,2.4071,0.2822616706374881,
E2C.1,cesd_positive,abn_nerve,UAB,799,1.2865,0.8148,2.0311,0.27963769099483404,
E2C.1,cesd_positive,abn_nerve,UCSD,673,2.0774,1.1579,3.7269,0.014218485433979496,
E2C.1,cesd_positive,abn_any,UW,791,1.0954,0.7078,1.6952,0.6826822491597289,
E2C.1,cesd_positive,abn_any,UAB,788,0.7842,0.5271,1.1666,0.23023000935116344,
E2C.1,cesd_positive,abn_any,UCSD,634,1.5761,0.9792,2.5369,0.06101444854692686,
E2C.1,cesd_positive,abn_multi,UW,791,1.2175,0.6166,2.404,0.570754502908692,
E2C.1,cesd_positive,abn_multi,UAB,788,0.9937,0.5796,1.7036,0.9815959286851634,
E2C.1,cesd_positive,abn_multi,UCSD,634,0.9909,0.4458,2.2023,0.982011915701735,
E2C.1,cesd_positive,log_acr,UW,795,0.0735,-0.2665,0.4135,0.6714513655220145,
E2C.1,cesd_positive,log_acr,UAB,788,0.0334,-0.2737,0.3405,0.8310519502144451,
E2C.1,cesd_positive,log_acr,UCSD,639,0.0086,-0.4108,0.428,0.967923357446494,
E2C.1,cesd_positive,log_troponin,UW,795,0.0244,-0.0532,0.1021,0.5368328155139506,
E2C.1,cesd_positive,log_troponin,UAB,792,0.0285,-0.0599,0.1169,0.5272553774498168,
E2C.1,cesd_positive,log_troponin,UCSD,643,0.0518,-0.0533,0.157,0.33351838587107474,
E2C.1,cesd_positive,monofilament_missed,UW,793,0.1975,-0.1079,0.5028,0.20470970063192614,
E2C.1,cesd_positive,monofilament_missed,UAB,799,0.3212,-0.0361,0.6785,0.07804349631057675,
E2C.1,cesd_positive,monofilament_missed,UCSD,673,0.2588,-0.1066,0.6243,0.1648137261639414,
E2C.3,paid_total,abn_kidney,UW,765,1.107,0.8844,1.3858,0.3748702561834456,
E2C.3,paid_total,abn_kidney,UAB,780,1.1473,0.9283,1.4179,0.2036596678957655,
E2C.3,paid_total,abn_kidney,UCSD,630,1.1118,0.8966,1.3786,0.33436709260505815,
E2C.3,paid_total,abn_heart,UW,765,0.8392,0.6512,1.0814,0.1754215031199562,
E2C.3,paid_total,abn_heart,UAB,783,0.9298,0.7483,1.1553,0.5111069173332399,
E2C.3,paid_total,abn_heart,UCSD,634,0.9566,0.7783,1.1757,0.6733535520715828,
E2C.3,paid_total,abn_nerve,UW,765,1.1695,0.9205,1.4858,0.19990249538165494,
E2C.3,paid_total,abn_nerve,UAB,790,0.866,0.6897,1.0873,0.21528574108815413,
E2C.3,paid_total,abn_nerve,UCSD,664,1.0202,0.8119,1.2818,0.8639357946270239,
E2C.3,paid_total,abn_any,UW,763,1.0212,0.8519,1.2242,0.820425453317478,
E2C.3,paid_total,abn_any,UAB,780,0.9071,0.7557,1.0888,0.2950894493875098,
E2C.3,paid_total,abn_any,UCSD,625,1.0479,0.8826,1.2442,0.5928719877114191,
