claim,organ,stratum,n,k,smaller_cell,pct,wilson_lo,wilson_hi,boot_lo,boot_hi,small_cell_rule_applies
unrecognized_fraction,kidney,Healthy,63,56,7,88.9,78.8,94.5,81.0,95.2,True
unrecognized_fraction,kidney,Pre-DM,56,40,16,71.4,58.5,81.6,58.9,82.1,True
unrecognized_fraction,kidney,Oral Med,120,87,33,72.5,63.9,79.7,64.2,80.0,True
unrecognized_fraction,kidney,Insulin,76,43,33,56.6,45.4,67.1,46.0,67.1,True
unrecognized_fraction,heart,Healthy,97,72,25,74.2,64.7,81.9,66.0,82.5,True
unrecognized_fraction,heart,Pre-DM,76,56,20,73.7,62.8,82.3,63.2,82.9,True
unrecognized_fraction,heart,Oral Med,151,93,58,61.6,53.6,69.0,53.6,69.5,False
unrecognized_fraction,heart,Insulin,123,77,46,62.6,53.8,70.6,53.7,70.7,True
unrecognized_fraction,either,Healthy,139,118,21,84.9,78.0,89.9,79.1,90.6,True
unrecognized_fraction,either,Pre-DM,118,90,28,76.3,67.8,83.0,68.6,83.9,True
unrecognized_fraction,either,Oral Med,215,163,52,75.8,69.7,81.1,69.8,81.4,False
unrecognized_fraction,either,Insulin,143,100,43,69.9,62.0,76.8,62.2,76.9,True
population_burden,kidney,Healthy,759,56,56,7.4,5.7,9.5,5.7,9.4,False
population_burden,kidney,Pre-DM,548,40,40,7.3,5.4,9.8,5.3,9.5,True
population_burden,kidney,Oral Med,661,87,87,13.2,10.8,16.0,10.7,15.7,False
population_burden,kidney,Insulin,247,43,43,17.4,13.2,22.6,12.6,22.3,True
population_burden,heart,Healthy,766,72,72,9.4,7.5,11.7,7.4,11.5,False
population_burden,heart,Pre-DM,551,56,56,10.2,7.9,13.0,7.8,12.7,False
population_burden,heart,Oral Med,666,93,93,14.0,11.5,16.8,11.4,16.7,False
population_burden,heart,Insulin,250,77,77,30.8,25.4,36.8,25.2,36.4,False
population_burden,either,Healthy,759,118,118,15.5,13.1,18.3,13.0,18.1,False
population_burden,either,Pre-DM,548,90,90,16.4,13.6,19.8,13.3,19.7,False
population_burden,either,Oral Med,661,163,163,24.7,21.5,28.1,21.5,28.3,False
population_burden,either,Insulin,246,100,100,40.7,34.7,46.9,35.0,47.2,False
