claim,organ,site,n,k,pct,trend_z,trend_p,same_direction_as_pooled,significant_within_site,pct_Healthy,n_Healthy,pct_Pre-DM,n_Pre-DM,pct_Oral Med,n_Oral Med,pct_Insulin,n_Insulin
prevalence,kidney,UW,797,103,12.9,5.132,2.8642172268920767e-07,True,True,7.7,337,11.8,211,18.0,189,30.0,60
prevalence,kidney,UAB,788,119,15.1,5.519,3.4127757902174294e-08,True,True,8.9,235,8.8,148,15.9,271,31.3,134
prevalence,kidney,UCSD,640,97,15.2,4.395,1.108807007769297e-05,True,True,9.8,193,9.9,191,21.3,202,29.6,54
prevalence,heart,UW,797,129,16.2,7.642,2.140749284619827e-14,True,True,8.9,337,12.3,211,22.6,190,50.8,59
prevalence,heart,UAB,792,183,23.1,6.747,1.508197924677726e-11,True,True,15.7,236,12.2,148,22.4,272,49.3,136
prevalence,heart,UCSD,644,135,21.0,4.397,1.0950548667763036e-05,True,True,15.5,193,16.7,192,23.0,204,47.3,55
prevalence,nerve,UW,795,97,12.2,4.979,6.390681973392842e-07,True,True,8.4,335,8.6,210,16.8,190,31.7,60
prevalence,nerve,UAB,799,140,17.5,2.62,0.008785612482571084,True,True,15.5,238,10.1,148,19.5,277,25.0,136
prevalence,nerve,UCSD,674,94,13.9,0.467,0.6402971052337043,True,False,14.1,198,14.5,200,10.6,218,24.1,58
prevalence,any,UW,793,238,30.0,8.189,2.6263997185501704e-16,True,True,19.1,335,26.2,210,41.8,189,67.8,59
prevalence,any,UAB,788,299,37.9,6.414,1.4145679915776373e-10,True,True,29.8,235,25.0,148,38.4,271,65.7,134
prevalence,any,UCSD,635,230,36.2,3.904,9.454062421036276e-05,True,True,30.9,191,30.4,191,40.1,202,62.7,51
unrecognized_fraction,kidney,UW,102,73,71.6,-2.567,0.010269795346428072,True,True,92.0,25,68.0,25,67.6,34,55.6,18
unrecognized_fraction,kidney,UAB,118,90,76.3,-2.967,0.0030066584527350896,True,True,95.0,20,84.6,13,79.1,43,61.9,42
unrecognized_fraction,kidney,UCSD,95,63,66.3,-1.732,0.08328625035578824,True,False,77.8,18,66.7,18,69.8,43,43.8,16
unrecognized_fraction,heart,UW,129,92,71.3,-1.088,0.2764792973674399,True,False,73.3,30,84.6,26,65.1,43,66.7,30
unrecognized_fraction,heart,UAB,183,117,63.9,-1.514,0.13000083321126962,True,False,75.7,37,72.2,18,55.7,61,62.7,67
unrecognized_fraction,heart,UCSD,135,89,65.9,-1.134,0.25675327472270004,True,False,73.3,30,65.6,32,66.0,47,57.7,26
unrecognized_fraction,either,UW,189,151,79.9,-1.542,0.12310808780146365,True,False,87.5,48,80.4,46,75.8,62,75.8,33
unrecognized_fraction,either,UAB,237,177,74.7,-2.109,0.03494421535795648,True,True,85.4,48,79.3,29,71.6,81,69.6,79
unrecognized_fraction,either,UCSD,189,143,75.7,-0.976,0.32902554240004467,True,False,81.4,43,69.8,43,80.6,72,64.5,31
population_burden,kidney,UW,794,73,9.2,2.805,0.005030003270630146,True,True,6.9,335,8.1,210,12.2,189,16.7,60
population_burden,kidney,UAB,784,90,11.5,3.299,0.000970484723811903,True,True,8.2,232,7.4,148,12.6,270,19.4,134
population_burden,kidney,UCSD,637,63,9.9,2.566,0.010280727129210118,True,True,7.3,192,6.3,190,14.9,202,13.2,53
population_burden,heart,UW,797,92,11.5,5.595,2.2105415648566615e-08,True,True,6.5,337,10.4,211,14.7,190,33.9,59
population_burden,heart,UAB,792,117,14.8,4.108,3.99914394139753e-05,True,True,11.9,236,8.8,148,12.5,272,30.9,136
population_burden,heart,UCSD,644,89,13.8,2.648,0.008095294653336776,True,True,11.4,193,10.9,192,15.2,204,27.3,55
population_burden,either,UW,793,151,19.0,5.577,2.4402314674052206e-08,True,True,12.5,335,17.6,210,24.9,189,42.4,59
population_burden,either,UAB,784,177,22.6,4.571,4.8623720715622235e-06,True,True,17.7,232,15.5,148,21.5,270,41.0,134
population_burden,either,UCSD,637,143,22.4,3.663,0.00024959486401553675,True,True,18.2,192,15.8,190,28.7,202,37.7,53
two_or_more_organs,multi,UW,793,75,9.5,6.778,1.2145314869990577e-11,True,True,4.8,335,6.2,210,12.7,189,37.3,59
two_or_more_organs,multi,UAB,788,115,14.6,6.02,1.739327088751328e-09,True,True,8.1,235,6.1,148,17.0,271,30.6,134
two_or_more_organs,multi,UCSD,635,63,9.9,3.87,0.00010875577149230367,True,True,5.2,191,8.9,191,11.4,202,25.5,51
