stratum,claim,organ,n,k,pct,ci_lo,ci_hi,trend_z,trend_p,chi2_p,n_incl_refusals,pct_incl_refusals,reproduces_phase1
Overall,prevalence,kidney,2225,319,14.3,12.9,15.9,8.81,1.2528613988292982e-18,3.9229200445948196e-19,,,True
Healthy,prevalence,kidney,765,66,8.6,6.8,10.8,8.81,1.2528613988292982e-18,3.9229200445948196e-19,,,True
Pre-DM,prevalence,kidney,550,57,10.4,8.1,13.2,8.81,1.2528613988292982e-18,3.9229200445948196e-19,,,True
Oral Med,prevalence,kidney,662,120,18.1,15.4,21.2,8.81,1.2528613988292982e-18,3.9229200445948196e-19,,,True
Insulin,prevalence,kidney,248,76,30.6,25.2,36.6,8.81,1.2528613988292982e-18,3.9229200445948196e-19,,,True
Overall,prevalence,heart,2233,447,20.0,18.4,21.7,11.313,1.1282831714070186e-29,9.991979372044843e-38,,,True
Healthy,prevalence,heart,766,97,12.7,10.5,15.2,11.313,1.1282831714070186e-29,9.991979372044843e-38,,,True
Pre-DM,prevalence,heart,551,76,13.8,11.2,16.9,11.313,1.1282831714070186e-29,9.991979372044843e-38,,,True
Oral Med,prevalence,heart,666,151,22.7,19.7,26.0,11.313,1.1282831714070186e-29,9.991979372044843e-38,,,True
Insulin,prevalence,heart,250,123,49.2,43.1,55.4,11.313,1.1282831714070186e-29,9.991979372044843e-38,,,True
Overall,prevalence,nerve,2268,331,14.6,13.2,16.1,5.119,3.076487948373663e-07,2.0609243864507294e-08,,,True
Healthy,prevalence,nerve,771,93,12.1,9.9,14.6,5.119,3.076487948373663e-07,2.0609243864507294e-08,,,True
Pre-DM,prevalence,nerve,558,62,11.1,8.8,14.0,5.119,3.076487948373663e-07,2.0609243864507294e-08,,,True
Oral Med,prevalence,nerve,685,109,15.9,13.4,18.8,5.119,3.076487948373663e-07,2.0609243864507294e-08,,,True
Insulin,prevalence,nerve,254,67,26.4,21.3,32.1,5.119,3.076487948373663e-07,2.0609243864507294e-08,,,True
Overall,prevalence,any,2216,767,34.6,32.7,36.6,11.162,6.254948841873524e-29,5.563497520712897e-33,,,True
Healthy,prevalence,any,761,193,25.4,22.4,28.6,11.162,6.254948841873524e-29,5.563497520712897e-33,,,True
Pre-DM,prevalence,any,549,150,27.3,23.8,31.2,11.162,6.254948841873524e-29,5.563497520712897e-33,,,True
Oral Med,prevalence,any,662,264,39.9,36.2,43.7,11.162,6.254948841873524e-29,5.563497520712897e-33,,,True
Insulin,prevalence,any,244,160,65.6,59.4,71.3,11.162,6.254948841873524e-29,5.563497520712897e-33,,,True
Overall,unrecognized_fraction,kidney,315,226,71.7,66.5,76.4,-3.921,8.813631765300566e-05,0.0004849473727722611,319.0,70.8,True
Healthy,unrecognized_fraction,kidney,63,56,88.9,78.8,94.5,-3.921,8.813631765300566e-05,0.0004849473727722611,66.0,84.8,True
Pre-DM,unrecognized_fraction,kidney,56,40,71.4,58.5,81.6,-3.921,8.813631765300566e-05,0.0004849473727722611,57.0,70.2,True
Oral Med,unrecognized_fraction,kidney,120,87,72.5,63.9,79.7,-3.921,8.813631765300566e-05,0.0004849473727722611,120.0,72.5,True
Insulin,unrecognized_fraction,kidney,76,43,56.6,45.4,67.1,-3.921,8.813631765300566e-05,0.0004849473727722611,76.0,56.6,True
Overall,unrecognized_fraction,heart,447,298,66.7,62.2,70.9,-2.285,0.022311711700010773,0.07699394885287086,447.0,66.7,True
Healthy,unrecognized_fraction,heart,97,72,74.2,64.7,81.9,-2.285,0.022311711700010773,0.07699394885287086,97.0,74.2,True
Pre-DM,unrecognized_fraction,heart,76,56,73.7,62.8,82.3,-2.285,0.022311711700010773,0.07699394885287086,76.0,73.7,True
Oral Med,unrecognized_fraction,heart,151,93,61.6,53.6,69.0,-2.285,0.022311711700010773,0.07699394885287086,151.0,61.6,True
Insulin,unrecognized_fraction,heart,123,77,62.6,53.8,70.6,-2.285,0.022311711700010773,0.07699394885287086,123.0,62.6,True
Overall,unrecognized_fraction,either,615,471,76.6,73.1,79.8,-2.851,0.004353916438337888,0.029846563884782778,621.0,75.8,True
Healthy,unrecognized_fraction,either,139,118,84.9,78.0,89.9,-2.851,0.004353916438337888,0.029846563884782778,142.0,83.1,True
Pre-DM,unrecognized_fraction,either,118,90,76.3,67.8,83.0,-2.851,0.004353916438337888,0.029846563884782778,120.0,75.0,True
Oral Med,unrecognized_fraction,either,215,163,75.8,69.7,81.1,-2.851,0.004353916438337888,0.029846563884782778,216.0,75.5,True
Insulin,unrecognized_fraction,either,143,100,69.9,62.0,76.8,-2.851,0.004353916438337888,0.029846563884782778,143.0,69.9,True
Overall,population_burden,kidney,2215,226,10.2,9.0,11.5,5.234,1.6562758931547263e-07,5.314380775501902e-07,,,True
Healthy,population_burden,kidney,759,56,7.4,5.7,9.5,5.234,1.6562758931547263e-07,5.314380775501902e-07,,,True
Pre-DM,population_burden,kidney,548,40,7.3,5.4,9.8,5.234,1.6562758931547263e-07,5.314380775501902e-07,,,True
Oral Med,population_burden,kidney,661,87,13.2,10.8,16.0,5.234,1.6562758931547263e-07,5.314380775501902e-07,,,True
Insulin,population_burden,kidney,247,43,17.4,13.2,22.6,5.234,1.6562758931547263e-07,5.314380775501902e-07,,,True
Overall,population_burden,heart,2233,298,13.3,12.0,14.8,7.361,1.8215827280341577e-13,1.679155015443877e-17,,,True
Healthy,population_burden,heart,766,72,9.4,7.5,11.7,7.361,1.8215827280341577e-13,1.679155015443877e-17,,,True
Pre-DM,population_burden,heart,551,56,10.2,7.9,13.0,7.361,1.8215827280341577e-13,1.679155015443877e-17,,,True
Oral Med,population_burden,heart,666,93,14.0,11.5,16.8,7.361,1.8215827280341577e-13,1.679155015443877e-17,,,True
Insulin,population_burden,heart,250,77,30.8,25.4,36.8,7.361,1.8215827280341577e-13,1.679155015443877e-17,,,True
Overall,population_burden,either,2214,471,21.3,19.6,23.0,8.153,3.562898754269843e-16,1.017933859241284e-17,,,True
Healthy,population_burden,either,759,118,15.5,13.1,18.3,8.153,3.562898754269843e-16,1.017933859241284e-17,,,True
Pre-DM,population_burden,either,548,90,16.4,13.6,19.8,8.153,3.562898754269843e-16,1.017933859241284e-17,,,True
Oral Med,population_burden,either,661,163,24.7,21.5,28.1,8.153,3.562898754269843e-16,1.017933859241284e-17,,,True
