organ,model,term,odds_ratio,ci_lo,ci_hi,p,n_model,e14_odds_ratio,e14_p,reproduces_e14
kidney,A: age + severity + site,C(study_group_label)[T.Pre-DM],0.32,0.12,0.855,0.02305048435464161,315,0.32,0.0230504843546416,True
kidney,A: age + severity + site,C(study_group_label)[T.Oral Med],0.323,0.133,0.787,0.012847961500080572,315,0.323,0.0128479615000805,True
kidney,A: age + severity + site,C(study_group_label)[T.Insulin],0.135,0.053,0.344,2.7047607815847184e-05,315,0.135,2.7047607815847184e-05,True
kidney,A: age + severity + site,C(clinical_site)[T.UCSD],0.486,0.255,0.925,0.028018019199485513,315,0.486,0.0280180191994855,True
kidney,A: age + severity + site,C(clinical_site)[T.UW],0.602,0.315,1.15,0.1242159270977437,315,0.602,0.1242159270977437,True
kidney,A: age + severity + site,age,0.994,0.972,1.017,0.6302989853520292,315,0.994,0.6302989853520292,True
kidney,B: A + HbA1c + BMI,C(study_group_label)[T.Pre-DM],0.246,0.086,0.703,0.008844640499745208,310,0.246,0.0088446404997452,True
kidney,B: A + HbA1c + BMI,C(study_group_label)[T.Oral Med],0.185,0.069,0.498,0.0008276799818816219,310,0.185,0.0008276799818816,True
kidney,B: A + HbA1c + BMI,C(study_group_label)[T.Insulin],0.059,0.02,0.175,3.6835899818262757e-07,310,0.059,3.683589981826276e-07,True
kidney,B: A + HbA1c + BMI,C(clinical_site)[T.UCSD],0.53,0.271,1.036,0.06329960385553772,310,0.53,0.0632996038555377,True
kidney,B: A + HbA1c + BMI,C(clinical_site)[T.UW],0.644,0.328,1.264,0.20092923000873364,310,0.644,0.2009292300087336,True
kidney,B: A + HbA1c + BMI,age,0.999,0.974,1.024,0.9115427389837651,310,0.999,0.9115427389837653,True
kidney,B: A + HbA1c + BMI,hba1c,1.32,1.079,1.615,0.006994938147637193,310,1.32,0.0069949381476371,True
kidney,B: A + HbA1c + BMI,bmi,1.017,0.981,1.054,0.3545729977251515,310,1.017,0.3545729977251515,True
