exposure,outcome,exposure_label,outcome_label,family,scale,n,estimate,ci_lo,ci_hi,p,q,in_corrected_family,note
cesd_total,abn_kidney,CES-D-10 total (per SD),Kidney abnormal (ACR >= 30 mg/g),binomial,per cohort-wide SD,2222,0.9225,0.8061,1.0558,0.2413835182819215,0.6022507470138867,True,
cesd_total,abn_heart,CES-D-10 total (per SD),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per cohort-wide SD,2230,0.9325,0.8208,1.0594,0.2830847122768404,0.6022507470138867,True,
cesd_total,abn_nerve,CES-D-10 total (per SD),Nerve abnormal (>= 2 insensate sites),binomial,per cohort-wide SD,2265,1.188,1.0497,1.3445,0.006378161130150411,0.0637816113015041,True,
cesd_total,abn_any,CES-D-10 total (per SD),Any of the three organs abnormal,binomial,per cohort-wide SD,2213,0.9811,0.8849,1.0877,0.7171436235760249,0.8533426860619444,True,
cesd_total,abn_multi,CES-D-10 total (per SD),Two or more organs abnormal,binomial,per cohort-wide SD,2213,0.9597,0.8181,1.1259,0.6138960694891213,0.8533426860619444,True,
cesd_total,monofilament_missed,CES-D-10 total (per SD),"Insensate sites, worse foot (0-10)",gaussian,per cohort-wide SD,2265,0.0945,0.014,0.1749,0.021427466355925014,,False,
cesd_positive,abn_kidney,CES-D-10 >= 10,Kidney abnormal (ACR >= 30 mg/g),binomial,yes vs no,2222,0.84,0.6036,1.169,0.30112537350694335,0.6022507470138867,True,
cesd_positive,abn_heart,CES-D-10 >= 10,Heart abnormal (hs-cTnT >= 14 ng/L),binomial,yes vs no,2230,0.8996,0.6617,1.2229,0.4993140991619699,0.8321901652699498,True,
cesd_positive,abn_nerve,CES-D-10 >= 10,Nerve abnormal (>= 2 insensate sites),binomial,yes vs no,2265,1.3933,1.0277,1.8889,0.03266935186123964,0.1633467593061982,True,
cesd_positive,abn_any,CES-D-10 >= 10,Any of the three organs abnormal,binomial,yes vs no,2213,0.9675,0.7506,1.247,0.798364656358071,0.8533426860619444,True,
cesd_positive,abn_multi,CES-D-10 >= 10,Two or more organs abnormal,binomial,yes vs no,2213,0.9649,0.6606,1.4093,0.8533426860619444,0.8533426860619444,True,
cesd_positive,monofilament_missed,CES-D-10 >= 10,"Insensate sites, worse foot (0-10)",gaussian,yes vs no,2265,0.2096,0.011,0.4082,0.03860803961915181,,False,
