check,detail,exposure,outcome,n,estimate,ci_lo,ci_hi,p,note
within site,UW,cesd_total,abn_nerve,790,1.0923,0.8449,1.4121,0.5004772223027931,
within site,UAB,cesd_total,abn_nerve,771,1.1016,0.8984,1.3507,0.3525010483224109,
within site,UCSD,cesd_total,abn_nerve,636,1.3301,1.0484,1.6875,0.018808348373578088,
within site,UW,cesd_positive,abn_nerve,790,1.184,0.6539,2.1438,0.5771187542378761,
within site,UAB,cesd_positive,abn_nerve,771,1.1383,0.7042,1.84,0.5969449964127005,
within site,UCSD,cesd_positive,abn_nerve,636,1.8813,0.9891,3.578,0.0540168551928312,
nerve cutoff,>= 1 insensate sites,cesd_total,abn_nerve,2197,1.0451,0.9282,1.1767,0.466152089730682,
nerve cutoff,>= 1 insensate sites,cesd_positive,abn_nerve,2197,1.0127,0.7552,1.3581,0.9326399311567426,
nerve cutoff,>= 3 insensate sites,cesd_total,abn_nerve,2197,1.1806,1.0186,1.3684,0.027484121175133623,
nerve cutoff,>= 3 insensate sites,cesd_positive,abn_nerve,2197,1.429,0.9999,2.0422,0.05007746198406357,
drop odd monofilament rows,n dropped = 20,cesd_total,abn_nerve,2180,1.1405,0.9979,1.3036,0.05379952851001766,
drop odd monofilament rows,n dropped = 20,cesd_total,monofilament_missed,2180,0.0391,-0.0352,0.1133,0.3022866170593643,
drop odd monofilament rows,n dropped = 20,cesd_positive,abn_nerve,2180,1.2761,0.9205,1.7691,0.1434846684149581,
drop odd monofilament rows,n dropped = 20,cesd_positive,monofilament_missed,2180,0.1078,-0.0745,0.2902,0.24621412234903217,
PAID-5 head-to-head (identical sample),alone,cesd_total,abn_nerve,2149,1.1527,1.0106,1.3147,0.0342305528771402,
PAID-5 head-to-head (identical sample),mutually adjusted for PAID-5,cesd_total,abn_nerve,2149,1.1915,1.0343,1.3727,0.015240262987745739,
PAID-5 head-to-head (identical sample),alone,paid_total,abn_nerve,2149,0.9726,0.846,1.1181,0.6959553973529402,
PAID-5 head-to-head (identical sample),mutually adjusted for CES-D-10,paid_total,abn_nerve,2149,0.9102,0.7825,1.0588,0.22256982981903584,
