organ,cutoff,is_primary,prevalence_pct,unrecognized_pct,burden_pct,burden_ci_lo,burden_ci_hi,burden_trend_z,burden_trend_p,burden_Healthy,burden_Pre-DM,burden_Oral Med,burden_Insulin
kidney,20.0,False,21.0,76.7,16.1,14.6,17.7,4.582,4.609124220295209e-06,13.2,13.3,18.3,25.1
kidney,30.0,True,14.3,71.7,10.2,9.0,11.5,5.234,1.6562758931547263e-07,7.4,7.3,13.2,17.4
kidney,50.0,False,9.3,62.7,5.8,4.9,6.8,5.595,2.2063989338337403e-08,3.4,3.3,8.5,11.3
kidney,100.0,False,5.8,52.0,3.0,2.3,3.8,4.769,1.8515163244130274e-06,1.8,1.1,4.1,7.7
kidney,300.0,False,2.8,32.8,0.9,0.6,1.4,3.373,0.0007438618717639414,0.4,0.2,1.5,2.4
heart,detectable,False,68.1,79.0,53.8,51.8,55.9,2.051,0.040233597196179284,51.7,53.7,53.9,60.4
heart,10.0,False,35.4,71.9,25.4,23.7,27.3,6.723,1.776572518058122e-11,20.5,21.1,28.4,42.4
heart,14.0,True,20.0,66.7,13.3,12.0,14.8,7.361,1.8215827280341577e-13,9.4,10.2,14.0,30.8
heart,16.0,False,16.0,64.2,10.3,9.1,11.6,6.894,5.441430854345089e-12,6.9,7.8,10.8,24.8
heart,19.0,False,11.4,62.0,7.1,6.1,8.2,6.237,4.463220386949702e-10,4.7,4.9,7.2,18.8
heart,22.0,False,9.0,59.2,5.3,4.5,6.3,5.194,2.0544493260273365e-07,3.8,3.8,4.7,15.2
either (kidney grid),20.0,False,,,26.6,24.8,28.5,7.585,3.329142317576224e-14,20.9,22.1,29.3,47.2
either (kidney grid),30.0,True,,,21.3,19.6,23.0,8.153,3.562898754269843e-16,15.5,16.4,24.7,40.7
either (kidney grid),50.0,False,,,17.6,16.0,19.2,8.201,2.387016382412903e-16,12.1,13.1,20.9,35.4
either (kidney grid),100.0,False,,,15.2,13.7,16.7,7.685,1.5299048935174998e-14,10.8,11.1,16.8,33.3
either (kidney grid),300.0,False,,,13.6,12.3,15.1,7.434,1.0566276299991584e-13,9.6,10.2,14.5,31.3
either (heart grid),detectable,False,,,57.9,55.9,60.0,2.88,0.003978154030857955,55.1,56.6,59.8,65.0
either (heart grid),10.0,False,,,32.1,30.2,34.0,7.834,4.716596581992198e-15,25.6,26.3,37.4,50.8
either (heart grid),14.0,True,,,21.3,19.6,23.0,8.153,3.562898754269843e-16,15.5,16.4,24.7,40.7
either (heart grid),16.0,False,,,18.6,17.0,20.3,8.068,7.170310738498284e-16,13.0,14.4,21.8,36.6
either (heart grid),19.0,False,,,16.0,14.5,17.6,7.794,6.4855455526479984e-15,11.2,11.7,18.8,32.9
either (heart grid),22.0,False,,,14.5,13.1,16.1,7.322,2.4500767001031735e-13,10.3,10.6,16.9,30.1
