exposure,outcome,metric_label,family,n,estimate,ci_lo,ci_hi,p,q,phase2_q,note
rate_bpm,abn_heart,ECG heart rate (bpm),binomial,2208,1.2058,1.0698,1.3591,0.0021827202980446124,0.003118171854349446,0.0051358124659873,
rate_bpm,log_troponin,ECG heart rate (bpm),gaussian,2208,0.0464,0.025,0.0678,2.172272815694781e-05,6.841939315265728e-05,0.0001368387863053,
pr_ms,abn_heart,PR interval (ms),binomial,2171,1.1554,1.0328,1.2924,0.01156892233050269,0.014461152913128363,0.0220360425342908,
pr_ms,log_troponin,PR interval (ms),gaussian,2171,0.0328,0.0121,0.0535,0.0019342101647295722,0.003118171854349446,0.0048355254118239,
qrsd_ms,abn_heart,QRS duration (ms),binomial,2208,1.4358,1.2934,1.5939,1.1371338306606645e-11,5.685669153303323e-11,1.5161784408808862e-10,
qrsd_ms,log_troponin,QRS duration (ms),gaussian,2208,0.1078,0.0876,0.128,4.9526681265938e-25,4.9526681265938004e-24,1.9810672506375202e-23,
qt_ms,abn_heart,QT interval (ms),binomial,2208,1.0279,0.9158,1.1536,0.6404711156448972,0.7116345729387746,0.7116345729387746,
qt_ms,log_troponin,QT interval (ms),gaussian,2208,0.0004,-0.0206,0.0214,0.9705488827681672,0.9705488827681672,0.982512944060886,
qtc_ms,abn_heart,QTc interval (ms),binomial,2208,1.2042,1.08,1.3428,0.0008238355432502416,0.0016476710865004833,0.0023538158378578,
qtc_ms,log_troponin,QTc interval (ms),gaussian,2208,0.0438,0.0234,0.0642,2.7367757261062908e-05,6.841939315265728e-05,0.0001368387863053,
