metric,outcome,site,n,estimate,ci_lo,ci_hi,p
qrsd_ms,abn_heart,UW,784,1.7411,1.4311,2.1182,2.9635426590341145e-08
qrsd_ms,abn_heart,UAB,784,1.2821,1.0752,1.5289,0.005657230134918649
qrsd_ms,abn_heart,UCSD,640,1.3638,1.1412,1.6298,0.0006423158332713437
qrsd_ms,log_troponin,UW,784,0.1268,0.0959,0.1578,3.473696606826624e-15
qrsd_ms,log_troponin,UAB,784,0.0928,0.0561,0.1294,8.257195241973866e-07
qrsd_ms,log_troponin,UCSD,640,0.1033,0.0659,0.1407,8.212771726437071e-08
qtc_ms,abn_heart,UW,784,1.3347,1.0968,1.6242,0.003943709764096684
qtc_ms,abn_heart,UAB,784,1.1536,0.9653,1.3787,0.11605608685245494
qtc_ms,abn_heart,UCSD,640,1.1508,0.9493,1.3951,0.15269588123645586
qtc_ms,log_troponin,UW,784,0.0505,0.0192,0.0818,0.0015988848926399024
qtc_ms,log_troponin,UAB,784,0.0374,0.0005,0.0742,0.046888923403755764
qtc_ms,log_troponin,UCSD,640,0.0447,0.0064,0.0829,0.022101541002326378
