definition,outcome,is_primary,n,n_exposed,events_exposed,pct_exposed,pct_unexposed,estimate,ci_lo,ci_hi,boot_ci_lo,boot_ci_hi,p,q,phase2_q,note
undiagnosed_range,abn_kidney,True,1305,46,13,28.3,8.7,4.1071,2.0606,8.186,1.8291,8.5079,5.956349854383105e-05,0.0005956349854383104,0.0008934524781574,
undiagnosed_range,abn_heart,False,1306,46,10,21.7,12.5,1.9289,0.8811,4.2226,0.7244,4.152,0.10032480391792241,0.2100483752210273,0.3150725628315409,
undiagnosed_range,abn_nerve,False,1302,45,5,11.1,11.5,0.9061,0.3352,2.4496,0.1772,2.2073,0.8459729348504144,0.8459729348504144,0.9063995730540154,
undiagnosed_range,abn_any,False,1301,45,20,44.4,25.5,2.575,1.3478,4.9199,1.3033,5.207,0.004190807853336836,0.013969359511122785,0.0209540392666841,
undiagnosed_range,abn_multi,False,1301,45,5,11.1,6.2,1.6946,0.5885,4.8801,0.2898,4.6483,0.3283767007277807,0.4930748392739749,0.59168980712877,
undiagnosed_range_cgm,abn_kidney,True,1295,52,11,21.2,8.7,2.9178,1.4401,5.9115,1.247,5.7992,0.0029547155309227573,0.013969359511122785,0.0209540392666841,
undiagnosed_range_cgm,abn_heart,False,1296,53,8,15.1,13.0,1.2623,0.5612,2.8393,0.4176,2.8177,0.5732356223268724,0.6369284692520805,0.6614257180694681,
undiagnosed_range_cgm,abn_nerve,False,1310,55,8,14.5,11.6,1.4145,0.6367,3.1424,0.4891,2.9614,0.39445987141917993,0.4930748392739749,0.59168980712877,
undiagnosed_range_cgm,abn_any,False,1292,52,16,30.8,26.0,1.3393,0.7096,2.528,0.6276,2.5015,0.3673629799234125,0.4930748392739749,0.59168980712877,
undiagnosed_range_cgm,abn_multi,False,1292,52,6,11.5,6.3,2.1922,0.8486,5.6632,0.5733,5.3579,0.10502418761051364,0.2100483752210273,0.3150725628315409,
