section,variable,statistic,Overall,Healthy,Pre-DM,Oral Med,Insulin,p_across_groups,n_missing
Cohort,Participants,n,"2,280",776,560,686,258,,0
Cohort,"Age, years",mean (SD),60.9 (11.2),60.0 (11.6),60.3 (11.1),62.1 (10.6),61.2 (11.6),0.0022425318702844975,0
Cohort,Clinical site — UAB,n (%),800 (35.1%),238 (30.7%),148 (26.4%),277 (40.4%),137 (53.1%),5.627291803302158e-19,0
Cohort,Clinical site — UCSD,n (%),682 (29.9%),201 (25.9%),201 (35.9%),219 (31.9%),61 (23.6%),5.627291803302158e-19,0
Cohort,Clinical site — UW,n (%),798 (35.0%),337 (43.4%),211 (37.7%),190 (27.7%),60 (23.3%),5.627291803302158e-19,0
Body and glycaemia,"BMI, kg/m²",mean (SD),30.1 (7.4),28.2 (6.6),29.7 (7.2),31.2 (7.1),33.6 (8.6),1.3675393513939048e-30,8
Body and glycaemia,Obesity (BMI ≥ 30),n (%),938 (41.3%),236 (30.6%),208 (37.3%),338 (49.3%),156 (60.7%),2.432879660740328e-21,8
Body and glycaemia,"HbA1c, %",median [IQR],5.8 [5.5–6.4],5.5 [5.3–5.7],5.8 [5.6–6.0],6.3 [5.9–6.9],7.0 [6.3–7.9],1.2135248024110828e-194,69
Body and glycaemia,"CGM mean glucose, mg/dL",median [IQR],125 [113–145],116 [109–125],122 [112–134],139 [124–163],169 [140–201],4.38656132093083e-144,35
Body and glycaemia,"CGM coefficient of variation, %",median [IQR],18.6 [15.9–22.4],16.8 [15.0–19.5],17.8 [15.5–20.7],20.4 [17.1–24.1],25.5 [20.9–30.2],3.163945026407144e-94,35
Psychosocial,CES-D-10 score (0–30),median [IQR],5 [2–8],4 [2–7],5 [2–9],4 [2–8],6 [3–11],1.2398345484328786e-08,3
Psychosocial,CES-D-10 screen-positive (≥ 10),n (%),455 (20.0%),122 (15.7%),118 (21.1%),133 (19.4%),82 (32.0%),5.5542541187062e-07,3
Psychosocial,PAID-5 score (0–20),median [IQR],2 [0–6],0 [0–4],3 [0–7],4 [1–7],5 [1–9],2.6496820760500195e-48,51
Psychosocial,"Self-reported conditions, count",median [IQR],4 [2–6],3 [1–5],4 [2–6],5 [3–7],6 [4–9],1.28287752947399e-41,0
Kidney,"Urine ACR, mg/g",median [IQR],7.0 [3.2–16.8],5.8 [2.5–11.6],6.5 [2.7–14.3],8.1 [4.0–19.2],13.4 [5.0–40.1],2.3834952846761426e-19,55
Kidney,ACR ≥ 30 mg/g (abnormal),n (%),319 (14.3%),66 (8.6%),57 (10.4%),120 (18.1%),76 (30.6%),3.4116736266977293e-18,55
Kidney,Self-reported kidney problems,n (%),246 (10.8%),36 (4.7%),59 (10.6%),82 (12.0%),69 (26.8%),1.7769017155226588e-21,11
Kidney,Abnormal and unrecognized (burden),n (%),226 (10.2%),56 (7.4%),40 (7.3%),87 (13.2%),43 (17.4%),1.2523846750516528e-06,65
Heart,"hs-cTnT, ng/L (all results; below-detection at 6)",median [IQR],8.0 [6.0–12.4],7.0 [6.0–10.3],7.2 [6.0–10.3],9.0 [6.0–13.4],13.6 [8.2–23.8],5.945524837200953e-39,47
Heart,hs-cTnT below the 6 ng/L detection limit,n (%),712 (31.9%),296 (38.6%),200 (36.3%),183 (27.5%),33 (13.2%),4.294480185440164e-15,47
Heart,hs-cTnT ≥ 14 ng/L (abnormal),n (%),447 (20.0%),97 (12.7%),76 (13.8%),151 (22.7%),123 (49.2%),1.8220336534769336e-36,47
Heart,Self-reported heart attack or other heart condition,n (%),382 (16.8%),94 (12.1%),70 (12.5%),146 (21.3%),72 (27.9%),2.5281925988225487e-11,0
Heart,Abnormal and unrecognized (burden),n (%),298 (13.3%),72 (9.4%),56 (10.2%),93 (14.0%),77 (30.8%),6.418238608129603e-17,47
Nerve,"Insensate sites, worse foot (0–10)",median [IQR],0 [0–0],0 [0–0],0 [0–0],0 [0–0],0 [0–2],3.613638164392618e-11,12
Nerve,≥ 2 insensate sites (abnormal),n (%),331 (14.6%),93 (12.1%),62 (11.1%),109 (15.9%),67 (26.4%),3.313587069230491e-08,12
Multi-organ,Any organ abnormal (of three),n (%),767 (34.6%),193 (25.4%),150 (27.3%),264 (39.9%),160 (65.6%),6.924451391899087e-30,64
Multi-organ,Two or more organs abnormal,n (%),253 (11.4%),45 (5.9%),39 (7.1%),93 (14.0%),76 (31.1%),9.884876716634948e-27,64
Multi-organ,Kidney or heart abnormal and unrecognized (burden),n (%),471 (21.3%),118 (15.5%),90 (16.4%),163 (24.7%),100 (40.7%),1.4413566386370802e-16,66
