,table,claim,organ,site,n,pct,pct_Healthy,pct_Pre-DM,pct_Oral Med,pct_Insulin,trend_z,trend_p,same_direction_as_pooled,significant_within_site,pooled,sites_fitted,sites_same_direction,sites_p_lt_05,consistent_across_sites,heterogeneity_q_p,i_squared_pct,UW_estimate,UAB_estimate,UCSD_estimate,UW_p,UAB_p,UCSD_p
0,S1a core trends within site,prevalence,kidney,UW,797.0,12.9,7.7,11.8,18.0,30.0,5.132,2.864217226892077e-07,True,True,,,,,,,,,,,,,
1,S1a core trends within site,prevalence,kidney,UAB,788.0,15.1,8.9,8.8,15.9,31.3,5.519,3.4127757902174294e-08,True,True,,,,,,,,,,,,,
2,S1a core trends within site,prevalence,kidney,UCSD,640.0,15.2,9.8,9.9,21.3,29.6,4.395,1.108807007769297e-05,True,True,,,,,,,,,,,,,
3,S1a core trends within site,prevalence,heart,UW,797.0,16.2,8.9,12.3,22.6,50.8,7.642,2.1407492846198273e-14,True,True,,,,,,,,,,,,,
4,S1a core trends within site,prevalence,heart,UAB,792.0,23.1,15.7,12.2,22.4,49.3,6.747,1.508197924677726e-11,True,True,,,,,,,,,,,,,
5,S1a core trends within site,prevalence,heart,UCSD,644.0,21.0,15.5,16.7,23.0,47.3,4.397,1.0950548667763036e-05,True,True,,,,,,,,,,,,,
6,S1a core trends within site,prevalence,nerve,UW,795.0,12.2,8.4,8.6,16.8,31.7,4.979,6.390681973392842e-07,True,True,,,,,,,,,,,,,
7,S1a core trends within site,prevalence,nerve,UAB,799.0,17.5,15.5,10.1,19.5,25.0,2.62,0.008785612482571,True,True,,,,,,,,,,,,,
8,S1a core trends within site,prevalence,nerve,UCSD,674.0,13.9,14.1,14.5,10.6,24.1,0.467,0.6402971052337043,True,False,,,,,,,,,,,,,
9,S1a core trends within site,prevalence,any,UW,793.0,30.0,19.1,26.2,41.8,67.8,8.189,2.6263997185501704e-16,True,True,,,,,,,,,,,,,
10,S1a core trends within site,prevalence,any,UAB,788.0,37.9,29.8,25.0,38.4,65.7,6.414,1.414567991577637e-10,True,True,,,,,,,,,,,,,
11,S1a core trends within site,prevalence,any,UCSD,635.0,36.2,30.9,30.4,40.1,62.7,3.904,9.454062421036276e-05,True,True,,,,,,,,,,,,,
12,S1a core trends within site,unrecognized_fraction,kidney,UW,102.0,71.6,92.0,68.0,67.6,55.6,-2.567,0.010269795346428,True,True,,,,,,,,,,,,,
13,S1a core trends within site,unrecognized_fraction,kidney,UAB,118.0,76.3,95.0,84.6,79.1,61.9,-2.967,0.003006658452735,True,True,,,,,,,,,,,,,
14,S1a core trends within site,unrecognized_fraction,kidney,UCSD,95.0,66.3,77.8,66.7,69.8,43.8,-1.732,0.0832862503557882,True,False,,,,,,,,,,,,,
