,organ,cutoff,is_primary,n_measured,n_abnormal,prevalence_pct,prev_ci_lo,prev_ci_hi,prev_trend_z,prev_trend_p,prev_Healthy,prev_Pre-DM,prev_Oral Med,prev_Insulin,n_unrec_denominator,n_unrecognized,unrecognized_pct,unrec_ci_lo,unrec_ci_hi,unrec_trend_z,unrec_trend_p,unrec_Healthy,unrec_Pre-DM,unrec_Oral Med,unrec_Insulin,burden_pct,burden_ci_lo,burden_ci_hi,burden_trend_z,burden_trend_p,burden_Healthy,burden_Pre-DM,burden_Oral Med,burden_Insulin
0,kidney,20.0,False,2225.0,468.0,21.0,19.4,22.8,8.673,4.2023232428898674e-18,14.5,17.1,24.3,41.1,464.0,356.0,76.7,72.7,80.3,-5.34,9.284249175957445e-08,92.6,78.5,75.2,60.8,16.1,14.6,17.7,4.582,4.609124220295209e-06,13.2,13.3,18.3,25.1
1,kidney,30.0,True,2225.0,319.0,14.3,12.9,15.9,8.81,1.2528613988292982e-18,8.6,10.4,18.1,30.6,315.0,226.0,71.7,66.5,76.4,-3.921,8.813631765300566e-05,88.9,71.4,72.5,56.6,10.2,9.0,11.5,5.234,1.6562758931547265e-07,7.4,7.3,13.2,17.4
2,kidney,50.0,False,2225.0,207.0,9.3,8.2,10.6,8.767,1.8396039736239516e-18,4.6,6.2,12.2,23.0,204.0,128.0,62.7,55.9,69.1,-2.216,0.0267152623105342,78.8,54.5,69.1,49.1,5.8,4.9,6.8,5.595,2.2063989338337406e-08,3.4,3.3,8.5,11.3
3,kidney,100.0,False,2225.0,130.0,5.8,4.9,6.9,8.095,5.70713662730084e-16,2.7,3.1,7.3,17.7,127.0,66.0,52.0,43.3,60.5,-1.687,0.091522102308819,73.7,37.5,56.2,43.2,3.0,2.3,3.8,4.769,1.8515163244130271e-06,1.8,1.1,4.1,7.7
4,kidney,300.0,False,2225.0,62.0,2.8,2.2,3.6,6.9,5.194086022645845e-12,1.0,0.7,3.9,9.7,61.0,20.0,32.8,22.3,45.3,-0.849,0.3958045735577834,42.9,25.0,38.5,25.0,0.9,0.6,1.4,3.373,0.0007438618717639,0.4,0.2,1.5,2.4
5,heart,detectable,False,2233.0,1521.0,68.1,66.2,70.0,7.709,1.2686713764939848e-14,61.4,63.7,72.5,86.8,1521.0,1202.0,79.0,76.9,81.0,-5.274,1.338141845661503e-07,84.3,84.3,74.3,69.6,53.8,51.8,55.9,2.051,0.0402335971961792,51.7,53.7,53.9,60.4
6,heart,10.0,False,2233.0,790.0,35.4,33.4,37.4,11.127,9.234292252629555e-29,26.4,26.9,41.7,64.8,790.0,568.0,71.9,68.7,74.9,-3.188,0.0014321185082114,77.7,78.4,68.0,65.4,25.4,23.7,27.3,6.723,1.776572518058122e-11,20.5,21.1,28.4,42.4
7,heart,14.0,True,2233.0,447.0,20.0,18.4,21.7,11.313,1.1282831714070186e-29,12.7,13.8,22.7,49.2,447.0,298.0,66.7,62.2,70.9,-2.285,0.0223117117000107,74.2,73.7,61.6,62.6,13.3,12.0,14.8,7.361,1.8215827280341577e-13,9.4,10.2,14.0,30.8
8,heart,16.0,False,2233.0,358.0,16.0,14.6,17.6,10.483,1.0301557074617004e-25,9.5,11.4,18.0,40.8,358.0,230.0,64.2,59.2,69.0,-1.848,0.0646413037644316,72.6,68.3,60.0,60.8,10.3,9.1,11.6,6.894,5.441430854345089e-12,6.9,7.8,10.8,24.8
9,heart,19.0,False,2233.0,255.0,11.4,10.2,12.8,9.728,2.2828824305599084e-22,6.4,7.8,12.2,32.8,255.0,158.0,62.0,55.9,67.7,-1.814,0.0696082296227091,73.5,62.8,59.3,57.3,7.1,6.1,8.2,6.237,4.463220386949702e-10,4.7,4.9,7.2,18.8
10,heart,22.0,False,2233.0,201.0,9.0,7.9,10.3,8.342,7.294303097073638e-17,5.4,6.5,8.3,27.6,201.0,119.0,59.2,52.3,65.8,-1.522,0.1280888365198424,70.7,58.3,56.4,55.1,5.3,4.5,6.3,5.194,2.0544493260273365e-07,3.8,3.8,4.7,15.2
11,nerve,1,False,2268.0,445.0,19.6,18.0,21.3,6.187,6.143182804798216e-10,15.4,15.9,22.2,33.5,,,,,,,,,,,,,,,,,,,,
12,nerve,2,True,2268.0,331.0,14.6,13.2,16.1,5.119,3.076487948373663e-07,12.1,11.1,15.9,26.4,,,,,,,,,,,,,,,,,,,,
13,nerve,3,False,2268.0,243.0,10.7,9.5,12.1,5.141,2.738874358325061e-07,8.6,7.5,11.8,21.3,,,,,,,,,,,,,,,,,,,,
14,nerve,4,False,2268.0,174.0,7.7,6.6,8.8,5.808,6.322254010018326e-09,5.6,4.7,8.6,18.1,,,,,,,,,,,,,,,,,,,,
15,nerve,5,False,2268.0,131.0,5.8,4.9,6.8,5.662,1.4936390450795842e-08,3.9,3.4,6.6,14.6,,,,,,,,,,,,,,,,,,,,
16,either (kidney grid),20.0,False,,,,,,,,,,,,,,,,,,,,,,,26.6,24.8,28.5,7.585,3.329142317576224e-14,20.9,22.1,29.3,47.2
17,either (kidney grid),30.0,True,,,,,,,,,,,,,,,,,,,,,,,21.3,19.6,23.0,8.153,3.562898754269843e-16,15.5,16.4,24.7,40.7
18,either (kidney grid),50.0,False,,,,,,,,,,,,,,,,,,,,,,,17.6,16.0,19.2,8.201,2.387016382412903e-16,12.1,13.1,20.9,35.4
19,either (kidney grid),100.0,False,,,,,,,,,,,,,,,,,,,,,,,15.2,13.7,16.7,7.685,1.5299048935174998e-14,10.8,11.1,16.8,33.3
20,either (kidney grid),300.0,False,,,,,,,,,,,,,,,,,,,,,,,13.6,12.3,15.1,7.434,1.0566276299991585e-13,9.6,10.2,14.5,31.3
21,either (heart grid),detectable,False,,,,,,,,,,,,,,,,,,,,,,,57.9,55.9,60.0,2.88,0.0039781540308579,55.1,56.6,59.8,65.0
22,either (heart grid),10.0,False,,,,,,,,,,,,,,,,,,,,,,,32.1,30.2,34.0,7.834,4.716596581992198e-15,25.6,26.3,37.4,50.8
23,either (heart grid),14.0,True,,,,,,,,,,,,,,,,,,,,,,,21.3,19.6,23.0,8.153,3.562898754269843e-16,15.5,16.4,24.7,40.7
24,either (heart grid),16.0,False,,,,,,,,,,,,,,,,,,,,,,,18.6,17.0,20.3,8.068,7.170310738498284e-16,13.0,14.4,21.8,36.6
25,either (heart grid),19.0,False,,,,,,,,,,,,,,,,,,,,,,,16.0,14.5,17.6,7.794,6.4855455526479984e-15,11.2,11.7,18.8,32.9
26,either (heart grid),22.0,False,,,,,,,,,,,,,,,,,,,,,,,14.5,13.1,16.1,7.322,2.450076700103174e-13,10.3,10.6,16.9,30.1
