experiment,status,key_output,one_line_result,decision,adjusted_models,fdr_survivors,label_in_paper
E0.1,done,results/E0_1_marker_profile.csv,"All three present. Kidney = ACR from import_urine_albumin/import_urine_creatinine (n=2225, median 7.0 mg/g). Heart = import_troponin_t (n=2233, 712 below the 6 ng/L detection limit). Nerve = msslffl/mssrffl, 0-10 sites felt per foot (n=2268). Trap confirmed: import_albumin is SERUM albumin, not the kidney marker.",keep,,,exploratory
E0.2,done,results/E0_2_organ_self_report_map.csv,"Kidney = mhoccur_rnl (246 yes) and heart = mhoccur_mi + mhoccur_cvdot (382 yes) map cleanly. NERVE HAS NO COMPARATOR: the 30-item mhoccur battery contains no neuropathy/numbness/foot item, and condition_occurrence.csv re-expresses the same 30 items. Nearest proxies (mhoccur_cns 179, mhoccur_circ 204) are broad neuro / vascular, not neural-foot.","rescope — gate resolved, see E0.GATE",,,exploratory
E0.3,done,results/E0_3_extension_variable_readiness.csv,"All tracks viable. Two need a build first: CGM TAR/CV/MAGE (manifest has mean glucose only) and ECG machine interpretations (in the .hea headers, not the manifest). DEFECT FOUND AND FIXED in omop.phenx_family: the `pxhi` housing prefix also matched the whole `pxhic` insurance battery, and every family pulled in its own survey timestamps as if they were Likert responses.",keep,,,exploratory
E0.4,done,results/E0_4_cohort_qc_by_group.csv,"2,280 rows, group Ns exactly 776/560/686/258, no duplicate person_id, dataset version 3.0.0. Marker coverage 97.6-99.5%. Kidney spot-check reproduces: 319 with ACR>=30 mg/g, of whom 89 self-report kidney problems and 226 do not (72% unrecognized). The documented '~320' counted one participant with zero urine creatinine (infinite ratio); guarded, the count is 319.",keep,,,exploratory
E1.0,done,results/E1_0_threshold_spec.csv,"kidney ACR >= 30 mg/g -> 319 abnormal of 2,225 measured; heart hs-cTnT >= 14 ng/L -> 447 abnormal of 2,233 measured; nerve >= 2 insensate sites of 10 -> 331 abnormal of 2,268 measured. Unrecognized denominator = abnormal with an answered self-report item: kidney 315 of 319 abnormal (4 refused the item); heart 447 of 447 abnormal (0 refused the item).",keep,,,definitions
E1.1,done,results/E1_1_prevalence_by_group.csv,"Overall prevalence kidney 319/2,225 (14.3%); heart 447/2,233 (20.0%); nerve 331/2,268 (14.6%); any 767/2,216 (34.6%). Trend across severity: kidney z=8.81 p=1.3e-18; heart z=11.313 p=1.1e-29; nerve z=5.119 p=3.1e-07; any z=11.162 p=6.3e-29.",keep,,,primary (A1.1)
E1.2,done,results/E1_2_unrecognized_by_group.csv,Unrecognized: kidney 226/315 = 71.7% (95% CI 66.5-76.4); heart 298/447 = 66.7% (95% CI 62.2-70.9); either 471/615 = 76.6% (95% CI 73.1-79.8). Trend across severity: kidney z=-3.921 p=8.8e-05; heart z=-2.285 p=2.2e-02; either z=-2.851 p=4.4e-03.,keep,,,"primary (A1.2, A1.3)"
E1.3,done,results/E1_3_organ_counts.csv,"Among 2,216 measured on all three: 65.4% none, 23.2% one, 9.2% two, 2.2% all three. >=2 organs rises 5.9% -> 31.1% across severity (trend z=10.134, p=3.9e-24).",keep,,,primary (A1.4)
E1.4,done,results/E1_4_models.csv,Terms with p<0.05 across all models: kidney [A: age + severity + site] C(study_group_label)[T.Pre-DM] OR=0.32; kidney [A: age + severity + site] C(study_group_label)[T.Oral Med] OR=0.323; kidney [A: age + severity + site] C(study_group_label)[T.Insulin] OR=0.135; kidney [A: age + severity + site] C(clinical_site)[T.UCSD] OR=0.486; kidney [B: A + HbA1c + BMI] C(study_group_label)[T.Pre-DM] OR=0.246; kidney [B: A + HbA1c + BMI] C(study_group_label)[T.Oral Med] OR=0.185; kidney [B: A + HbA1c + BMI] C(study_group_label)[T.Insulin] OR=0.059; kidney [B: A + HbA1c + BMI] hba1c OR=1.32; kidney [C: B + marker magnitude] C(study_group_label)[T.Pre-DM] OR=0.195; kidney [C: B + marker magnitude] C(study_group_label)[T.Oral Med] OR=0.202; kidney [C: B + marker magnitude] C(study_group_label)[T.Insulin] OR=0.078; kidney [C: B + marker magnitude] hba1c OR=1.35; kidney [C: B + marker magnitude] log_acr OR=0.442; heart [A: age + severity + site] C(study_group_label)[T.Oral Med] OR=0.517; heart [A: age + severity + site] C(study_group_label)[T.Insulin] OR=0.467; heart [A: age + severity + site] age OR=0.961; heart [B: A + HbA1c + BMI] age OR=0.96; heart [C: B + marker magnitude] age OR=0.959; heart [C: B + marker magnitude] log_troponin OR=0.622,keep,,,primary (A1.5)
E1.5,done,results/E1_5_threshold_sweep.csv,Prevalence spans kidney 2.8-21.0%; heart 9.0-68.1%; nerve 5.8-19.6%. Unrecognized fraction spans kidney 32.8-76.7%; heart 59.2-79.0%. Conclusions holding at every cutoff: 6/7.,keep,,,primary robustness (S2)
E2C.1,done,results/E2C_1_sweep.csv,"AIM 2 HAS 4 SURVIVING ASSOCIATION(S). Of 16 adjusted models, 4 reach p < 0.05 and 4 survive FDR correction. Surviving: CES-D-10 total (0-30) -> Nerve abnormal (>= 2 insensate sites): 1.2175 (1.0768-1.3766), q=0.0269; CES-D-10 total (0-30) -> Insensate sites, worse foot (0-10): 0.1133 (0.0332-0.1934), q=0.0439; CES-D-10 screen-positive (>= 10) -> Nerve abnormal (>= 2 insensate sites): 1.4795 (1.0947-1.9996), q=0.0439; CES-D-10 screen-positive (>= 10) -> Insensate sites, worse foot (0-10): 0.2568 (0.059-0.4546), q=0.0439. CES-D-10 n=2277, 455 screen-positive.",keep,16.0,4.0,secondary Aim 2 — pre-specified criterion not met at E3.3
E2C.2,done,results/E2C_2.csv,"H3 IS NULL. Of 6 fully-adjusted models, 1 reach p < 0.05 and 0 survive FDR. Surviving: none. Eligible denominators: kidney 315 abnormal with the item answered, 226 never told; heart 447 abnormal with the item answered, 298 never told; either 615 abnormal with the item answered, 471 never told. Note the asymmetry with E2C.1: depression tracks NERVE damage, the one organ for which unrecognized status cannot be computed at all.",keep,6.0,0.0,"exploratory (H3, null)"
E2C.3,done,results/E2C_3_sweep.csv,"Of 16 adjusted models, 1 reach p < 0.05 and 0 survive FDR. Surviving: none. PAID-5 was administered cohort-wide, not only to the diabetic groups — coverage Healthy 97.0%, Pre-DM 98.4%, Oral Med 97.8%, Insulin 98.4% — so it spans the severity spectrum and needs no scope caveat.",keep,16.0,0.0,exploratory
E2A.1,done,results/E2A_1_sweep.csv,"Of 40 adjusted models, 33 reach p < 0.05 and 33 survive FDR. Surviving: HbA1c (%) -> log urine ACR (mg/g): 0.3369 (0.2444-0.4295), q=5.09e-11; CGM time above 180 mg/dL (%) -> Kidney abnormal (ACR >= 30 mg/g): 1.4926 (1.3263-1.6797), q=4.5e-10; CGM mean glucose (mg/dL) -> Kidney abnormal (ACR >= 30 mg/g): 1.4815 (1.319-1.6641), q=4.5e-10; HbA1c (%) -> Kidney abnormal (ACR >= 30 mg/g): 1.4902 (1.3217-1.6802), q=7.18e-10; CGM time above 180 mg/dL (%) -> log urine ACR (mg/g): 0.2959 (0.2018-0.39), q=6.73e-09; CGM time above 180 mg/dL (%) -> Any of the three organs abnormal: 1.4172 (1.2651-1.5875), q=1.15e-08; CGM mean glucose (mg/dL) -> log urine ACR (mg/g): 0.2782 (0.1868-0.3697), q=1.59e-08; CGM mean glucose (mg/dL) -> Any of the three organs abnormal: 1.4077 (1.2545-1.5796), q=3.02e-08; and 25 more. Coverage: HbA1c (%) n=2211, CGM mean glucose (mg/dL) n=2245, CGM time above 180 mg/dL (%) n=2245, CGM coefficient of variation (%) n=2245, CGM MAGE (mg/dL) n=2244. Built CGM mean reproduces the manifest mean (median \","diff\| 0.002 mg/dL, n=2245). | keep",40.0,33.0,exploratory
E2A.2,done,results/E2A_2_models.csv,"3 of 15 models survive FDR. Surviving: undiagnosed_range/abn_kidney OR=4.1071 (Wald 2.0606-8.186, bootstrap 1.8291-8.5079), q=0.000893; undiagnosed_range/abn_any OR=2.575 (Wald 1.3478-4.9199, bootstrap 1.3033-5.207), q=0.021; undiagnosed_range_cgm/abn_kidney OR=2.9178 (Wald 1.4401-5.9115, bootstrap 1.247-5.7992), q=0.021. Discordance sizes: No diabetes label, HbA1c >= 6.5% 46/1336 (3.4%); No diabetes label, CGM mean >= 154 mg/dL 55/1336 (4.1%); Insulin group, HbA1c < 7.0% 122/258 (47.3%). DOUBLE-UNRECOGNIZED COUNT: of the 46 participants with no diabetes label but diabetes-range HbA1c, 19 have kidney or heart damage with both self-report items answered and 16 of those reported no corresponding diagnosis.",keep,15.0,3.0,exploratory-confirmatory (T1)
E2B.1,done,results/E2B_1_sweep.csv,"Of 16 adjusted models, 11 reach p < 0.05 and 10 survive FDR. Surviving: BMI (kg/m2) -> Any of the three organs abnormal: 1.263 (1.1388-1.4007), q=0.000158; BMI (kg/m2) -> Insensate sites, worse foot (0-10): 0.1623 (0.0804-0.2442), q=0.000841; BMI (kg/m2) -> Nerve abnormal (>= 2 insensate sites): 1.2742 (1.1224-1.4466), q=0.000964; Obese (BMI >= 30) -> Any of the three organs abnormal: 1.4037 (1.1438-1.7228), q=0.00469; Obese (BMI >= 30) -> Heart abnormal (hs-cTnT >= 14 ng/L): 1.4721 (1.1521-1.8808), q=0.00635; BMI (kg/m2) -> Heart abnormal (hs-cTnT >= 14 ng/L): 1.206 (1.0657-1.3647), q=0.00755; BMI (kg/m2) -> log hs-cTnT (ng/L): 0.0322 (0.0107-0.0537), q=0.00755; Obese (BMI >= 30) -> log hs-cTnT (ng/L): 0.0608 (0.018-0.1037), q=0.0108; and 2 more. 0 of 10 raw associations are lost once age + severity + site enter, which is the expected direction: BMI is entangled with severity by design.",keep,16.0,10.0,exploratory
E2E.1,done,results/E2E_1_unrecognized.csv,"UNADJUDICATED. All 2,251 of 2,251 ECG records carry an explicit unconfirmed-diagnosis stamp. 179 participants have an unhedged machine-read prior-infarct pattern; of the 178 who also answered the heart-attack item, 149 (83.7%, 95% CI 77.6-88.4) reported no heart attack. Including hedged statements raises the pattern count to 280. Tier counts: none 1945; definite prior infarct 179; probable prior infarct 54; consider prior infarct 47; acute or recent only 26. This is a waveform-pattern statement, not a diagnosis, and must be labelled unadjudicated everywhere it appears including figures.",keep,,,"supplement, one row, UNADJUDICATED"
