,pattern,prediction,n_pairs,pct_adjusted_exceeds_crude,sign_test_p,table,exposure,outcome,exposure_label,r_exposure_age,r_outcome_age,opposite_signs,crude,crude_p,age_adjusted,age_adjusted_p,adjusted_exceeds_crude,n
0,exposure and outcome correlate with age in OPPOSITE directions,age adjustment RAISES the estimate,40.0,100.0,1.8189894035458565e-12,S5a sign test,,,,,,,,,,,,
1,exposure and outcome correlate with age in the SAME direction,age adjustment LOWERS the estimate,5.0,60.0,,S5a sign test,,,,,,,,,,,,
2,,,,,,S5b per pair,cesd_total,abn_kidney,CES-D-10 total,-0.219,0.108,True,0.9508,0.4219583474252238,1.0167,0.7976520983988441,True,2222.0
3,,,,,,S5b per pair,cesd_total,abn_heart,CES-D-10 total,-0.219,0.291,True,0.8965,0.0524343002324336,1.0609,0.3234619961183245,True,2230.0
4,,,,,,S5b per pair,cesd_total,abn_nerve,CES-D-10 total,-0.219,0.211,True,1.0783,0.1904259090978693,1.2615,0.0001460431863902,True,2265.0
5,,,,,,S5b per pair,cesd_total,abn_any,CES-D-10 total,-0.219,0.289,True,0.951,0.2732983124310429,1.0984,0.054511347353693,True,2213.0
6,,,,,,S5b per pair,cesd_total,monofilament_missed,CES-D-10 total,-0.219,0.206,True,0.0564,0.1672485718203456,0.1519,0.0002043238834164,True,2265.0
7,,,,,,S5b per pair,paid_total,abn_kidney,PAID-5 total,-0.146,0.108,True,1.17,0.006779672482561,1.2314,0.0004296914003491,True,2175.0
8,,,,,,S5b per pair,paid_total,abn_heart,PAID-5 total,-0.146,0.291,True,0.9317,0.2030801969604675,1.0478,0.4241240433118762,True,2182.0
9,,,,,,S5b per pair,paid_total,abn_nerve,PAID-5 total,-0.146,0.211,True,0.9414,0.3348683035091696,1.0322,0.6220783681386042,True,2219.0
10,,,,,,S5b per pair,paid_total,abn_any,PAID-5 total,-0.146,0.289,True,0.996,0.9292690612191448,1.1027,0.0422804652183631,True,2168.0
11,,,,,,S5b per pair,paid_total,monofilament_missed,PAID-5 total,-0.146,0.206,True,-0.0295,0.4740622623617676,0.0291,0.4756018515599133,True,2219.0
12,,,,,,S5b per pair,bmi,abn_kidney,BMI,-0.196,0.108,True,1.0785,0.2021049934631492,1.1613,0.0154206687991647,True,2220.0
13,,,,,,S5b per pair,bmi,abn_heart,BMI,-0.196,0.291,True,1.1309,0.0165673565045455,1.3943,6.3540937124419605e-09,True,2228.0
14,,,,,,S5b per pair,bmi,abn_nerve,BMI,-0.196,0.211,True,1.1625,0.0074903171541943,1.372,2.408677155617971e-07,True,2265.0
15,,,,,,S5b per pair,bmi,abn_any,BMI,-0.196,0.289,True,1.1853,0.0001267337042232,1.4092,1.886054716742566e-12,True,2213.0
16,,,,,,S5b per pair,bmi,monofilament_missed,BMI,-0.196,0.206,True,0.1396,0.0005349561388783,0.2257,1.863922723336277e-08,True,2265.0
17,,,,,,S5b per pair,hba1c,abn_kidney,HbA1c,0.059,0.108,False,1.691,2.190069122945291e-23,1.7051,8.443642966472482e-24,True,2203.0
18,,,,,,S5b per pair,hba1c,abn_heart,HbA1c,0.059,0.291,False,1.5322,3.3553829679084012e-18,1.5859,5.233884940384193e-19,True,2211.0
19,,,,,,S5b per pair,hba1c,abn_nerve,HbA1c,0.059,0.211,False,1.3071,1.2181980111662186e-07,1.3204,3.1111463990376386e-07,True,2203.0
20,,,,,,S5b per pair,hba1c,abn_any,HbA1c,0.059,0.289,False,1.725,3.560865609320009e-24,1.7114,3.167943763515792e-24,False,2196.0
21,,,,,,S5b per pair,hba1c,monofilament_missed,HbA1c,0.059,0.206,False,0.2415,4.278995524526956e-09,0.2178,6.30149697093827e-08,False,2203.0
22,,,,,,S5b per pair,steps,abn_kidney,Daily steps,-0.298,0.108,True,0.8657,0.0445450710507588,0.956,0.5409148338192733,True,1949.0
23,,,,,,S5b per pair,steps,abn_heart,Daily steps,-0.298,0.291,True,0.6225,8.293774231175185e-11,0.8051,0.0034102452760286,True,1957.0
24,,,,,,S5b per pair,steps,abn_nerve,Daily steps,-0.298,0.211,True,0.7378,5.001613005767928e-05,0.9112,0.2216343473412191,True,1988.0
25,,,,,,S5b per pair,steps,abn_any,Daily steps,-0.298,0.289,True,0.7486,7.69544950198368e-08,0.9065,0.0778945591852836,True,1943.0
26,,,,,,S5b per pair,steps,monofilament_missed,Daily steps,-0.298,0.206,True,-0.2268,1.7900891037492918e-07,-0.1138,0.010750688029021,True,1988.0
27,,,,,,S5b per pair,stress,abn_kidney,Garmin stress,-0.1,0.108,True,1.2554,0.0003664142502045,1.2985,4.844155790163582e-05,True,1942.0
28,,,,,,S5b per pair,stress,abn_heart,Garmin stress,-0.1,0.291,True,1.0345,0.552187757818937,1.1226,0.0524331272774417,True,1950.0
29,,,,,,S5b per pair,stress,abn_nerve,Garmin stress,-0.1,0.211,True,1.0246,0.7002584747437788,1.0932,0.1667893811782229,True,1981.0
30,,,,,,S5b per pair,stress,abn_any,Garmin stress,-0.1,0.289,True,1.043,0.381717250068131,1.1189,0.0258862435498997,True,1936.0
31,,,,,,S5b per pair,stress,monofilament_missed,Garmin stress,-0.1,0.206,True,0.0528,0.2273102675960678,0.095,0.0268044765097679,True,1981.0
32,,,,,,S5b per pair,sleep_hours,abn_kidney,Sleep hours,-0.067,0.108,True,1.0406,0.5345632378048668,1.0616,0.3543521966182844,True,2008.0
33,,,,,,S5b per pair,sleep_hours,abn_heart,Sleep hours,-0.067,0.291,True,0.8851,0.0323495931180692,0.9105,0.1163149155120388,True,2016.0
