block,analysis,term,estimate,p,q,n,exploratory_estimate,source
"A. Odds of being unrecognized, among the abnormal",Kidney — model A,Pre-DM vs Healthy,0.32 (0.12–0.85),0.023,,315,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Kidney — model A,Oral Med vs Healthy,0.32 (0.13–0.79),0.013,,315,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Kidney — model A,Insulin vs Healthy,0.14 (0.05–0.34),<0.001,,315,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Kidney — model A,"Age, per year",0.99 (0.97–1.02),0.63,,315,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Kidney — model B,Pre-DM vs Healthy,0.25 (0.09–0.70),0.009,,310,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Kidney — model B,Oral Med vs Healthy,0.18 (0.07–0.50),<0.001,,310,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Kidney — model B,Insulin vs Healthy,0.06 (0.02–0.17),<0.001,,310,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Kidney — model B,"Age, per year",1.00 (0.97–1.02),0.91,,310,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Kidney — model B,"HbA1c, per %",1.32 (1.08–1.61),0.007,,310,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Kidney — model B,"BMI, per kg/m²",1.02 (0.98–1.05),0.35,,310,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Kidney — model C,Pre-DM vs Healthy,0.20 (0.06–0.61),0.005,,310,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Kidney — model C,Oral Med vs Healthy,0.20 (0.07–0.60),0.004,,310,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Kidney — model C,Insulin vs Healthy,0.08 (0.02–0.26),<0.001,,310,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Kidney — model C,"Age, per year",0.99 (0.96–1.02),0.59,,310,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Kidney — model C,"HbA1c, per %",1.35 (1.09–1.67),0.006,,310,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Kidney — model C,"BMI, per kg/m²",1.01 (0.97–1.05),0.50,,310,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Kidney — model C,"log ACR, per unit",0.44 (0.34–0.57),<0.001,,310,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Heart — model A,Pre-DM vs Healthy,0.84 (0.42–1.70),0.64,,447,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Heart — model A,Oral Med vs Healthy,0.52 (0.29–0.92),0.024,,447,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Heart — model A,Insulin vs Healthy,0.47 (0.25–0.86),0.015,,447,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Heart — model A,"Age, per year",0.96 (0.94–0.98),<0.001,,447,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Heart — model B,Pre-DM vs Healthy,0.87 (0.42–1.80),0.71,,438,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Heart — model B,Oral Med vs Healthy,0.56 (0.30–1.03),0.060,,438,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Heart — model B,Insulin vs Healthy,0.55 (0.27–1.10),0.090,,438,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Heart — model B,"Age, per year",0.96 (0.94–0.98),<0.001,,438,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Heart — model B,"HbA1c, per %",0.93 (0.79–1.09),0.36,,438,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Heart — model B,"BMI, per kg/m²",0.99 (0.96–1.02),0.39,,438,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Heart — model C,Pre-DM vs Healthy,0.90 (0.43–1.88),0.78,,438,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Heart — model C,Oral Med vs Healthy,0.55 (0.29–1.01),0.054,,438,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Heart — model C,Insulin vs Healthy,0.59 (0.29–1.18),0.14,,438,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Heart — model C,"Age, per year",0.96 (0.94–0.98),<0.001,,438,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Heart — model C,"HbA1c, per %",0.93 (0.80–1.09),0.40,,438,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Heart — model C,"BMI, per kg/m²",0.98 (0.95–1.02),0.34,,438,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
"A. Odds of being unrecognized, among the abnormal",Heart — model C,"log hs-cTnT, per unit",0.62 (0.39–0.98),0.043,,438,,E3_3_aim1_recognition_models.csv (= E1_4_models.csv)
B. Aim 2 — depressive symptoms and measured damage (pre-specified model),"CES-D-10, per SD",Kidney abnormal,0.92 (0.80–1.05),0.21,0.55,2195,"0.95 (0.83–1.08), q 0.85",E3_3_aim2_confirmatory.csv; exploratory: E2C_1_sweep.csv (age + severity + site)
B. Aim 2 — depressive symptoms and measured damage (pre-specified model),"CES-D-10, per SD",Heart abnormal,0.93 (0.81–1.05),0.24,0.55,2203,"0.96 (0.84–1.08), q 0.85",E3_3_aim2_confirmatory.csv; exploratory: E2C_1_sweep.csv (age + severity + site)
B. Aim 2 — depressive symptoms and measured damage (pre-specified model),"CES-D-10, per SD",Nerve abnormal,1.16 (1.02–1.32),0.025,0.25,2197,"1.22 (1.08–1.38), q 0.027",E3_3_aim2_confirmatory.csv; exploratory: E2C_1_sweep.csv (age + severity + site)
B. Aim 2 — depressive symptoms and measured damage (pre-specified model),"CES-D-10, per SD",Any organ abnormal,0.99 (0.89–1.09),0.79,0.88,2190,"1.01 (0.92–1.12), q 0.85",E3_3_aim2_confirmatory.csv; exploratory: E2C_1_sweep.csv (age + severity + site)
B. Aim 2 — depressive symptoms and measured damage (pre-specified model),"CES-D-10, per SD",Two or more organs abnormal,0.96 (0.82–1.13),0.62,0.88,2190,"0.99 (0.85–1.16), q 0.90",E3_3_aim2_confirmatory.csv; exploratory: E2C_1_sweep.csv (age + severity + site)
B. Aim 2 — depressive symptoms and measured damage (pre-specified model),CES-D-10 ≥ 10,Kidney abnormal,0.83 (0.59–1.16),0.27,0.55,2195,"0.92 (0.67–1.26), q 0.85",E3_3_aim2_confirmatory.csv; exploratory: E2C_1_sweep.csv (age + severity + site)
