variable,n,mean,median,p25,p75,Healthy_n,Healthy_mean,Healthy_median,Pre-DM_n,Pre-DM_mean,Pre-DM_median,Oral Med_n,Oral Med_mean,Oral Med_median,Insulin_n,Insulin_mean,Insulin_median,kruskal_H,kruskal_p
Temperature (C),2230,24.54514326922509,24.427484010673876,22.948828092063394,26.02962892647268,755,24.137398353205395,23.96374499597588,551,24.405621051888485,24.419535730214964,674,24.895662364688523,24.850171781065228,250,25.139040401244994,25.01558199426486,61.8247267296083,2.395046443774035e-13
Humidity (%),2230,44.75308935722763,44.853375657917965,39.947320734819385,49.44698245062357,755,44.14089159876255,44.10256992463469,551,45.05573994445489,45.34629087020452,674,45.22019885274625,45.24806917789167,250,44.67555749362509,45.4499680745806,11.313607761264393,0.010145504372814619
Light (lch0),2231,0.005762493952985221,0.0021370080418362,0.0008246829624096,0.0051626071815744495,755,0.006401201386968052,0.0024614025117917,551,0.00576751803425284,0.002212751817343,674,0.005196197631505759,0.0019471200739722,251,0.005350905663111366,0.0015111826149133,24.66558121664184,1.8137031611058e-05
PM2.5 (ug/m3),2230,13.96773571658455,4.652848637218025,2.5544253997325925,8.744756880206122,755,12.158535894062997,3.983574990158772,551,11.237432936870091,4.758133896741705,674,14.389627784063117,4.852320821258835,250,24.31168549316808,6.270143010102078,46.95635915976436,3.550696049975984e-10
log(1+PM2.5),2230,1.9078208470689502,1.7321586942150269,1.2681931938837425,2.2767290149212895,755,1.7939023389667177,1.606147503001287,551,1.8667363083950275,1.750613445956033,674,1.9463788539783762,1.7668378393896802,250,2.2384526781472043,1.9837758964768828,46.95635915976436,3.550696049975984e-10
VOC Index,2230,126.56615292345792,125.5612566536351,116.06470006687763,136.01935844171823,755,126.30508773658387,125.58469078939436,551,125.71591132948784,124.17301313262594,674,126.5943853135128,125.1690240437668,250,129.15238773733952,128.58207010867494,10.475604525681774,0.01492730215760034
NOx Index,2230,1.301341719608223,1.140732189066766,1.050888550344411,1.3198702014003292,755,1.2864749102382824,1.140537177445718,551,1.3077167989844227,1.153300880599464,674,1.309353768457889,1.1313058469847195,250,1.3105883252615986,1.1280829176339071,4.36882731600781,0.22429328310067345
BMI,2272,30.05277646476673,28.38456799,24.924772637500002,33.67804106,772,28.155178470181344,26.711845805,558,29.671717732544806,27.917420205,685,31.161796394087595,29.84297388,257,33.62436312941634,31.86096516,142.0475930144156,1.3675393513939048e-30
CGM mean glucose (mg/dL),2245,135.2940685583926,124.9506694855532,113.4504915730337,145.46143008101444,761,117.9943365376084,115.7279411764706,552,125.85964854077703,122.41538222584364,681,147.42163866483875,139.25743913435528,251,175.58897164624435,168.56013745704468,666.6000034614432,3.665820490472548e-144
Heart rate (bpm),1999,73.70979489744873,73.91,67.865,80.155,686,72.26839650145774,72.16,496,71.79506048387096,72.795,591,75.62314720812182,75.91,226,77.28376106194689,77.535,85.81919480610219,1.7310350436867109e-18
Stress level,2100,24.077671428571428,22.18,13.93,33.01,711,22.256174402250352,20.29,524,21.74070610687023,19.740000000000002,626,26.36052715654952,24.939999999999998,239,28.640794979079498,28.16,58.32336440785098,1.3408102139924357e-12
Sleep (hours/night),2184,9.348131868131867,9.36,8.16,10.56,741,9.294574898785426,9.36,541,9.308096118299446,9.36,655,9.316396946564884,9.36,247,9.680647773279354,9.600000000000001,3.881525807551835,0.2745446606526711
Daily steps,2141,6163.889033162073,5688.53,3793.86,7984.81,727,6208.159807427785,5694.28,530,5923.126226415095,5711.345,641,6277.8773478939165,5774.31,243,6255.876378600823,5264.64,2.6229706604887246,0.4534767172751042
Active calories (kcal/day),2184,199.22196886446886,177.14499999999998,103.52000000000001,267.72249999999997,741,198.03690958164643,180.55,541,195.29439926062844,179.14,655,199.31399999999996,173.97,247,211.13558704453445,160.1,2.4623648541001457,0.48213100774210693
"Oxygen saturation, SpO2 (%)",1628,91.4420515970516,91.545,90.1975,92.68,584,91.51414383561642,91.62,375,91.49335999999998,91.66,478,91.43510460251045,91.48,191,91.1382722513089,91.28,5.998625435956614,0.11167711977714621
Respiratory rate (device units),2093,6.951844242713808,7.48,5.49,9.01,709,6.957447108603667,7.44,523,6.531892925430211,7.13,624,7.12198717948718,7.71,237,7.413839662447257,7.82,21.385787042464067,8.753499946391357e-05
CES-D-10 total score,2277,5.85419411506368,5.0,2.0,8.0,776,5.242268041237113,4.0,559,6.0304114490161,5.0,686,5.776967930029154,4.0,256,7.53125,6.0,39.689521656067775,1.2398345484328783e-08
