,site,outcome,n,r2,coef,p_value,p_value_pooled
0,UW,glucose_mean,711,0.11003030033683703,-4.663050309346258,0.503802375492433,0.9338897610962773
1,UW,glucose_cv,711,0.06218389175255423,1.0174532839969697,0.3181146938742264,0.05098158801792456
2,UW,tar_180,711,0.100753129582422,-0.31505965610073994,0.9371907327480248,0.5556706906489398
3,UW,spikes_per_day_180,711,0.08779742747744279,0.022387273054278324,0.942431320803721,0.2562650819307892
4,UAB,glucose_mean,715,0.05311648885343201,-3.8183427201201643,0.6298891507339233,0.9338897610962773
5,UAB,glucose_cv,715,0.03633581407429498,1.6533531519672888,0.1490653338083545,0.05098158801792456
6,UAB,tar_180,715,0.054933757342301104,-0.7376348454588122,0.8717148490166536,0.5556706906489398
7,UAB,spikes_per_day_180,715,0.03459597788899793,0.14523690824652058,0.63658165375132,0.2562650819307892
8,UCSD,glucose_mean,518,0.05928833862628313,25.23396960496145,0.023457374635958542,0.9338897610962773
9,UCSD,glucose_cv,518,0.057331216482850555,1.9833628562723113,0.24407583928626847,0.05098158801792456
10,UCSD,tar_180,518,0.05285683902535043,14.82020223255768,0.017986279625894202,0.5556706906489398
11,UCSD,spikes_per_day_180,518,0.06435202782069693,1.0486793905472986,0.028606881258733344,0.2562650819307892
