,outcome,n,r2,coef,p_value,scope,site,p_value_pooled
0,glucose_mean,1944,0.061478978916117755,-4.750133836498463,0.4405415603990803,pooled,,
1,glucose_cv,1944,0.045363274405477716,1.4181569774945038,0.11846248925146736,pooled,,
2,tar_180,1944,0.060558410087021786,-0.7623127913710048,0.8289359615509851,pooled,,
3,spikes_per_day_180,1944,0.04896000713782467,0.4424627889572094,0.08287309245958392,pooled,,
4,glucose_mean,711,0.11121024968467774,-12.388437356254897,0.2411899717691943,per_site,UW,0.4405415603990803
5,glucose_cv,711,0.06085501917005787,-0.1348843334505752,0.9304510557653398,per_site,UW,0.11846248925146736
6,tar_180,711,0.10165668981506237,-5.099928038674436,0.3999711107718668,per_site,UW,0.8289359615509851
7,spikes_per_day_180,711,0.09188334894610894,-0.831938366402944,0.07634917048001358,per_site,UW,0.08287309245958392
8,glucose_mean,715,0.05318471066709085,-5.605258548806123,0.5948541144996391,per_site,UAB,0.4405415603990803
9,glucose_cv,715,0.03399608284237454,0.9379757739059605,0.5385579210591688,per_site,UAB,0.11846248925146736
10,tar_180,715,0.05504960245667356,-2.0351659208613935,0.7376611963667832,per_site,UAB,0.8289359615509851
11,spikes_per_day_180,715,0.04278966183917787,1.0168493532135257,0.012695691870120939,per_site,UAB,0.08287309245958392
12,glucose_mean,518,0.05009853754469562,5.322319481291723,0.6390039996345259,per_site,UCSD,0.4405415603990803
13,glucose_cv,518,0.06465201935041631,3.9754029037128795,0.021350415353270515,per_site,UCSD,0.11846248925146736
14,tar_180,518,0.04403289300862978,6.086845270295366,0.3401543497170916,per_site,UCSD,0.8289359615509851
15,spikes_per_day_180,518,0.06155089282730852,0.8825315225358874,0.07012838380006127,per_site,UCSD,0.08287309245958392
