,pollutant,scope,site,outcome,n,r2,coef,p_value
0,PM2.5,pooled,all,intraday_glucose_variance,1944,0.05352256872422445,36.69893141258986,0.03251896176047552
1,PM2.5,per_site,UW,intraday_glucose_variance,711,0.09564438642238693,32.51803328301579,0.14192727543661388
2,PM2.5,per_site,UAB,intraday_glucose_variance,715,0.04216382521596518,5.975713962997091,0.8434661958009761
3,PM2.5,per_site,UCSD,intraday_glucose_variance,518,0.050067743848068225,65.75027247612398,0.11246301726125071
4,PM2.5,pooled,all,interday_glucose_variance,1942,0.04220958344692938,41.44859010478132,1.1202397118897798e-05
5,PM2.5,per_site,UW,interday_glucose_variance,711,0.06880929325992557,17.23654788622489,0.1388404221162129
6,PM2.5,per_site,UAB,interday_glucose_variance,714,0.04338236033635179,45.96791101195865,0.014047658252936097
7,PM2.5,per_site,UCSD,interday_glucose_variance,517,0.03641508218767964,46.15826715783212,0.0067272511957063175
8,NOx,pooled,all,intraday_glucose_variance,1944,0.051861079862330794,100.56055234802744,0.2766937749800379
9,NOx,per_site,UW,intraday_glucose_variance,711,0.09287045882098655,15.597101638860067,0.8941342353575809
10,NOx,per_site,UAB,intraday_glucose_variance,715,0.042175890963356166,34.61787920042539,0.8268644671879374
11,NOx,per_site,UCSD,intraday_glucose_variance,518,0.05305446932193392,470.74959480027644,0.042601720648620854
12,NOx,pooled,all,interday_glucose_variance,1942,0.03258575401468389,3.140707601509509,0.9507766204269714
13,NOx,per_site,UW,interday_glucose_variance,711,0.06630535217314037,34.596917833411965,0.5746034568263486
14,NOx,per_site,UAB,interday_glucose_variance,714,0.03517621127914483,-19.64465271997702,0.8412281683595904
15,NOx,per_site,UCSD,interday_glucose_variance,517,0.02247499359846128,29.781714366197686,0.7541079568471756
16,VOC,pooled,all,intraday_glucose_variance,1944,0.05129615296833523,21.679612451733178,0.8563690421907603
17,VOC,per_site,UW,intraday_glucose_variance,711,0.09292152538948706,42.42978108529434,0.8112502614990103
18,VOC,per_site,UAB,intraday_glucose_variance,715,0.04255609473845334,-120.3307684963399,0.5675790859658796
19,VOC,per_site,UCSD,intraday_glucose_variance,518,0.048024894203336,282.8801937118202,0.23121978162709242
20,VOC,pooled,all,interday_glucose_variance,1942,0.032617771997251355,-17.124927269357716,0.7947578098585376
21,VOC,per_site,UW,interday_glucose_variance,711,0.06643517650926756,59.98559544533631,0.5208704889840937
22,VOC,per_site,UAB,interday_glucose_variance,714,0.03555337736299513,-73.17000475497443,0.5749858161437024
23,VOC,per_site,UCSD,interday_glucose_variance,517,0.022386091962447674,21.942706346775903,0.8192250757571868
