pollutant,scope,site,outcome,n,r2,coef,p_value
PM2.5,pooled,all,severe_hypo_minutes_per_day,1944,0.01512542998533517,0.8754417028205206,0.003925666625916295
PM2.5,per_site,UW,severe_hypo_minutes_per_day,711,0.015353680845193507,-0.06744664535356168,0.7286291683496869
PM2.5,per_site,UAB,severe_hypo_minutes_per_day,715,0.020381074927915077,0.7122948078330401,0.2680891260672892
PM2.5,per_site,UCSD,severe_hypo_minutes_per_day,518,0.08644355193531539,2.545474494743776,4.064794479704658e-05
PM2.5,pooled,all,severe_hypo_fraction,1944,0.010623437797926516,0.0008873844019335478,0.025160388517268595
PM2.5,per_site,UW,severe_hypo_fraction,711,0.015437659758181344,-4.928222019796649e-05,0.7215118040068322
PM2.5,per_site,UAB,severe_hypo_fraction,715,0.016728355002642692,0.0008309290690962537,0.37036236935955635
PM2.5,per_site,UCSD,severe_hypo_fraction,518,0.08708114074701578,0.0021035167594021125,4.064307587542776e-05
PM2.5,pooled,all,severe_hypo_mean_glucose,597,0.02470016763475702,-0.022755466278398914,0.8298583223127332
PM2.5,per_site,UW,severe_hypo_mean_glucose,215,0.08807956885600887,-0.1386586452504202,0.4953225372395805
PM2.5,per_site,UAB,severe_hypo_mean_glucose,264,0.031567932475625726,0.007509653665911609,0.9582381034187593
PM2.5,per_site,UCSD,severe_hypo_mean_glucose,118,0.059257474467742544,-0.0644402433688783,0.839684753379738
PM2.5,pooled,all,severe_hypo_windows_per_day,1944,0.01654270976223937,0.015478443654871643,0.017567604362151833
PM2.5,per_site,UW,severe_hypo_windows_per_day,711,0.017832258143411273,0.0015496623437127298,0.8159099348957403
PM2.5,per_site,UAB,severe_hypo_windows_per_day,715,0.0251494354785069,0.012665752496817576,0.35904082529141074
PM2.5,per_site,UCSD,severe_hypo_windows_per_day,518,0.06764262989046221,0.03595392926693023,0.0005315541699121113
PM2.5,pooled,all,moderate_hypo_minutes_per_day,1944,0.013617567994581803,1.6132726991072177,0.00145259922732527
PM2.5,per_site,UW,moderate_hypo_minutes_per_day,711,0.029770416465835448,1.5393989033230095,0.0478184166651011
PM2.5,per_site,UAB,moderate_hypo_minutes_per_day,715,0.02331169172054115,1.4193654086609142,0.12616338566990482
PM2.5,per_site,UCSD,moderate_hypo_minutes_per_day,518,0.029134740687744465,1.4695775314294424,0.10071259983383925
PM2.5,pooled,all,moderate_hypo_fraction,1944,0.01419262640077934,0.0011739151760747093,0.00137125890711974
