,env_outcome,glycemic_predictor,n,r2,coef,p_value
0,log_pm25,glucose_mean,2203,0.1035167903803057,0.0011924227289809087,0.024705333722647896
1,log_pm25,glucose_cv,2203,0.10579729752133493,0.011823342128572292,0.0011072269139063894
2,log_pm25,intraday_glucose_variance,2203,0.10326233916047589,5.746077330955847e-05,0.03549770835163579
3,log_pm25,interday_glucose_variance,2201,0.10841632415552405,0.0002222835004239783,1.0795157445408235e-05
4,log_pm25,hba1c,2161,0.1151313809437472,0.08653000185917575,1.98812189649702e-06
5,log_nox,glucose_mean,2203,0.016133886938370257,-3.672217638752257e-05,0.7097861054202507
6,log_nox,glucose_cv,2203,0.017455089734206286,0.001184670186503375,0.07877075537136724
7,log_nox,intraday_glucose_variance,2203,0.016314296557883523,3.7365240188840854e-06,0.4618962933180488
8,log_nox,interday_glucose_variance,2201,0.015846231701344138,-2.7831682196342277e-06,0.7675731011254456
9,log_nox,hba1c,2161,0.01518118100240129,-0.001960741212389881,0.5745753236204297
10,log_voc,glucose_mean,2203,0.017622414141501785,-6.946901209505314e-05,0.3672378588209004
11,log_voc,glucose_cv,2203,0.018335671168803636,0.0008167119961696355,0.12069015686613882
12,log_voc,intraday_glucose_variance,2203,0.01727047558806294,6.423058295337837e-07,0.8713390444845228
13,log_voc,interday_glucose_variance,2201,0.017011235547410464,2.0011901286651413e-06,0.7856790680059145
14,log_voc,hba1c,2161,0.017620107386959072,-0.003416745524973534,0.20186381337019307
15,mean_temp,glucose_mean,2203,0.07443653702150732,0.001615250987109923,0.22460641038313478
16,mean_temp,glucose_cv,2203,0.07447904494190793,0.011406267656522435,0.20939926089199332
17,mean_temp,intraday_glucose_variance,2203,0.07419759866550946,6.523009800891154e-05,0.340716986752969
18,mean_temp,interday_glucose_variance,2201,0.0741022902221472,0.00011311302360165679,0.3733879650821219
19,mean_temp,hba1c,2161,0.07883982234693965,0.0956832466012426,0.03772944707764722
20,mean_hum,glucose_mean,2203,0.08253552923724339,0.0031005812310761485,0.41468507832209756
21,mean_hum,glucose_cv,2203,0.08257600852450409,-0.022672886065147446,0.3826278101803101
22,mean_hum,intraday_glucose_variance,2203,0.08230600754797657,-6.661096282954605e-05,0.7335248588930624
23,mean_hum,interday_glucose_variance,2201,0.08312512802810179,-0.000466350308536814,0.19887991071160038
24,mean_hum,hba1c,2161,0.07896036981918597,0.18782544504121412,0.15605317994766385
25,mean_light,glucose_mean,2204,0.009331785876701026,-2.7760400435454603e-06,0.7295287514309068
26,mean_light,glucose_cv,2204,0.01071887092207291,-9.803123381651725e-05,0.0737043693767602
27,mean_light,intraday_glucose_variance,2204,0.010322896269041482,-6.291023149369229e-07,0.12779179640343413
28,mean_light,interday_glucose_variance,2202,0.009460318391281586,5.23131753808618e-07,0.49528196151104403
29,mean_light,hba1c,2162,0.009251846455970547,1.6141917557195127e-05,0.9543479914055251
