,outcome,n,predictor,coefficient,p_value
0,glucose_cv,1944,age,0.03910637564356093,0.0003166645673204887
1,glucose_cv,1944,bmi,-0.05578066744020511,0.0007123764554659285
2,glucose_cv,1944,sleep_hours,-0.14742123049109646,0.005664931851167464
3,glucose_cv,1944,mean_hum,-0.031086494752385254,0.06482436872816744
4,glucose_cv,1944,stress,0.021622343280707626,0.09736260706121379
5,glucose_cv,1944,mean_light,-12.594908393454972,0.10882663116890323
6,glucose_cv,1944,log_pm25,0.19172681517419238,0.11363687937657294
7,glucose_cv,1944,mean_nox,0.21787363784256453,0.21651886889076835
8,glucose_cv,1944,steps,-4.465654460914415e-05,0.370195433571551
9,glucose_cv,1944,mean_temp,-0.039288140423498506,0.42294071938745054
10,glucose_cv,1944,active_calories,-0.000804446234187688,0.4761342052220502
11,glucose_cv,1944,heart_rate,0.013208055910501483,0.5188747421541252
12,glucose_cv,1944,mean_voc,0.0006694372496370785,0.9215133229455805
