,outcome,n,predictor,coefficient,p_value
0,glucose_mean,1944,mean_temp,-0.8240858392340475,0.010666486944327612
1,glucose_mean,1944,sleep_hours,0.8329445989659547,0.017449767180920863
2,glucose_mean,1944,bmi,0.22635631813596374,0.03660612468448909
3,glucose_mean,1944,active_calories,0.014814605910740478,0.04614567774331351
4,glucose_mean,1944,mean_voc,-0.0776613628652714,0.08237400373566281
5,glucose_mean,1944,heart_rate,0.23336303890326512,0.08323904581995642
6,glucose_mean,1944,age,0.11641971935200768,0.10265462688288261
7,glucose_mean,1944,mean_light,-80.18270953509477,0.12065861466468013
8,glucose_mean,1944,mean_nox,-1.121576186863232,0.33340220929960235
9,glucose_mean,1944,mean_hum,-0.09208582299500587,0.4054872200151995
10,glucose_mean,1944,steps,-0.0002567581300403287,0.4334333540382174
11,glucose_mean,1944,stress,-0.06376595975281238,0.45718944625766106
12,glucose_mean,1944,log_pm25,0.011625483147019722,0.9883600612235943
