,outcome,n,predictor,coefficient,p_value
0,spikes_per_day_180,1944,age,0.014762031432089637,9.7484875890652e-07
1,spikes_per_day_180,1944,bmi,-0.008427707771074672,0.0648032932510067
2,spikes_per_day_180,1944,mean_voc,0.003228688050817688,0.08662667805624086
3,spikes_per_day_180,1944,steps,-2.2115160373431746e-05,0.10950678548513315
4,spikes_per_day_180,1944,mean_light,-3.279440519457,0.13204092144858232
5,spikes_per_day_180,1944,log_pm25,-0.04763207048423494,0.15623230665572183
6,spikes_per_day_180,1944,heart_rate,0.0071408699210043815,0.20844778809267286
7,spikes_per_day_180,1944,active_calories,0.0003360188017286639,0.28304661199841263
8,spikes_per_day_180,1944,mean_temp,-0.013336812006633805,0.32650218572210365
9,spikes_per_day_180,1944,mean_hum,0.0013265373401722554,0.7761469578388095
10,spikes_per_day_180,1944,mean_nox,0.009460848102474127,0.8464779033959346
11,spikes_per_day_180,1944,stress,0.0004312264157852936,0.9050357513510945
12,spikes_per_day_180,1944,sleep_hours,-0.0008036089843008135,0.9565739560718339
