,outcome,n,predictor,coefficient,p_value
0,tar_180,1944,mean_temp,-0.4616476997698977,0.010940092020506246
1,tar_180,1944,active_calories,0.008939877194687156,0.03232063937007202
2,tar_180,1944,mean_hum,-0.1199443743642788,0.05401267417197966
3,tar_180,1944,age,0.06849615447688472,0.08760471758616437
4,tar_180,1944,sleep_hours,0.30483440784781024,0.12157018106510839
5,tar_180,1944,mean_voc,-0.03474038166056642,0.16681855874413745
6,tar_180,1944,bmi,0.08173452453559643,0.17926268136188372
7,tar_180,1944,heart_rate,0.09447749340349937,0.21212155824202447
8,tar_180,1944,mean_light,-35.72805848229132,0.21856522790843302
9,tar_180,1944,steps,-0.00022176925597023546,0.22880106175609777
10,tar_180,1944,log_pm25,0.46533291411053024,0.2989641306677009
11,tar_180,1944,mean_nox,-0.3269754208206738,0.6158874701560874
12,tar_180,1944,stress,0.006229434294329754,0.8971869925263898
