pollutant,scope,site,outcome,n,r2,coef,p_value,q_value_at_0.05,fdr_significant_q0.05,q_value_at_0.1,fdr_significant_q0.1
PM2.5,per_site,UCSD,severe_hypo_fraction,518,0.0870811407470157,0.0021035167594021,4.064307587542776e-05,0.0058533040507747075,True,0.0058533040507747075,True
PM2.5,per_site,UCSD,severe_hypo_minutes_per_day,518,0.0864435519353153,2.545474494743776,4.064794479704658e-05,0.0058533040507747075,True,0.0058533040507747075,True
PM2.5,per_site,UCSD,glucose_cv_ratio,518,0.0809790240564291,0.0113664874088073,0.0001643977305489,0.015782182132694403,True,0.015782182132694403,True
PM2.5,pooled,all,glucose_cv_ratio,1944,0.0503523507711981,0.0046097268597321,0.0003944471707938,0.027527776569859202,True,0.027527776569859202,True
PM2.5,per_site,UCSD,severe_hypo_windows_per_day,518,0.0676426298904622,0.0359539292669302,0.0005315541699121,0.027527776569859202,True,0.027527776569859202,True
PM2.5,pooled,all,glucose_overall_variance,1944,0.0575964197069495,76.73290791611032,0.0005734953452054,0.027527776569859202,True,0.027527776569859202,True
VOC,per_site,UAB,severe_hyper_mean_glucose,296,0.1428982830249416,-24.831055046892416,0.0008505510894512,0.03218065980535828,True,0.03218065980535828,True
PM2.5,pooled,all,normal_minutes_per_day,1944,0.0682481154276571,-24.057746129594737,0.0009366411456595,0.03218065980535828,True,0.03218065980535828,True
PM2.5,pooled,all,severe_hyper_windows_per_day,1944,0.0490276274214387,0.0620282845754473,0.0010073319593629,0.03218065980535828,True,0.03218065980535828,True
VOC,per_site,UAB,normal_windows_per_day,715,0.0432666530803307,1.3287753570336025,0.0012026962042735,0.03218065980535828,True,0.03218065980535828,True
NOx,per_site,UCSD,normal_mean_glucose,516,0.0838718249012033,16.24090333534639,0.0012795598696193,0.03218065980535828,True,0.03218065980535828,True
PM2.5,pooled,all,moderate_hypo_fraction,1944,0.0141926264007793,0.0011739151760747,0.0013712589071197,0.03218065980535828,True,0.03218065980535828,True
PM2.5,pooled,all,moderate_hypo_minutes_per_day,1944,0.0136175679945818,1.6132726991072175,0.0014525992273252,0.03218065980535828,True,0.03218065980535828,True
PM2.5,pooled,all,normal_fraction,1944,0.0669265797925302,-0.0157008176665602,0.0017609030394389,0.0362242910970288,True,0.0362242910970288,True
