,pollutant,scope,site,n,r2,coef,p_value,best_cgm_outcome_pooled_p
0,PM2.5,pooled,all,1906,0.0981389150253712,0.10622119336333863,5.1211826420055586e-05,0.0061
1,PM2.5,per_site,UW,713,0.12744895411719903,0.010706055599578209,0.7672556876405633,0.0061
2,PM2.5,per_site,UAB,697,0.10354436738013506,0.18760703659474398,3.501244352954962e-05,0.0061
3,PM2.5,per_site,UCSD,496,0.066497992141756,0.06291969384219558,0.2972682949873956,0.0061
4,NOx,pooled,all,1906,0.09028997896647706,0.014989792362348263,0.9123164034368243,0.051
5,NOx,per_site,UW,713,0.12743418679722796,-0.051591569464788704,0.7831545850136648,0.051
6,NOx,per_site,UAB,697,0.0809092483450442,0.053917780599446824,0.8137881486827189,0.051
7,NOx,per_site,UCSD,496,0.06468417095309065,0.12698693005844564,0.7005839136138157,0.051
8,VOC,pooled,all,1906,0.09081062488248415,-0.18815892583055802,0.29537033231098253,0.083
9,VOC,per_site,UW,713,0.12811312348071224,-0.22535594220370955,0.4306734300121146,0.083
10,VOC,per_site,UAB,697,0.08108550182650143,-0.1359147180980189,0.6656280645711553,0.083
11,VOC,per_site,UCSD,496,0.06459696370169465,-0.10777904129459182,0.7485110089218805,0.083
