,clinical_site,n,raw_mean,adjusted_mean,outcome,pollution_rank,raw_monotonic_with_pollution,adjusted_monotonic_with_pollution
0,UW,764,6276.9635340314135,-10.214536574926191,steps,0,no,no
1,UCSD,614,5311.399022801303,-628.6073862681634,steps,1,no,no
2,UAB,763,6736.680576671036,516.0797393340641,steps,2,no,no
3,UW,765,201.12266666666667,-2.455114542890244,active_calories,0,no,no
4,UCSD,653,178.99814701378253,-12.28196993187653,active_calories,1,no,no
5,UAB,766,214.5641644908616,12.922048290896404,active_calories,2,no,no
6,UW,789,133.45201252937053,1.524580627606869,glucose_mean,0,up,no
7,UCSD,664,133.8284820548915,-1.9014696838720972,glucose_mean,1,up,no
8,UAB,790,140.4185183127805,0.07554652520141485,glucose_mean,2,up,no
9,UW,789,18.92505133429439,-0.08312307092295923,glucose_cv,0,up,no
10,UCSD,664,19.340464142662608,-0.2892415007294319,glucose_cv,1,up,no
11,UAB,790,20.455374065944362,0.3261271638513241,glucose_cv,2,up,no
12,UW,789,10.640156764666079,0.5458765414333,tar_180,0,up,no
13,UCSD,664,11.022262783062933,-1.2320130479125497,tar_180,1,up,no
14,UAB,790,15.685962427023695,0.49032920585190437,tar_180,2,up,no
