env_metric,sdoh_score,n,spearman_rho,p_value
mean_pm25,current_smoker,2215,0.14916133829912795,1.7180893226409754e-12
mean_light,cesd_total,2228,-0.13852214816128616,5.1515012320415884e-11
mean_pm25,cesd_total,2227,0.13727848321415906,7.743198309924097e-11
mean_pm25,paid_total,2181,0.1327999073112271,4.78646249917496e-10
mean_temp,substance_use_count,2229,-0.11488326772311358,5.3617952125750546e-08
mean_light,paid_total,2182,-0.09755262718869995,4.99143238950432e-06
mean_nox,neighborhood_score,2110,0.093041383202439,1.864013117665181e-05
mean_light,substance_use_count,2230,0.08014919870076546,0.00015134625501287544
mean_nox,substance_use_count,2229,0.07531187537620732,0.00037268634450604853
mean_light,neighborhood_score,2111,0.07536209238903566,0.0005293724962406413
mean_hum,paid_total,2181,0.07334997416373211,0.0006076314334442515
mean_light,diet_score,706,-0.12283670970343577,0.0010737192497497906
mean_voc,cesd_total,2227,0.0672053375247867,0.0015071606359415225
mean_pm25,diet_score,705,0.11789991037809726,0.0017135840788971247
mean_nox,cesd_total,2227,-0.06369066667717466,0.0026384115083027924
mean_voc,substance_use_count,2229,0.06346686722822756,0.0027197392705722375
mean_temp,neighborhood_score,2110,-0.06303478762972033,0.003771686282917812
mean_voc,current_smoker,2215,0.05626472991398578,0.008081763548028522
mean_temp,current_smoker,2215,0.05311851805531485,0.012408374798684264
mean_voc,paid_total,2181,0.04606086989169256,0.03147577903044162
mean_nox,diet_score,705,-0.07226200001497823,0.05513741950808209
mean_voc,neighborhood_score,2110,0.04125029319122825,0.05815803012658305
mean_temp,paid_total,2181,0.03479188644627715,0.10429423146968829
mean_temp,diet_score,705,0.05188865146810192,0.16875311155941494
mean_nox,paid_total,2181,-0.029213213026309838,0.17263039978319564
mean_hum,diet_score,705,-0.05070648480675256,0.178681313514693
mean_hum,neighborhood_score,2110,0.028175399434332647,0.19576234927587013
mean_hum,cesd_total,2227,0.027031445140886234,0.20225245433718328
mean_nox,current_smoker,2215,0.023568292916995782,0.2675419404562758
mean_temp,cesd_total,2227,0.023408239956842877,0.2695099879818717
mean_voc,diet_score,705,-0.03940678992417055,0.29608222206103685
mean_light,current_smoker,2216,-0.015278676521625584,0.4722205189648935
mean_pm25,substance_use_count,2229,-0.008136643162722185,0.7010226213753008
mean_hum,current_smoker,2215,-0.005391539524460389,0.7998008313331937
mean_hum,substance_use_count,2229,-0.0037514809903611214,0.859494825983277
mean_pm25,neighborhood_score,2110,0.0011278067264006647,0.9587081175948053
