scope,pollutant,outcome,site,n,r2,coef,p
pooled,PM2.5,stress,all,1958,0.03178695520895758,0.9765616376457446,0.0019279750531556188
per_site,PM2.5,stress,UW,716,0.019817830131015346,1.7502990924185535,0.0005071288315185832
per_site,PM2.5,stress,UAB,722,0.01814983103960144,0.8513474551074353,0.07940474378715606
per_site,PM2.5,stress,UCSD,520,0.01908069613120167,-0.18259330115496208,0.8011598897873262
pooled,PM2.5,sleep_hours,all,2026,0.01198125272643391,-0.09424720834335132,0.01024813888534192
per_site,PM2.5,sleep_hours,UW,728,0.004330869358407763,-0.018407620737863617,0.7596111240893861
per_site,PM2.5,sleep_hours,UAB,718,0.007239398163771837,-0.11544213371122897,0.03291046342016764
per_site,PM2.5,sleep_hours,UCSD,580,0.020909981037562697,-0.16846482535157692,0.04774519810235947
pooled,NOx,stress,all,1958,0.031541802070127134,-5.17925296614648,0.0025247621348471034
per_site,NOx,stress,UW,716,0.010259696116344363,-6.402418901932398,0.022913493945996333
per_site,NOx,stress,UAB,722,0.019739753104210278,-5.169331724957274,0.03944814967249891
per_site,NOx,stress,UCSD,520,0.019649349084823853,-2.592417759553425,0.5468801785124127
pooled,NOx,sleep_hours,all,2026,0.008881638454248164,0.10129493483079074,0.6084407997052483
per_site,NOx,sleep_hours,UW,728,0.004237732503208913,0.05249200112828101,0.8722358739536796
per_site,NOx,sleep_hours,UAB,718,0.0008966618237442603,0.0011403585000581556,0.9967653316856322
per_site,NOx,sleep_hours,UCSD,580,0.015329183780548372,0.39343833638942294,0.4229087133989457
pooled,VOC,stress,all,1958,0.027059838806752667,0.7360680290229857,0.7431716652345897
per_site,VOC,stress,UW,716,0.0035885304392486717,2.670480932572068,0.5329923496528712
per_site,VOC,stress,UAB,722,0.013941030369204022,-0.2058344624033886,0.9514895572636181
per_site,VOC,stress,UCSD,520,0.018962568610542352,-0.15182524237653894,0.9720162226967809
pooled,VOC,sleep_hours,all,2026,0.008879939408939497,0.13252652337217025,0.6108162679869817
per_site,VOC,sleep_hours,UW,728,0.00426023285120658,-0.10378292620572249,0.8371746508519199
per_site,VOC,sleep_hours,UAB,718,0.0010619874783578398,-0.12892799287292753,0.7309321724980371
per_site,VOC,sleep_hours,UCSD,580,0.017937989543962862,0.758508955674331,0.1405765795061891
