,env_metric,sdoh_score,n,spearman_rho,p_value,q_value_at_0.05,fdr_significant_q0.05,q_value_at_0.1,fdr_significant_q0.1
36,mean_pm25,food_insecurity_score,2223,0.2599540904544365,1.166077199751409e-35,4.897524238955918e-34,True,4.897524238955918e-34,True
0,mean_pm25,current_smoker,2215,0.1491613382991279,1.7180893226409754e-12,3.6079875775460484e-11,True,3.6079875775460484e-11,True
1,mean_light,cesd_total,2228,-0.1385221481612861,5.151501232041589e-11,7.212101724858225e-10,True,7.212101724858225e-10,True
2,mean_pm25,cesd_total,2227,0.137278483214159,7.743198309924097e-11,8.130358225420302e-10,True,8.130358225420302e-10,True
37,mean_light,food_insecurity_score,2224,-0.1348405957447707,1.718557518229645e-10,1.4435883153129018e-09,True,1.4435883153129018e-09,True
3,mean_pm25,paid_total,2181,0.1327999073112271,4.78646249917496e-10,3.350523749422472e-09,True,3.350523749422472e-09,True
38,mean_temp,food_insecurity_score,2223,0.1160708651340126,4.0634732209137424e-08,2.4380839325482457e-07,True,2.4380839325482457e-07,True
4,mean_temp,substance_use_count,2229,-0.1148832677231135,5.361795212575055e-08,2.814942486601904e-07,True,2.814942486601904e-07,True
39,mean_voc,food_insecurity_score,2223,0.1095708319843887,2.232985851743969e-07,1.0420600641471857e-06,True,1.0420600641471857e-06,True
5,mean_light,paid_total,2182,-0.0975526271886999,4.99143238950432e-06,2.0964016035918146e-05,True,2.0964016035918146e-05,True
6,mean_nox,neighborhood_score,2110,0.093041383202439,1.864013117665181e-05,7.1171409947216e-05,True,7.1171409947216e-05,True
7,mean_light,substance_use_count,2230,0.0801491987007654,0.0001513462550128,0.0005297118925448001,True,0.0005297118925448001,True
8,mean_nox,substance_use_count,2229,0.0753118753762073,0.000372686344506,0.0012040635745578462,True,0.0012040635745578462,True
9,mean_light,neighborhood_score,2111,0.0753620923890356,0.0005293724962406,0.0015881174887218,True,0.0015881174887218,True
10,mean_hum,paid_total,2181,0.0733499741637321,0.0006076314334442,0.00170136801364376,True,0.00170136801364376,True
11,mean_light,diet_score,706,-0.1228367097034357,0.0010737192497497,0.0028185130305929625,True,0.0028185130305929625,True
12,mean_voc,cesd_total,2227,0.0672053375247867,0.0015071606359415,0.0037235733358554706,True,0.0037235733358554706,True
13,mean_pm25,diet_score,705,0.1178999103780972,0.0017135840788971,0.0039983628507599,True,0.0039983628507599,True
14,mean_nox,cesd_total,2227,-0.0636906666771746,0.0026384115083027,0.00571145246820162,True,0.00571145246820162,True
15,mean_voc,substance_use_count,2229,0.0634668672282275,0.0027197392705722,0.00571145246820162,True,0.00571145246820162,True
16,mean_temp,neighborhood_score,2110,-0.0630347876297203,0.0037716862829178,0.0075433725658356,True,0.0075433725658356,True
17,mean_voc,current_smoker,2215,0.0562647299139857,0.0080817635480285,0.015428821318963499,True,0.015428821318963499,True
40,mean_hum,food_insecurity_score,2223,0.054262953146411,0.0105011768691277,0.019176062108841884,True,0.019176062108841884,True
18,mean_temp,current_smoker,2215,0.0531185180553148,0.0124083747986842,0.02171465589769735,True,0.02171465589769735,True
41,mean_nox,food_insecurity_score,2223,-0.0496160623862365,0.0193117420934026,0.03244372671691637,True,0.03244372671691637,True
19,mean_voc,paid_total,2181,0.0460608698916925,0.0314757790304416,0.05084548920302105,False,0.05084548920302105,True
20,mean_nox,diet_score,705,-0.0722620000149782,0.055137419508082,0.08576931923479422,False,0.08576931923479422,True
21,mean_voc,neighborhood_score,2110,0.0412502931912282,0.058158030126583,0.0872370451898745,False,0.0872370451898745,True
22,mean_temp,paid_total,2181,0.0347918864462771,0.1042942314696882,0.15104681799058292,False,0.15104681799058292,False
23,mean_temp,diet_score,705,0.0518886514681019,0.1687531115594149,0.23388634809336178,False,0.23388634809336178,False
24,mean_nox,paid_total,2181,-0.0292132130263098,0.1726303997831956,0.23388634809336178,False,0.23388634809336178,False
25,mean_hum,diet_score,705,-0.0507064848067525,0.178681313514693,0.23451922398803457,False,0.23451922398803457,False
26,mean_hum,neighborhood_score,2110,0.0281753994343326,0.1957623492758701,0.24915208089656196,False,0.24915208089656196,False
27,mean_hum,cesd_total,2227,0.0270314451408862,0.2022524543371832,0.24984126712240276,False,0.24984126712240276,False
28,mean_nox,current_smoker,2215,0.0235682929169957,0.2675419404562758,0.3144283193121837,False,0.3144283193121837,False
29,mean_temp,cesd_total,2227,0.0234082399568428,0.2695099879818717,0.3144283193121837,False,0.3144283193121837,False
30,mean_voc,diet_score,705,-0.0394067899241705,0.2960822220610368,0.3360933331503661,False,0.3360933331503661,False
31,mean_light,current_smoker,2216,-0.0152786765216255,0.4722205189648935,0.5219279420138296,False,0.5219279420138296,False
32,mean_pm25,substance_use_count,2229,-0.0081366431627221,0.7010226213753008,0.7549474384041701,False,0.7549474384041701,False
33,mean_hum,current_smoker,2215,-0.0053915395244603,0.7998008313331937,0.8397908728998534,False,0.8397908728998534,False
34,mean_hum,substance_use_count,2229,-0.0037514809903611,0.859494825983277,0.8804581144218935,False,0.8804581144218935,False
35,mean_pm25,neighborhood_score,2110,0.0011278067264006,0.9587081175948052,0.9587081175948052,False,0.9587081175948052,False
