,stratum_type,stratum,predictor,outcome,n,coef,p
0,global,all,log_pm25,hba1c,2161,0.12062666024137624,1.9881218964971998e-06
1,global,all,log_pm25,glucose_cv,2203,0.40867797390083327,0.001107226913906895
2,global,all,log_pm25,tar_180,2203,1.525915697656826,0.0019989933264171495
3,global,all,log_pm25,interday_glucose_variance,2201,39.52448756491367,1.07951574453988e-05
4,global,all,bmi,hba1c,2161,0.02570092202701813,1.8260358402916556e-14
5,global,all,bmi,glucose_cv,2203,0.03388316490000735,0.04067344887281497
6,global,all,bmi,tar_180,2203,0.38402689208687363,4.471104003545826e-09
7,global,all,bmi,interday_glucose_variance,2201,4.244788528229771,0.0003359324696600642
8,age_band,40-54,log_pm25,hba1c,690,0.12847721664111006,0.00591972171024129
9,age_band,40-54,log_pm25,glucose_cv,705,0.5532836754938754,0.0049425705698008665
10,age_band,40-54,log_pm25,tar_180,705,1.6284966023697232,0.05837122143940451
11,age_band,40-54,log_pm25,interday_glucose_variance,703,56.75003267406784,0.0009434237782017785
12,age_band,40-54,bmi,hba1c,690,0.030545444885586907,1.8706291888233054e-07
13,age_band,40-54,bmi,glucose_cv,705,0.004251229849416428,0.8626934607189691
14,age_band,40-54,bmi,tar_180,705,0.442703407096968,4.3163167931222096e-05
15,age_band,40-54,bmi,interday_glucose_variance,703,1.5852059040062676,0.4560153054567174
16,age_band,55-69,log_pm25,hba1c,960,0.11345098240504708,0.002554358406473445
17,age_band,55-69,log_pm25,glucose_cv,970,0.36480019504249295,0.046868716850870865
18,age_band,55-69,log_pm25,tar_180,970,1.4613750340826712,0.037849849161642815
19,age_band,55-69,log_pm25,interday_glucose_variance,970,38.34989885076713,0.0010752776543420687
20,age_band,55-69,bmi,hba1c,960,0.01683544545810626,0.0011687431635174121
21,age_band,55-69,bmi,glucose_cv,970,0.07323156357370998,0.003965512694156931
22,age_band,55-69,bmi,tar_180,970,0.2848159060783808,0.003474676864352692
23,age_band,55-69,bmi,interday_glucose_variance,970,5.421903083315879,0.0008328683483805425
24,age_band,70+,log_pm25,hba1c,511,0.05342298668722577,0.2710955498098
25,age_band,70+,log_pm25,glucose_cv,528,-0.020672962127323835,0.9487191541323129
26,age_band,70+,log_pm25,tar_180,528,0.5554455128385634,0.6295837921513214
27,age_band,70+,log_pm25,interday_glucose_variance,528,-2.531293678292036,0.9014753550851874
28,age_band,70+,bmi,hba1c,511,0.02593298961560396,0.00010340889513800168
29,age_band,70+,bmi,glucose_cv,528,-0.014119495513338146,0.7512496940935265
30,age_band,70+,bmi,tar_180,528,0.33263625856723505,0.037490656960087694
31,age_band,70+,bmi,interday_glucose_variance,528,6.093770233671168,0.03186910623138845
32,severity_group,Healthy,log_pm25,hba1c,738,0.028213057329961516,0.17193147698764732
33,severity_group,Healthy,log_pm25,glucose_cv,742,0.1380498690226315,0.3886587502708241
34,severity_group,Healthy,log_pm25,tar_180,742,0.03974496760972408,0.8860537254873567
35,severity_group,Healthy,log_pm25,interday_glucose_variance,742,4.591501938283445,0.5217399332469094
36,severity_group,Healthy,bmi,hba1c,738,0.00545949241556677,0.06918854274424481
37,severity_group,Healthy,bmi,glucose_cv,742,0.023033258881385188,0.32263797914302617
38,severity_group,Healthy,bmi,tar_180,742,0.03567321304071114,0.37654194463225193
39,severity_group,Healthy,bmi,interday_glucose_variance,742,-2.000469649055746,0.05517918753444882
40,severity_group,Pre-DM,log_pm25,hba1c,538,-0.021086232124953426,0.437469123890958
41,severity_group,Pre-DM,log_pm25,glucose_cv,545,-0.1305322368705938,0.5604817362965121
42,severity_group,Pre-DM,log_pm25,tar_180,545,-1.101217354964969,0.07988481104293887
43,severity_group,Pre-DM,log_pm25,interday_glucose_variance,543,-13.507503223500965,0.06453100185510792
44,severity_group,Pre-DM,bmi,hba1c,538,0.00880765981020078,0.007555185793293158
45,severity_group,Pre-DM,bmi,glucose_cv,545,-0.041202366858016676,0.1299418095053086
46,severity_group,Pre-DM,bmi,tar_180,545,0.15350179090867852,0.04413134734528049
47,severity_group,Pre-DM,bmi,interday_glucose_variance,543,0.5841179098299053,0.503639405889086
48,severity_group,Oral Med,log_pm25,hba1c,646,0.10934801258492796,0.02005978208281837
49,severity_group,Oral Med,log_pm25,glucose_cv,671,0.3119021265668076,0.156389009525732
50,severity_group,Oral Med,log_pm25,tar_180,671,0.13007402165108375,0.895462559460496
51,severity_group,Oral Med,log_pm25,interday_glucose_variance,671,7.070748114116644,0.5694981542623964
52,severity_group,Oral Med,bmi,hba1c,646,0.01154190789241157,0.08102350134760437
53,severity_group,Oral Med,bmi,glucose_cv,671,-0.07996923247698734,0.009457536813766255
54,severity_group,Oral Med,bmi,tar_180,671,0.183197932469488,0.18582145772215183
55,severity_group,Oral Med,bmi,interday_glucose_variance,671,-0.6284335842695727,0.7175909844993016
56,severity_group,Insulin,log_pm25,hba1c,239,0.21151523077318926,0.05986339414116452
57,severity_group,Insulin,log_pm25,glucose_cv,245,0.3641553114230595,0.3800406508432842
58,severity_group,Insulin,log_pm25,tar_180,245,3.694922655311804,0.05035571200851268
59,severity_group,Insulin,log_pm25,interday_glucose_variance,245,156.6295273647515,0.0027786946067041747
60,severity_group,Insulin,bmi,hba1c,239,0.010502744622711514,0.44442321549010355
61,severity_group,Insulin,bmi,glucose_cv,245,-0.023484277222933975,0.6515660746422839
62,severity_group,Insulin,bmi,tar_180,245,-0.21697049582173697,0.35809215822129614
63,severity_group,Insulin,bmi,interday_glucose_variance,245,5.373681527279952,0.4092057012185298
