,block,predictor,outcome,stratum,n,coef,p
0,A_glycemia_vs_pollutants,PM2.5,hba1c,all,2166,0.1486001304566398,4.367559479911981e-09
1,A_glycemia_vs_pollutants,PM2.5,hba1c,Healthy,741,0.03862315144243643,0.054961988426696376
2,A_glycemia_vs_pollutants,PM2.5,hba1c,Pre-DM,539,-0.011744555312473738,0.6639509768865233
3,A_glycemia_vs_pollutants,PM2.5,hba1c,T2DM (Oral Med+Insulin),886,0.19110442969160873,5.841043855861776e-05
4,A_glycemia_vs_pollutants,PM2.5,glucose_mean,all,2208,2.660789720340293,0.0017698638041289073
5,A_glycemia_vs_pollutants,PM2.5,glucose_mean,Healthy,745,-0.0036903195125869833,0.9956383250860995
6,A_glycemia_vs_pollutants,PM2.5,glucose_mean,Pre-DM,546,-2.6436112922299695,0.027778262619919083
7,A_glycemia_vs_pollutants,PM2.5,glucose_mean,T2DM (Oral Med+Insulin),917,3.3297962894470414,0.03176074489282057
8,A_glycemia_vs_pollutants,PM2.5,tir,all,2208,-2.039534676094415,2.7572646965654826e-05
9,A_glycemia_vs_pollutants,PM2.5,tir,Healthy,745,-0.04552126141348125,0.8674356633558093
10,A_glycemia_vs_pollutants,PM2.5,tir,Pre-DM,546,0.6842812349968644,0.2849092780318005
11,A_glycemia_vs_pollutants,PM2.5,tir,T2DM (Oral Med+Insulin),917,-2.7366912506728167,0.0028256068841839557
12,A_glycemia_vs_pollutants,NOx,hba1c,all,2166,-0.13064282965858645,0.3322042151605998
13,A_glycemia_vs_pollutants,NOx,hba1c,Healthy,741,-0.039005943398061765,0.7381143109834756
14,A_glycemia_vs_pollutants,NOx,hba1c,Pre-DM,539,0.07339167556324569,0.5890315143657144
15,A_glycemia_vs_pollutants,NOx,hba1c,T2DM (Oral Med+Insulin),886,-0.30677264354309774,0.20293573428668846
16,A_glycemia_vs_pollutants,NOx,glucose_mean,all,2208,-3.312333512762816,0.4760655190645427
17,A_glycemia_vs_pollutants,NOx,glucose_mean,Healthy,745,-5.279038870464034,0.17469766126105868
18,A_glycemia_vs_pollutants,NOx,glucose_mean,Pre-DM,546,0.5981106395422968,0.922295840319975
19,A_glycemia_vs_pollutants,NOx,glucose_mean,T2DM (Oral Med+Insulin),917,-3.7677888058961404,0.6499435584347116
20,A_glycemia_vs_pollutants,NOx,tir,all,2208,0.2978150023208057,0.9108259862974905
21,A_glycemia_vs_pollutants,NOx,tir,Healthy,745,-0.38549566958868753,0.8063119237041376
22,A_glycemia_vs_pollutants,NOx,tir,Pre-DM,546,-1.1587219969271418,0.72227680141746
23,A_glycemia_vs_pollutants,NOx,tir,T2DM (Oral Med+Insulin),917,1.5503436328772244,0.7523258663767515
24,A_glycemia_vs_pollutants,VOC,hba1c,all,2166,-0.11558775597592609,0.5095556921807749
25,A_glycemia_vs_pollutants,VOC,hba1c,Healthy,741,-0.006132504524145261,0.9661712400296623
26,A_glycemia_vs_pollutants,VOC,hba1c,Pre-DM,539,-0.07778127219495225,0.6729971323145906
27,A_glycemia_vs_pollutants,VOC,hba1c,T2DM (Oral Med+Insulin),886,-0.41288427591573895,0.19232852708363304
28,A_glycemia_vs_pollutants,VOC,glucose_mean,all,2208,-2.4338883779713774,0.6817412651185679
29,A_glycemia_vs_pollutants,VOC,glucose_mean,Healthy,745,0.42875704972013484,0.9295258358580597
30,A_glycemia_vs_pollutants,VOC,glucose_mean,Pre-DM,546,-6.686318519845846,0.41544658482023966
31,A_glycemia_vs_pollutants,VOC,glucose_mean,T2DM (Oral Med+Insulin),917,-9.37322437737435,0.3734335871256293
32,A_glycemia_vs_pollutants,VOC,tir,all,2208,-0.6941565529538744,0.8380074507719284
33,A_glycemia_vs_pollutants,VOC,tir,Healthy,745,-0.9442019175392851,0.6297073438842505
34,A_glycemia_vs_pollutants,VOC,tir,Pre-DM,546,-1.5428522822835542,0.7238514267934111
35,A_glycemia_vs_pollutants,VOC,tir,T2DM (Oral Med+Insulin),917,3.900541300567194,0.5314072802110993
36,B_glycemia_vs_activityBMI,bmi,hba1c,all,2206,0.02830289101438454,1.1707775112563387e-17
37,B_glycemia_vs_activityBMI,bmi,hba1c,Healthy,757,0.006211579771716743,0.0326188637243427
38,B_glycemia_vs_activityBMI,bmi,hba1c,Pre-DM,545,0.008432857039679605,0.009412351968934748
39,B_glycemia_vs_activityBMI,bmi,hba1c,T2DM (Oral Med+Insulin),904,0.019045898142877223,0.002629515513473631
40,B_glycemia_vs_activityBMI,bmi,glucose_mean,all,2238,0.7482434201765916,2.2121068330101416e-11
41,B_glycemia_vs_activityBMI,bmi,glucose_mean,Healthy,756,0.11989849056265012,0.22413379346180748
42,B_glycemia_vs_activityBMI,bmi,glucose_mean,Pre-DM,551,0.3415732739424262,0.018394902701856945
43,B_glycemia_vs_activityBMI,bmi,glucose_mean,T2DM (Oral Med+Insulin),931,0.28346204344457254,0.17357835399695987
44,B_glycemia_vs_activityBMI,bmi,tir,all,2238,-0.40519762415991956,2.4589916853060217e-10
