,site,outcome,n,r2,log_pm25_coef,log_pm25_p
0,UW,active_minutes_v1_per_day,751,0.015581493938490287,7.242646924486618,0.17565093900643564
1,UW,active_minutes_v2_per_day,751,0.012830641216350136,-8.88615573172925,0.020187133409461985
2,UW,active_calories,761,0.08021178199019952,21.472193734182103,0.00010811268315075803
3,UW,bmi,785,0.0670897495614079,1.6735050780922844,4.2484565813559563e-10
4,UAB,active_minutes_v1_per_day,745,0.02514536219588004,9.027889406668917,0.06767170956889826
5,UAB,active_minutes_v2_per_day,745,0.0028875807791401975,-0.2094587040616895,0.9430160115928655
6,UAB,active_calories,749,0.08216038086764521,6.959347496909735,0.16264627887601132
7,UAB,bmi,779,0.0748624955519479,0.41329074151453504,0.11113519894154586
8,UCSD,active_minutes_v1_per_day,589,0.003477575502709218,0.3772860337633183,0.9607641117282784
9,UCSD,active_minutes_v2_per_day,589,0.0029060838697970715,-5.6584990427825215,0.348334839276532
10,UCSD,active_calories,643,0.026344980064496704,7.022592122392622,0.3330749555526947
11,UCSD,bmi,661,0.058074885723641945,1.3545018710078836,1.4300010302638095e-05
