,outcome,n,predictor,coefficient,p_value
0,glucose_cv,1944,age,0.0648445421479957,5.020520098638811e-08
1,glucose_cv,1944,log_pm25,0.36507035155925693,0.006135741512824095
2,glucose_cv,1944,stress,0.03655728675876239,0.01087641984959982
3,glucose_cv,1944,steps,-0.00013892449316473904,0.01113966516305374
4,glucose_cv,1944,sleep_hours,-0.14437333733207267,0.013828286339553476
5,glucose_cv,1944,heart_rate,0.051657375682213666,0.02149506519702204
6,glucose_cv,1944,mean_nox,0.3560212422978971,0.0667501017014316
7,glucose_cv,1944,mean_light,-12.204456464736136,0.15848594293934054
8,glucose_cv,1944,mean_hum,-0.02392458708415223,0.19667321014519745
9,glucose_cv,1944,mean_voc,0.006660823738359864,0.3729349988266111
10,glucose_cv,1944,mean_temp,0.047838932534487864,0.3736903237834935
11,glucose_cv,1944,bmi,-0.004672414011260331,0.7937257804236366
12,glucose_cv,1944,active_calories,-0.0002868424967637632,0.817631447220279
