,outcome,n,predictor,coefficient,p_value
0,glucose_mean,1944,bmi,0.6406445531611299,1.698843025380551e-07
1,glucose_mean,1944,age,0.32930643479278066,4.9289604628858e-05
2,glucose_mean,1944,heart_rate,0.5488144782070432,0.00035391465696798315
3,glucose_mean,1944,steps,-0.0009918272425713274,0.00798860190766612
4,glucose_mean,1944,active_calories,0.018645377006017677,0.0283199388375931
5,glucose_mean,1944,sleep_hours,0.8123218747620105,0.04255255399224482
6,glucose_mean,1944,log_pm25,1.2806434611132813,0.15905458826210545
7,glucose_mean,1944,mean_light,-79.65999635105032,0.17784194016900082
8,glucose_mean,1944,mean_voc,-0.03446621757029814,0.499722498484697
9,glucose_mean,1944,stress,0.05942800195976922,0.5441840313920989
10,glucose_mean,1944,mean_temp,-0.10152423186062437,0.7822526877870914
11,glucose_mean,1944,mean_hum,-0.02433970689944759,0.8474938590801698
12,glucose_mean,1944,mean_nox,-0.030184551060199905,0.9818387365350761
