,outcome,n,predictor,coefficient,p_value
0,spikes_per_day_180,1944,age,0.02342277223915655,3.740489505994823e-12
1,spikes_per_day_180,1944,steps,-4.7798915996656366e-05,0.0020177561891441672
2,spikes_per_day_180,1944,heart_rate,0.019484159950580206,0.0021728423299930337
3,spikes_per_day_180,1944,mean_voc,0.004273395209566769,0.043288421183194065
4,spikes_per_day_180,1944,bmi,0.008235363716972194,0.1032161830953247
5,spikes_per_day_180,1944,mean_light,-3.5819892310300165,0.14324237060764825
6,spikes_per_day_180,1944,stress,0.005305317129774422,0.19089049272119596
7,spikes_per_day_180,1944,active_calories,0.0004530931026927777,0.19774712241159956
8,spikes_per_day_180,1944,mean_temp,0.01678500072517729,0.2696494136715855
9,spikes_per_day_180,1944,mean_hum,0.005105419851395923,0.3297887897633641
10,spikes_per_day_180,1944,mean_nox,0.05078608525956963,0.35482134162701234
11,spikes_per_day_180,1944,sleep_hours,-0.005126465396834706,0.7570189587795949
12,spikes_per_day_180,1944,log_pm25,-0.010114151148066488,0.7880936877363449
