,outcome,n,predictor,coefficient,p_value
0,tar_180,1944,bmi,0.32284204326058225,3.95115644411445e-06
1,tar_180,1944,age,0.1939745832642829,2.888597642787181e-05
2,tar_180,1944,heart_rate,0.2832107458799498,0.0012558485435917542
3,tar_180,1944,steps,-0.0006665429638814288,0.001824502274009259
4,tar_180,1944,log_pm25,1.2430952208256203,0.01683851115536022
5,tar_180,1944,active_calories,0.011280910854399064,0.0202989396768012
6,tar_180,1944,stress,0.07984597297791174,0.15408946611217852
7,tar_180,1944,sleep_hours,0.29714380667614193,0.19421199645392295
8,tar_180,1944,mean_hum,-0.08410050350583478,0.24511640136181523
9,tar_180,1944,mean_light,-34.133550865262734,0.31242920678606984
10,tar_180,1944,mean_nox,0.3141847024784223,0.6785091691960595
11,tar_180,1944,mean_voc,-0.006676703655887319,0.819073394455183
12,tar_180,1944,mean_temp,-0.04097844159276733,0.8452678503537362
