site,outcome,n,r2,log_pm25_coef,log_pm25_p,log_pm25_p_pooled
UW,glucose_mean,711,0.11144364210548408,0.20892777485974998,0.8775184636250385,0.1591
UW,glucose_cv,711,0.06365165112174398,0.1803857175074461,0.36250564698406434,0.0061
UW,tar_180,711,0.10235394894076133,0.5608782935205319,0.4705247948934664,0.0168
UW,spikes_per_day_180,711,0.09117771911320804,-0.00396728607007707,0.9474534424150779,0.7881
UAB,glucose_mean,715,0.05539949619049145,1.9092442626313717,0.21155630636288889,0.1591
UAB,glucose_cv,715,0.038334688196617894,0.2737639732698847,0.21522720113064864,0.0061
UAB,tar_180,715,0.05992600506874168,1.6827857042716587,0.055973713773074044,0.0168
UAB,spikes_per_day_180,715,0.0443263102041197,0.006223481510416495,0.9160286300900403,0.7881
UCSD,glucose_mean,518,0.05891951565260101,0.172827201471503,0.9325457151413519,0.1591
UCSD,glucose_cv,518,0.0871905112963548,1.003390366315898,0.001179498573799919,0.0061
UCSD,tar_180,518,0.0546955278610578,0.5320508500266705,0.6427552766358514,0.0168
UCSD,spikes_per_day_180,518,0.06904543119767326,-0.07405482852654746,0.3981723887362063,0.7881
