,predictor,pair,n,coefficient,odds_ratio,p_value,direction
0,mean_glucose,Healthy vs Insulin,882,0.0802799201697536,1.0835903440194365,1.5379445902468386e-32,higher -> more Insulin-like
1,bmi,Healthy vs Insulin,882,0.07694571925946218,1.0799834524999703,1.9446744943852552e-05,higher -> more Insulin-like
2,mean_temp,Healthy vs Insulin,882,0.23681278394129618,1.2672038546550006,2.634549454804065e-05,higher -> more Insulin-like
3,heart_rate,Healthy vs Insulin,882,0.0966267373199131,1.1014491670136857,0.004117795305737979,higher -> more Insulin-like
4,mean_nox,Healthy vs Insulin,882,0.45161095283977865,1.5708406985698802,0.005166150828461447,higher -> more Insulin-like
5,steps,Healthy vs Insulin,882,-0.00016795718483999996,0.9998320569191783,0.007649429575419918,higher -> more Healthy-like
6,mean_voc,Healthy vs Insulin,882,0.018599998932421192,1.018774056394001,0.022822707757828027,higher -> more Insulin-like
7,age,Healthy vs Insulin,882,0.019696310265565335,1.0198915623932576,0.11900438436758738,higher -> more Insulin-like
8,mean_light,Healthy vs Insulin,882,12.572574720193238,288535.87872416794,0.14122377022611332,higher -> more Insulin-like
9,mean_hum,Healthy vs Insulin,882,0.029374220433244703,1.0298098982826505,0.15616318482921449,higher -> more Insulin-like
10,sleep_hours,Healthy vs Insulin,882,0.06768061493514288,1.070023504371774,0.23994394997707047,higher -> more Insulin-like
11,active_calories,Healthy vs Insulin,882,-0.001630967118578581,0.9983703621855103,0.2867445687488669,higher -> more Healthy-like
12,log_pm25,Healthy vs Insulin,882,0.12880175358514853,1.137464603532471,0.33434880086109353,higher -> more Insulin-like
13,stress,Healthy vs Insulin,882,-0.006028411291779339,0.9939897231207072,0.7168248877576118,higher -> more Healthy-like
